ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,0.0,0.0,0.0,0.0,0,0
1096219061,0.0,0.0,0.0,0.0,0,0
1096336562,0.0,0.0,0.0,0.0,0,0
1096454063,0.0,0.0,0.0,0.0,0,0
1096571564,0.0,0.0,0.0,0.0,0,0
1096689065,0.0,0.0,0.0,0.0,0,0
1096806566,0.0,0.0,0.0,0.0,0,0
1096924067,0.0,0.0,0.0,0.0,0,0
1097041568,0.0,0.0,0.0,0.0,0,0
1097159069,0.0,0.0,0.0,0.0,0,0
1097276570,0.0,0.0,0.0,0.0,0,0
1097394071,0.14583333181423613,0.04123711297693698,0.08247422595387396,0.0,0,0
1097511572,0.11981566765061905,0.04524886857353453,0.08144796343236216,0.0,0,0
1097629073,0.1423487539418194,0.04878048763491119,0.08391608362267104,0.0,0,0
1097746574,0.10928961718773329,0.042780748548714574,0.07506702392743425,0.0,0,0
1097864075,0.1512415346473103,0.04867256626399875,0.08869179581221331,0.0,0,0
1097981576,0.16415094308650766,0.05914972262634063,0.10760667883560913,0.0,0,0
1098099077,0.20559210492501298,0.061290322481789804,0.11326860823095694,0.0,0,0
1098216578,0.23809523776177138,0.059228650056158884,0.11049723741644028,0.0,0,0
1098334079,0.23748395348204884,0.06573957008123948,0.12658227832078192,0.0,0,0
1098451580,0.3370913186729523,0.0710321863806524,0.13570634022724545,0.0,0,0
1098569081,0.32287449360032944,0.07968127482103458,0.1636726545272728,0.0,0,0
1098686582,0.2979704794299165,0.07629427785985987,0.15650591432529032,0.0,0,0
1098804083,0.2841483977368057,0.07622203804786906,0.1609958504888001,0.0,0,0
1098921584,0.27515723248808394,0.0772200771604478,0.1624129929138337,0.0,0,0
1099039085,0.2708333331318204,0.07900512064447321,0.16691068801836698,0.0,0,0
1099156586,0.2586445364739664,0.07692307687071268,0.1660993872252557,0.0,0,0
1099274087,0.26546391735472685,0.0774603174111363,0.16401780027716603,0.0,0,0
1099391588,0.26232501505640593,0.07678464302532415,0.16105769221090283,0.0,0,0
1099509089,0.2491369388670098,0.07535410760603166,0.15777525530205716,0.0,0,0
1099626590,0.2580469174806072,0.07894736837865339,0.16245293159631363,0.0,0,0
1099744091,0.24792099779214083,0.07778915042078344,0.16572890017098266,0.0,0,0
1099861592,0.2405867969483683,0.07855421682961243,0.1657032754500466,0.0,0,0
1099979093,0.23633815962805318,0.08011049720068578,0.1685082872152356,0.0,0,0
1100096594,0.2323008848529642,0.08111644130784282,0.1718273004047853,0.0,0,0
1100214095,0.2534913244801137,0.08190555784291452,0.17376775264253647,0.0,0,0
1100331596,0.25374342361240654,0.08276689320960941,0.17898521766720527,0.0,0,0
1100449097,0.25075301195378275,0.08262002229898771,0.17349218161820842,0.0,0,0
1100566598,0.2450354609060158,0.08140350874336719,0.17385208546307324,0.0,0,0
1100684099,0.23790186117160683,0.08040201002331591,0.17196386745668657,0.0,0,0
1100801600,0.22620519152465848,0.07741738063726519,0.16320293393545143,0.0,0,0
1100919101,0.22766656700697147,0.07662721891224047,0.16139521130316428,0.0,0,0
1101036602,0.2222222221579218,0.07619593237576743,0.15864833901527825,0.0,0,0
1101154103,0.2204464039072895,0.0753480753275053,0.15766502996244816,0.0,0,0
1101271604,0.21650589490447325,0.07488050980486445,0.15654019629701774,0.0,0,0
1101389105,0.21747066487158523,0.07626680453043774,0.1591320071921643,0.0,0,0
1101506606,0.21160151318749015,0.07526881718547916,0.15692153919117402,0.0,0,0
1101624107,0.22233080864345692,0.07705354977536866,0.15802229758651906,0.0,0,0
1101741608,0.21792743651460103,0.07688690334425419,0.1584391160887543,0.0,0,0
1101859109,0.21607924436395318,0.07632541131711028,0.1571852866901564,0.0,0,0
1101976610,0.21447902566204802,0.07630342356762063,0.15663459383382533,0.0,0,0
1102094111,0.21400351180553037,0.07541412378478332,0.15475152568553802,0.0,0,0
1102211612,0.20999786365947493,0.07507953338810613,0.15319329510859467,0.0,0,0
1102329113,0.2080216125918492,0.07470078413646289,0.1523534268884489,0.0,0,0
1102446614,0.20732689206776833,0.0743702518843722,0.15233906434379466,0.0,0,0
1102564115,0.20799843163928672,0.07377846990971802,0.15106093047477887,0.0,0,0
1102681616,0.20810348103326926,0.07237339378828922,0.14887587376745212,0.0,0,0
1102799117,0.20730797908141163,0.07169321969772263,0.14743471010419804,0.0,0,0
1102916618,0.20476626944000617,0.07155863072258582,0.14642141683729348,0.0,0,0
1103034119,0.20187117664593895,0.07112223015169367,0.1458184417180453,0.0,0,0
1103151620,0.20028208741179793,0.07106598983527639,0.1462817147600557,0.0,0,0
1103269121,0.19889598064535172,0.07172201299696644,0.1475017111315021,0.0,0,0
1103386622,0.2004724940599945,0.07171581768235324,0.14678284179846132,0.0,0,0
1103504123,0.20540718756917123,0.07186118839877866,0.14699623503895953,0.0,0,0
1103621624,0.20882495551821156,0.0724032749923899,0.14742251483099045,0.0,0,0
1103739125,0.20736157382082157,0.07205928727971313,0.1466876971377464,0.0,0,0
1103856626,0.21248630883860328,0.07279514697887772,0.14807901693139228,0.0,0,0
1103974127,0.21082002786997053,0.07241910630625283,0.14758896931942858,0.0,0,0
1104091628,0.2081744700002784,0.07185084128060469,0.14584596723076926,0.0,0,0
1104209129,0.20674089674891047,0.0716422375005022,0.1451226810076118,0.0,0,0
1104326630,0.22068452377668385,0.0725281231390574,0.14571301641556153,0.0,0,0
1104444131,0.22137628108032556,0.07239621266243318,0.14629170914377215,0.0,0,0
1104561632,0.22032919430835557,0.07251579550940324,0.1465096236503146,0.0,0,0
1104679133,0.21611307417440098,0.07128796399447582,0.14402250349591805,0.0,0,0
1104796634,0.2127630121521646,0.07011985120951648,0.14218793053979223,0.0,0,0
1104914135,0.21251879182554068,0.06978642360634112,0.14073771605543245,0.0,0,0
1105031636,0.21089889138361173,0.06991891531703856,0.14019686084860378,0.0,0,0
1105149137,0.20899228856241114,0.06935588808466417,0.14058838842220928,0.0,0,0
1105266638,0.20815533977887957,0.06908106713892498,0.14208354820241315,0.0,0,0
1105384139,0.20536398464810166,0.06815869785501542,0.14018572698890908,0.0,0,0
1105501640,0.20405063288556322,0.06780942777063152,0.139452780211896,0.0,0,0
1105619141,0.2019038075899419,0.06709902718045659,0.13799126635832923,0.0,0,0
1105736642,0.19930804396400492,0.06632213608141724,0.13638601672373388,0.0,0,0
1105854143,0.19681110026815832,0.06616577798519561,0.1372453928058626,0.0,0,0
1105971644,0.1941176470355201,0.0654953985818698,0.13583642232023957,0.0,0,0
1106089145,0.19200377400731172,0.06563343899663808,0.13602725242146985,0.0,0,0
1106206646,0.18933333331138164,0.06521237303033098,0.13510392608139676,0.0,0,0
1106324147,0.18685831620044965,0.06473594547816741,0.13407567320371824,0.0,0,0
1106441648,0.18122584205618708,0.06280246369744803,0.1300616197039985,0.0,0,0
1106559149,0.18122584205618708,0.06280246369744803,0.1300616197039985,0.0,0,0
1106676650,0.18122584205618708,0.06280246369744803,0.1300616197039985,0.0,0,0
1106794151,0.18122584205618708,0.06280246369744803,0.1300616197039985,0.0,0,0
1106911652,0.18122584205618708,0.06280246369744803,0.1300616197039985,0.0,0,0
1107029153,0.18122584205618708,0.06280246369744803,0.1300616197039985,0.0,0,0
1107146654,0.18122584205618708,0.06280246369744803,0.1300616197039985,0.0,0,0
1107264155,0.18122584205618708,0.06280246369744803,0.1300616197039985,0.0,0,0
1107381656,0.18122584205618708,0.06280246369744803,0.1300616197039985,0.0,0,0
1107499157,0.18122584205618708,0.06280246369744803,0.1300616197039985,0.0,0,0
1107616658,0.18122584205618708,0.06280246369744803,0.1300616197039985,0.0,0,0
1107734159,0.18122584205618708,0.06280246369744803,0.1300616197039985,0.0,0,0
