ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,0.0,0,0.0,0.0,0,0
1096219061,0.0,0,0.0,0.0,0,0
1096336562,0.0,0,0.0,0.0,0,0
1096454063,0.0,0,0.0,0.0,0,0
1096571564,0.0,0,0.0,0.0,0,0
1096689065,0.0,0,0.0,0.0,0,0
1096806566,0.0,0,0.0,0.0,0,0
1096924067,0.0,0,0.0,0.0,0,0
1097041568,0.0,0,0.0,0.0,0,0
1097159069,0.0,0,0.0,0.0,0,0
1097276570,0.0,0,0.0,0.0,0,0
1097394071,7.94996257774849e-07,0,3.4779657283819743e-06,1.7209823250588888e-06,0,0
1097511572,9.297477339067784e-07,0,3.5339645761710594e-06,1.8689810989012554e-06,0,0
1097629073,8.152476394246627e-07,0,1.7949936784849303e-06,2.774657178428149e-06,0,0
1097746574,5.393312888644889e-07,0,4.058959685850174e-06,5.288947111158928e-06,0,0
1097864075,4.529990018186711e-07,0,3.2251932750341303e-06,2.4455952571580894e-06,0,0
1097981576,5.284985466225924e-07,0,2.456325089472868e-06,1.4823286321262542e-06,0,0
1098099077,4.6799912135236247e-07,0,2.2949954229731644e-06,1.4791968598835463e-06,0,0
1098216578,4.838327913909779e-07,0,2.5131951346570107e-06,1.7861963643669295e-06,0,0
1098334079,5.156654061159314e-07,0,2.4963245331253622e-06,2.1719893623978377e-06,0,0
1098451580,5.21999066610619e-07,0,2.0715955947826945e-06,1.1999970424524202e-06,0,0
1098569081,5.159991400629005e-07,0,2.329988265732069e-06,1.4089954092716775e-06,0,0
1098686582,5.143993519812851e-07,0,1.8904952898502567e-06,1.3257466487769857e-06,0,0
1098804083,6.116646772096983e-07,0,0.0,1.2849876579014434e-06,0,0
1098921584,5.195704537283806e-07,0,2.841994455946496e-06,1.599497168678779e-06,0,0
1099039085,6.16748188527243e-07,0,4.798650551880566e-06,1.6443278947383074e-06,0,0
1099156586,4.981422694550442e-07,0,2.2398294842202903e-06,1.3578311867738218e-06,0,0
1099274087,5.368325973090837e-07,0,2.577997460181416e-06,2.0359972966131163e-06,0,0
1099391588,5.354984550950167e-07,0,2.8687426169747953e-06,3.0542424652251055e-06,0,0
1099509089,5.297494198366088e-07,0,2.3679940485704018e-06,1.8379952941877543e-06,0,0
