ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,0.0,0,0.0,0.0,0,0
1096219061,0.0,0,0.0,0.0,0,0
1096336562,0.0,0,0.0,0.0,0,0
1096454063,0.0,0,0.0,0.0,0,0
1096571564,0.0,0,0.0,0.0,0,0
1096689065,0.0,0,0.0,0.0,0,0
1096806566,0.0,0,0.0,0.0,0,0
1096924067,0.0,0,0.0,0.0,0,0
1097041568,0.0,0,0.0,0.0,0,0
1097159069,0.0,0,0.0,0.0,0,0
1097276570,0.0,0,0.0,0.0,0,0
1097394071,1.9222185553737695e-05,0,4.214403692028309e-05,1.5762317993308137e-05,0,0
1097511572,1.7784477876064405e-05,0,4.2836746505665824e-05,2.044031287322192e-05,0,0
1097629073,1.8254418979645105e-05,0,4.754637733811044e-05,2.104218133898127e-05,0,0
1097746574,1.6781892142568717e-05,0,4.16277768154947e-05,1.3172918026698107e-05,0,0
1097864075,1.8924685907008685e-05,0,4.343013545552694e-05,1.5954792867528424e-05,0,0
1097981576,2.29262042662749e-05,0,4.3485460970097476e-05,1.496007788352104e-05,0,0
1098099077,1.8563792494846343e-05,0,4.5301323379085566e-05,1.809659270438092e-05,0,0
1098216578,2.2320159765576162e-05,0,4.4013788266719585e-05,1.621874377164192e-05,0,0
1098334079,1.869402790651698e-05,0,4.9471546243968516e-05,2.3151451090089682e-05,0,0
1098451580,2.5239692061090113e-05,0,4.5267518771888944e-05,2.3688052414045236e-05,0,0
1098569081,2.4845066854380434e-05,0,4.608883371776161e-05,2.0512353815602572e-05,0,0
1098686582,1.6959894002601018e-05,0,4.21700471627758e-05,1.5119225288671606e-05,0,0
1098804083,1.8245308924154306e-05,0,4.506402399986171e-05,1.53143413766887e-05,0,0
1098921584,1.8031323451708018e-05,0,4.573057435857226e-05,1.649745793027848e-05,0,0
1099039085,2.3885260568461575e-05,0,4.7953472942400195e-05,2.07046683194086e-05,0,0
1099156586,1.9418351021274415e-05,0,4.535568487509621e-05,1.5306882027086618e-05,0,0
1099274087,2.3228596007780854e-05,0,4.431968801729626e-05,1.8652864915389306e-05,0,0
1099391588,1.8513767171997824e-05,0,4.5943610288810966e-05,1.773274530899544e-05,0,0
1099509089,1.815273497709139e-05,0,4.3132046176276385e-05,2.4432118771496587e-05,0,0
