ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,2.0841223527932466e-06,0,2.3482470147372425e-06,3.0022463295100024e-06,0,0
1096219061,2.039748697639305e-06,0,2.014460023283937e-06,2.489998197176597e-06,0,0
1096336562,1.2499693971756843e-06,0,1.5495802021115019e-06,1.6545800113260357e-06,0,0
1096454063,1.1299141618360385e-06,0,1.618591853083381e-06,1.605703138958243e-06,0,0
1096571564,9.958136605368436e-07,0,1.947219163370056e-06,1.5959996135013163e-06,0,0
1096689065,1.2025495556787927e-06,0,1.864447657968952e-06,1.6916545440666906e-06,0,0
1096806566,9.006769715535935e-07,0,1.6013122762317985e-06,1.5912248557503708e-06,0,0
1096924067,1.2022337959024225e-06,0,1.6721270038987257e-06,1.690872480034828e-06,0,0
1097041568,1.0094144050919576e-06,0,1.7662721300779137e-06,1.7350298114402263e-06,0,0
1097159069,1.3499519237250974e-06,0,1.9438745771911763e-06,1.9131662150000276e-06,0,0
1097276570,1.1559542928938443e-06,0,1.9976359749019745e-06,2.013363119788224e-06,0,0
1097394071,1.2085831658526551e-06,0,1.8679841170594702e-06,1.71434358478838e-06,0,0
1097511572,1.0990415246379946e-06,0,2.197412988958437e-06,2.096240645048914e-06,0,0
1097629073,1.122861314434106e-06,0,2.259326618206914e-06,2.015403474272864e-06,0,0
1097746574,1.2469580551917863e-06,0,2.400940251000139e-06,2.2373229512695615e-06,0,0
1097864075,1.244889857046394e-06,0,1.9247498570362177e-06,1.8136072864021812e-06,0,0
1097981576,1.104152339944782e-06,0,2.073826499292627e-06,1.8496247364048963e-06,0,0
1098099077,1.260078144220059e-06,0,2.068180026863794e-06,1.974452818709859e-06,0,0
1098216578,1.1462854783281816e-06,0,2.1835595178619625e-06,1.9633526489232e-06,0,0
1098334079,1.2063689061617923e-06,0,1.8406945306134309e-06,1.6548988178071043e-06,0,0
1098451580,1.1377565970361733e-06,0,2.146071070905805e-06,2.0431400138260004e-06,0,0
1098569081,1.242655797110049e-06,0,1.9768673752412045e-06,1.889926127874713e-06,0,0
1098686582,1.230931621005556e-06,0,2.0706392082785676e-06,1.913723960249695e-06,0,0
1098804083,1.2072263272888257e-06,0,2.2641050342290986e-06,2.044441886517365e-06,0,0
1098921584,1.1561891278489137e-06,0,1.9009675309339053e-06,1.7947318227964183e-06,0,0
1099039085,1.0332329185533392e-06,0,1.8545311643380483e-06,1.7521142935123596e-06,0,0
1099156586,1.0550054495220434e-06,0,2.00564151439826e-06,1.9180811650472586e-06,0,0
1099274087,1.0610288001864683e-06,0,1.5861017261906437e-06,1.5286825461611271e-06,0,0
1099391588,1.1624875292211616e-06,0,2.0198977835280412e-06,1.89499985517298e-06,0,0
1099509089,1.1172465692138325e-06,0,1.8529998738166517e-06,1.7112414766772189e-06,0,0
1099626590,1.0138386510454296e-06,0,2.0189470648830936e-06,1.8250738437512443e-06,0,0
1099744091,1.1594632674416965e-06,0,2.0821872099376932e-06,1.9360153190928945e-06,0,0
1099861592,1.2156754986778986e-06,0,2.2173603628880295e-06,2.0231689038088516e-06,0,0
1099979093,1.1336391720776457e-06,0,2.30788636924978e-06,2.133916202966536e-06,0,0
1100096594,1.1132081979483804e-06,0,2.0630841431309966e-06,1.9606997536731045e-06,0,0
1100214095,1.2604723565691716e-06,0,1.8491386364219518e-06,1.8187279635796847e-06,0,0
1100331596,1.15028717027033e-06,0,2.0403296183386927e-06,1.9504181586289774e-06,0,0
1100449097,1.264714114325248e-06,0,2.019367240534826e-06,2.042047332422493e-06,0,0
1100566598,1.151689590031342e-06,0,2.2424803666849124e-06,2.3149996803635897e-06,0,0
1100684099,1.1596455351486492e-06,0,2.0929471222261188e-06,1.9762468183477392e-06,0,0
1100801600,1.248697180333469e-06,0,2.1988960321022558e-06,2.3022198730501936e-06,0,0
1100919101,1.0321867328875753e-06,0,1.9719019699264854e-06,1.8738046979939129e-06,0,0
1101036602,1.1389012833301736e-06,0,2.2098548839624778e-06,2.244984021844795e-06,0,0
1101154103,1.118999878222059e-06,0,2.133285336678994e-06,2.1888715931464563e-06,0,0
1101271604,1.147560415980531e-06,0,2.1182831875741158e-06,1.9632397793605723e-06,0,0
1101389105,1.4651838034185213e-06,0,2.551682326954486e-06,2.544155036083077e-06,0,0
1101506606,1.1329204706705614e-06,0,2.270594033211135e-06,2.360701950626418e-06,0,0
1101624107,1.0624691365189206e-06,0,2.11608048712517e-06,1.9394468232051443e-06,0,0
1101741608,1.1987824375541637e-06,0,2.4099439526183537e-06,2.225462485693835e-06,0,0
1101859109,1.2075569133850529e-06,0,2.192571133133313e-06,2.493622739025644e-06,0,0
1101976610,1.1416725009882545e-06,0,2.1587633002647717e-06,2.2130779101920894e-06,0,0
1102094111,1.2216887683319624e-06,0,2.025776373502529e-06,1.9303211564473584e-06,0,0
1102211612,1.2469353017251683e-06,0,2.1093868058468428e-06,2.002755599759178e-06,0,0
1102329113,1.1903511997812744e-06,0,2.1867462899107856e-06,2.266584167376774e-06,0,0
1102446614,1.124646705726133e-06,0,2.0497437017359463e-06,2.113824524673272e-06,0,0
1102564115,1.2785367448038756e-06,0,2.5273742542418903e-06,2.3617290402574443e-06,0,0
1102681616,1.1727438632828476e-06,0,2.2992324896425824e-06,2.1961169149332645e-06,0,0
1102799117,1.192278460617727e-06,0,2.340036615334566e-06,2.223930606456577e-06,0,0
1102916618,1.2464219514983437e-06,0,2.3275136536206766e-06,2.1944312735611216e-06,0,0
1103034119,1.2355816317496693e-06,0,2.373779550908108e-06,2.5327445843058347e-06,0,0
1103151620,1.161643496153977e-06,0,2.4101265071782396e-06,2.23580842346011e-06,0,0
1103269121,1.1040481733356964e-06,0,2.1408231356105715e-06,2.099399551604762e-06,0,0
1103386622,1.1588860917385124e-06,0,2.1596480492110575e-06,2.249617229533722e-06,0,0
1103504123,1.2979138703170214e-06,0,2.0532586463115887e-06,2.236879205347688e-06,0,0
1103621624,1.495927436612477e-06,0,2.5422650073779025e-06,2.6837123766505076e-06,0,0
1103739125,1.4589466330113631e-06,0,2.55305712545498e-06,2.45605147725121e-06,0,0
1103856626,1.4366994129578824e-06,0,2.5341653143266388e-06,2.5042340340916893e-06,0,0
1103974127,1.2814988173867857e-06,0,2.1663557150705605e-06,2.1143312099393873e-06,0,0
1104091628,1.192841595594423e-06,0,2.1789987060538357e-06,2.298797764929193e-06,0,0
1104209129,1.1536986962663546e-06,0,2.391996838436697e-06,2.469497058836247e-06,0,0
1104326630,1.1758877281942052e-06,0,2.401658879983902e-06,2.3385957841796746e-06,0,0
1104444131,1.4356653699824408e-06,0,3.3136210011379937e-06,3.749995445146401e-06,0,0
1104561632,1.7231982431653658e-06,0,2.1832290184957702e-06,3.382745922671716e-06,0,0
1104679133,1.3811993455216267e-06,0,2.2495317211079455e-06,2.512498302348118e-06,0,0
1104796634,1.3411756756002378e-06,0,3.1597936427172474e-06,3.3089922038120583e-06,0,0
1104914135,1.7729153498437866e-06,0,3.105360838674931e-06,3.6905513825289563e-06,0,0
1105031636,2.266465106607491e-06,0,2.4268683503341216e-06,2.8195985577524882e-06,0,0
1105149137,1.7379400983718656e-06,0,2.790641007685192e-06,2.879731578833431e-06,0,0
1105266638,0.0,0,0.0,0.0,0,0
1105384139,0.0,0,0.0,0.0,0,0
1105501640,0.0,0,0.0,0.0,0,0
1105619141,0.0,0,0.0,0.0,0,0
1105736642,0.0,0,0.0,0.0,0,0
1105854143,0.0,0,0.0,0.0,0,0
1105971644,0.0,0,0.0,0.0,0,0
1106089145,0.0,0,0.0,0.0,0,0
1106206646,0.0,0,0.0,0.0,0,0
1106324147,0.0,0,0.0,0.0,0,0
1106441648,0.0,0,0.0,0.0,0,0
1106559149,0.0,0,0.0,0.0,0,0
1106676650,0.0,0,0.0,0.0,0,0
1106794151,0.0,0,0.0,0.0,0,0
1106911652,0.0,0,0.0,0.0,0,0
1107029153,0.0,0,0.0,0.0,0,0
1107146654,0.0,0,0.0,0.0,0,0
1107264155,0.0,0,0.0,0.0,0,0
1107381656,0.0,0,0.0,0.0,0,0
1107499157,0.0,0,0.0,0.0,0,0
1107616658,0.0,0,0.0,0.0,0,0
1107734159,0.0,0,0.0,0.0,0,0
