ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,1.7460870332198256e-06,0,8.827203002287608e-06,6.634561073342204e-06,0,0
1096219061,1.5443236030029218e-06,0,1.2882202272647728e-05,8.174584175534875e-06,0,0
1096336562,1.6743150293926188e-06,0,1.7369324199676164e-05,9.855770719603628e-06,0,0
1096454063,1.6990454020064486e-06,0,1.819170750158397e-05,1.0316344515232913e-05,0,0
1096571564,1.7514559494448707e-06,0,2.043521747583381e-05,1.1095420121488623e-05,0,0
1096689065,1.8284677225707826e-06,0,1.9943961476959205e-05,1.1413916435661994e-05,0,0
1096806566,1.735499765920787e-06,0,1.9406753099251574e-05,1.1940988609735835e-05,0,0
1096924067,1.8362475478799909e-06,0,2.2119511762344385e-05,1.2085173285940102e-05,0,0
1097041568,1.921365930073979e-06,0,2.3045757414381248e-05,1.279460380139456e-05,0,0
1097159069,1.8200083279530977e-06,0,2.3090233383706665e-05,1.2380528314027094e-05,0,0
1097276570,1.8298609379806614e-06,0,2.1780627637237984e-05,1.3167674786994217e-05,0,0
1097394071,1.9168629710424353e-06,0,2.443392368481352e-05,1.3253935496623787e-05,0,0
1097511572,1.8729337085741522e-06,0,2.2325356461687042e-05,1.2845347905172414e-05,0,0
1097629073,1.8705492921680672e-06,0,2.1240382335870974e-05,1.199177890366324e-05,0,0
1097746574,1.959142554322215e-06,0,2.3372542415067315e-05,1.260825816585584e-05,0,0
1097864075,1.9196433237028937e-06,0,2.3552406610879194e-05,1.2986181443489327e-05,0,0
1097981576,1.93862011491653e-06,0,2.3178988597299235e-05,1.2336554310171431e-05,0,0
1098099077,1.960464048530475e-06,0,2.5472044549911563e-05,1.3160212729654704e-05,0,0
1098216578,1.919716790278494e-06,0,2.185531870447714e-05,1.2140036632315432e-05,0,0
1098334079,1.9110554383698876e-06,0,2.3069997810822007e-05,1.2910563547097408e-05,0,0
1098451580,2.00752411373083e-06,0,2.3993813204878164e-05,1.2988552054182204e-05,0,0
1098569081,1.883205783608937e-06,0,2.0819344072478535e-05,1.2434800552147127e-05,0,0
1098686582,1.9107444343808576e-06,0,2.203935921950845e-05,1.257520079632049e-05,0,0
1098804083,1.9477559783017385e-06,0,2.5484152478360394e-05,1.3309844428164253e-05,0,0
1098921584,1.8725395522779568e-06,0,2.414334727277484e-05,1.2628943339910933e-05,0,0
1099039085,1.9202798638279967e-06,0,2.3035817709737835e-05,1.2821548653169717e-05,0,0
1099156586,1.8630928877358278e-06,0,2.3760574146476252e-05,1.2842923745636993e-05,0,0
1099274087,1.8599351399715407e-06,0,2.3817465969725058e-05,1.2526891193455436e-05,0,0
1099391588,1.9438625591094624e-06,0,2.3282683875640794e-05,1.3231832028132405e-05,0,0
1099509089,1.8619218008380519e-06,0,1.8004995400506313e-05,1.1634870638748554e-05,0,0
1099626590,1.8886017426178436e-06,0,2.3103303470032085e-05,1.3162804316998484e-05,0,0
1099744091,1.912023908350055e-06,0,2.3850350042358537e-05,1.3230654953276174e-05,0,0
1099861592,1.8786765685106406e-06,0,2.3539787743792586e-05,1.3047705815271372e-05,0,0
1099979093,2.0051502551737057e-06,0,2.5256201584042075e-05,1.376464373153092e-05,0,0
1100096594,1.943712261762103e-06,0,2.4448109402217077e-05,1.383242337068278e-05,0,0
1100214095,1.912430630158149e-06,0,2.3063182760413024e-05,1.2910975916819892e-05,0,0
1100331596,1.92120994254538e-06,0,2.492840126984592e-05,1.343736025853969e-05,0,0
1100449097,1.9167183747309375e-06,0,2.4171501894950414e-05,1.3109487910290233e-05,0,0
1100566598,1.915557654810224e-06,0,2.4565292157955725e-05,1.3729682723739422e-05,0,0
1100684099,1.9467651742328615e-06,0,2.506792290722149e-05,1.4014097145593605e-05,0,0
1100801600,1.892115921788749e-06,0,2.3529685444051376e-05,1.3357391709356087e-05,0,0
1100919101,1.923784937237301e-06,0,2.442992360496653e-05,1.3399775808743484e-05,0,0
1101036602,1.8987385867718318e-06,0,2.415476360073196e-05,1.3524710471823888e-05,0,0
1101154103,1.8590619414596225e-06,0,2.240680450808438e-05,1.3171060917850715e-05,0,0
1101271604,1.9379242373437444e-06,0,2.5374191122809542e-05,1.3999956674378211e-05,0,0
1101389105,1.96230062015703e-06,0,2.343391554552624e-05,1.3888021510493573e-05,0,0
1101506606,1.9254298770617844e-06,0,2.3966707571919537e-05,1.3072648737440496e-05,0,0
1101624107,1.955609882359721e-06,0,2.3068284268255118e-05,1.328576032826416e-05,0,0
1101741608,1.976540863300198e-06,0,2.241936204236489e-05,1.3320927819060454e-05,0,0
1101859109,1.9303141083493836e-06,0,2.3509178732931417e-05,1.3367122517913001e-05,0,0
1101976610,1.9536469307876873e-06,0,2.365163673366703e-05,1.3649696330740441e-05,0,0
1102094111,1.9659356897270815e-06,0,2.4783502327647112e-05,1.3643723506966489e-05,0,0
1102211612,1.955277027034337e-06,0,2.289980957640021e-05,1.3606077833296308e-05,0,0
