ts,Dtree,nDtree,HK,HDT
55,784,1486,368,426
110,3080,5996,1174,1186
165,6889,13531,1993,1723
220,12210,24091,2654,2397
275,19044,37676,3144,3290
330,27390,54286,3870,4048
385,37249,73921,4546,4666
440,48620,96581,5682,6185
495,61504,122266,6630,6760
550,75900,150976,7621,7805
605,91809,182711,8885,8351
660,109230,217471,9592,9012
715,128164,255256,10441,9917
770,148610,296066,11765,10642
825,170569,339901,12545,11454
880,194040,386761,13241,12066
935,219024,436646,14055,13431
990,245520,489556,15116,13973
1045,31374,498502,15216,14059
1100,16412,498502,15216,14059
1155,14461,498502,15216,14059
1210,12497,498502,15216,14059
1265,11691,498502,15216,14059
1320,10989,498502,15216,14059
1375,10458,498502,15216,14059
1430,10160,498502,15216,14059
1485,9815,498502,15216,14059
1540,9756,498502,15216,14059
1595,9735,498502,15216,14059
1650,9678,498502,15216,14059
1705,9804,498502,15216,14059
1760,10923,498502,15216,14059
1815,11159,498502,15216,14059
1870,10703,498502,15216,14059
1925,10233,498502,15216,14059
1980,9907,167158,14157,12829
2035,9732,167158,14157,12902
2090,9623,167158,14157,12902
2145,10365,167158,14157,13740
2200,9965,167158,14157,13740
2255,15489,167158,14157,13740
2310,13312,167158,14157,13740
2365,13569,154746,13675,13297
2420,12796,154746,13675,13778
2475,12304,196616,14261,13743
2530,11634,196616,14150,13743
2585,11170,196616,14150,13743
2640,10407,196616,13177,13743
2695,10148,215661,13177,13743
2750,10178,215661,13487,13743
2805,9922,243070,13487,13743
2860,9698,243070,13378,13743
2915,9933,243070,14322,13497
2970,9658,243070,14322,13497
3025,9603,243070,14374,13497
3080,9409,243070,14374,13497
3135,9289,243070,14374,13497
3190,9801,243070,14374,13169
3245,11858,243070,14657,13169
3300,11525,243070,14657,13169
3355,10512,243070,14657,13169
3410,10015,243070,14657,13169
3465,9953,156214,14657,13169
3520,10156,156214,14657,13169
3575,12455,140704,14657,13597
3630,13041,140704,14657,13597
3685,11932,136757,14657,13597
3740,11704,136757,14657,13597
3795,11102,136757,14657,13597
3850,11089,136757,14657,13597
3905,11082,136757,14657,13597
3960,10598,136757,14657,13183
4015,9981,136757,14657,13183
4070,11195,136757,15789,13183
4125,11012,136757,15789,13488
4180,10269,136757,15789,13488
4235,10288,136757,15789,13488
4290,10250,136757,15789,13488
4345,10802,136757,15789,13488
4400,10677,182359,15789,13488
4455,11096,182359,15789,13488
4510,10602,182359,15789,13488
4565,10190,182359,15789,13488
4620,10193,182359,15789,13488
4675,10060,182359,15789,13488
4730,9900,182359,15789,13488
4785,9918,152854,15789,13488
4840,10363,152854,15789,13488
4895,10305,152854,15789,13488
4950,10866,152854,15789,13488
5005,10605,152854,15789,13488
5060,10327,152854,14547,13488
5115,10426,165114,13528,12621
5170,10158,165114,13628,12621
5225,10817,165114,13628,14116
5280,9725,257457,13628,13500
5335,11255,117587,13628,13024
5390,11007,117587,13628,13024
5445,11190,117587,13628,13024
5500,10462,151517,13628,13024
