ts,num
55,55
110,110
165,165
220,220
275,275
330,330
385,385
440,440
495,495
550,550
605,605
660,660
715,715
770,770
825,825
880,880
935,935
990,990
1045,1045
1100,1100
1155,1155
1210,1210
1265,1265
1320,1319
1375,1374
1430,1429
1485,1484
1540,1497
1595,1496
1650,1497
1705,1498
1760,1497
1815,1496
1870,1497
1925,1498
1980,1496
2035,1495
2090,1497
2145,1498
2200,1496
2255,1495
2310,1496
2365,1497
2420,1496
2475,1495
2530,1496
2585,1497
2640,1496
2695,1495
2750,1496
2805,1497
2860,1496
2915,1495
2970,1496
3025,1497
3080,1496
3135,1495
3190,1496
3245,1497
3300,1496
3355,1495
3410,1496
3465,1497
3520,1496
3575,1495
3630,1496
3685,1497
3740,1496
3795,1496
3850,1497
3905,1498
3960,1497
4015,1496
4070,1497
4125,1498
4180,1496
4235,1495
4290,1495
4345,1496
4400,1495
4455,1494
4510,1495
4565,1496
4620,1495
4675,1494
4730,1495
4785,1496
4840,1495
4895,1494
4950,1495
5005,1496
5060,1495
5115,1494
5170,1495
5225,1496
5280,1495
5335,1494
5390,1495
5445,1496
5500,1495
