ts,Dtree,nDtree,HK,HDT
55,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
385,0.0,0.0,0.0,0.0
440,0.0,0.0,0.0,0.0
495,0.0,0.0,0.0,0.0
550,0.0,0.0,0.0,0.0
605,0.0,0.0,0.0,0.0
660,0.0,0.0,0.0,0.0
715,0.0,0.0,0.0,0.0
770,0.0,0.0,0.0,0.0
825,0.0,0.0,0.0,0.0
880,0.0,0.0,0.0,0.0
935,0.0,0.0,0.0,0.0
990,0.0,0.0,0.0,0.0
1045,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0
1155,0.0,0.0,0.0,0.0
1210,0.0,0.0,0.0,0.0
1265,0.0,0.0,0.0,0.0
1320,0.0,0.0,0.0,0.0
1375,0.0,0.0,0.0,0.0
1430,0.0,0.0,0.0,0.0
1485,0.0,0.0,0.0,0.0
1540,3.6427442651137264e-05,0.0,0.0,0.0
1595,4.066250408285719e-05,0.0,0.0,0.0
1650,4.003602988628682e-05,0.0,0.0,0.0
1705,4.051475533315949e-05,0.0,0.0,0.0
1760,7.551505168912725e-05,0.0,0.0,0.0
1815,5.2330524368690005e-05,0.0,0.0,0.0
1870,2.9393043609807017e-05,0.0,0.0,0.0
1925,3.297345839980923e-05,0.0,0.0,0.0
1980,2.668327088093299e-05,9.802601761524608e-05,0.0006876561157160254,0.0029126088698165444
2035,2.8245570985353327e-05,0.0,0.0,0.00012606574991188706
2090,2.8906035103081328e-05,0.0,0.0,0.0
2145,4.433731341409551e-05,0.0,0.0,9.221008271144328e-05
2200,4.564843576480436e-05,0.0,0.0,0.0
2255,0.00011486627742505046,0.0,0.0,0.0
2310,4.4555615870270095e-05,0.0,0.0,0.0
2365,8.804139401312141e-05,3.693063076154482e-05,0.0003717592848838061,0.001133916663506566
2420,8.034930080877586e-05,0.0,0.0,0.00012960169898565242
2475,3.1294892816112086e-05,9.251107151613878e-05,0.0006311006918390469,0.0010458652707665064
2530,3.635689262706439e-05,0.0,0.001181240182747241,0.0
2585,3.9251389429324644e-05,0.0,0.0,0.0
2640,3.4888922976880067e-05,0.0,0.0006657693373096863,0.0
2695,3.721527744701602e-05,3.949629796516607e-05,0.0,0.0
2750,4.955707802976072e-05,0.0,0.0010881951194897995,0.0
2805,2.5630181953187835e-05,8.988810047402084e-05,0.0,0.0
2860,4.9823262269821326e-05,0.0,0.0011503624915627766,0.0
2915,5.2231158973234325e-05,0.0,0.0003441065569026204,0.00013971960267255992
2970,3.6091505121155e-05,0.0,0.0,0.0
3025,3.290435269109458e-05,0.0,0.0009297596999967828,0.0
3080,2.750931735802204e-05,0.0,0.0,0.0
3135,3.950754462893939e-05,0.0,0.0,0.0
3190,4.109764248352208e-05,0.0,0.0,9.55730403468882e-05
3245,7.310043542940225e-05,0.0,0.000612572883883252,0.0
3300,3.790941191175461e-05,0.0,0.0,0.0
3355,3.456456868119153e-05,0.0,0.0,0.0
3410,3.9981431855244764e-05,0.0,0.0,0.0
3465,4.2292446028896916e-05,3.663364369351976e-05,0.0,0.0
3520,4.048497952967148e-05,0.0,0.0,0.0
3575,8.572144034796609e-05,4.159258122375209e-05,0.0,0.0002166378417693882
3630,4.622887880523659e-05,0.0,0.0,0.0
3685,3.0473888465385804e-05,2.0443795818289635e-05,0.0,0.0
3740,4.309073002388745e-05,0.0,0.0,0.0
3795,2.9645316622832406e-05,0.0,0.0,0.0
3850,3.48775099447562e-05,0.0,0.0,0.0
3905,3.560041435374073e-05,0.0,0.0,0.0
3960,4.384124191444806e-05,0.0,0.0,0.0010070419225093842
4015,2.847689653097617e-05,0.0,0.0,0.0
4070,5.891413256056806e-05,0.0,0.000509772896282566,0.0
4125,2.4919137559262937e-05,0.0,0.0,8.985209939575665e-05
4180,2.340585969961431e-05,0.0,0.0,0.0
4235,3.0020725990479942e-05,0.0,0.0,0.0
4290,6.703363809281758e-05,0.0,0.0,0.0
4345,4.8664526226633625e-05,0.0,0.0,0.0
4400,3.8996229851905735e-05,5.9007411624996105e-05,0.0,0.0
4455,5.1067640990080056e-05,0.0,0.0,0.0
4510,3.4484870251760984e-05,0.0,0.0,0.0
4565,3.0491686883437563e-05,0.0,0.0,0.0
4620,3.589392576143698e-05,0.0,0.0,0.0
4675,3.1829590222714334e-05,0.0,0.0,0.0
4730,3.627379197086804e-05,0.0,0.0,0.0
4785,3.6419813899955913e-05,3.779961879335688e-05,0.0,0.0
4840,3.2242697865243994e-05,0.0,0.0,0.0
4895,4.377397479081442e-05,0.0,0.0,0.0
4950,6.399212535665743e-05,0.0,0.0,0.0
5005,3.147089028814757e-05,0.0,0.0,0.0
5060,3.0507624638346226e-05,0.0,0.0008238437564997207,0.0
5115,3.992406998370502e-05,3.3538656897296835e-05,0.00012811971765477837,0.0007562428556916229
5170,4.437116315263507e-05,0.0,0.0007210457915950245,0.0
5225,3.816886501877944e-05,0.0,0.0,7.91222064818972e-05
5280,3.762015321958595e-05,0.00012406076342584186,0.0,0.00010111198231424839
5335,8.869300525682503e-05,5.2614469948625826e-05,0.0,0.0002858911398958972
5390,2.947033335523238e-05,0.0,0.0,0.0
5445,3.372420325588293e-05,0.0,0.0,0.0
5500,3.6568718550451026e-05,3.380166558304748e-05,0.0,0.0
