ts,Dtree,nDtree,HK,HDT
55,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
385,0.0,0.0,0.0,0.0
440,0.0,0.0,0.0,0.0
495,0.0,0.0,0.0,0.0
550,0.0,0.0,0.0,0.0
605,0.0,0.0,0.0,0.0
660,0.0,0.0,0.0,0.0
715,0.0,0.0,0.0,0.0
770,0.0,0.0,0.0,0.0
825,0.0,0.0,0.0,0.0
880,0.0,0.0,0.0,0.0
935,0.0,0.0,0.0,0.0
990,0.0,0.0,0.0,0.0
1045,1.4950562012271767e-05,1.0578279328645705e-05,3.1215205339740895e-06,4.8537156116141546e-06
1100,9.467943162381892e-06,1.7577817176885653e-05,4.016526043379171e-06,5.5004155253100464e-06
1155,6.989814890505137e-06,2.0858795632360796e-05,4.3260732695145694e-06,6.1011102747312195e-06
1210,4.467400915355979e-06,1.4965523710540625e-05,2.6438166131220634e-06,4.015488624302149e-06
1265,3.6401273308394714e-06,1.6312615953887388e-05,3.0315427989962604e-06,3.95358240695386e-06
1320,5.852387397282184e-06,2.9932069535813028e-05,4.661333297919392e-06,5.82851875748893e-06
1375,3.972526086753843e-06,2.4332105393538552e-05,3.487452897306864e-06,4.058490848884771e-06
1430,4.770724420769928e-06,3.563950290943667e-05,4.033745718408463e-06,5.21481624942166e-06
1485,4.560055588571455e-06,4.077439476335031e-05,3.943365112259299e-06,4.944943886911823e-06
1540,3.5272425139808826e-06,2.6885992249469876e-05,3.012090319088193e-06,3.5553016848082916e-06
1595,4.643996798414877e-06,2.4811842740439817e-05,4.240629175836253e-06,5.312480276749827e-06
1650,4.094212629091482e-06,2.75843813371765e-05,3.838250248463485e-06,4.895858123403697e-06
1705,3.44828556489052e-06,2.383560090898483e-05,3.000035804242722e-06,4.02839018233153e-06
