ts,Dtree,nDtree,HK,HDT
550,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0
1650,0.0,0.0,0.0,0.0
2200,0.0,0.0,0.0,0.0
2750,0.0,0.0,0.0,0.0
3300,0.0,0.0,0.0,0.0
3850,0.0,0.0,0.0,0.0
4400,0.0,0.0,0.0,0.0
4950,0.0,0.0,0.0,0.0
5500,0.0,0.0,0.0,0.0
6050,0.0,0.0,0.0,0.0
6600,0.0,0.0,0.0,0.0
7150,0.0,0.0,0.0,0.0
7700,0.0,0.0,0.0,0.0
8250,0.0,0.0,0.0,0.0
8800,0.0,0.0,0.0,0.0
9350,0.0,0.0,0.0,0.0
9900,0.0,0.0,0.0,0.0
10450,0.0,0.0,0.0,0.0
11000,0.0,0.0,0.0,0.0
11550,0.0,0.0,0.0,0.0
12100,0.0,0.0,0.0,0.0
12650,0.0,0.0,0.0,0.0
13200,0.0,0.0,0.0,0.0
13750,0.0,0.0,0.0,0.0
14300,0.0,0.0,0.0,0.0
14850,0.0,0.0,0.0,0.0
15400,0.0,0.0,0.0,0.0
15950,0.0,0.0,0.0,0.0
16500,0.0,0.0,0.0,0.0
17050,0.0,0.0,0.0,0.0
17600,0.0,0.0,0.0,0.0
18150,0.0,0.0,0.0,0.0
18700,0.0,0.0,0.0,0.0
19250,0.0,0.0,0.0,0.0
19800,0.0,0.0,0.0,0.0
20350,0.0,0.0,0.0,0.0
20900,0.0,0.0,0.0,0.0
21450,0.0,0.0,0.0,0.0
22000,0.0,0.0,0.0,0.0
22550,0.0,0.0,0.0,0.0
23100,0.0,0.0,0.0,0.0
23650,0.0,0.0,0.0,0.0
24200,0.0,0.0,0.0,0.0
24750,0.0,0.0,0.0,0.0
25300,0.0,0.0,0.0,0.0
25850,0.0,0.0,0.0,0.0
26400,0.0,0.0,0.0,0.0
26950,0.0,0.0,0.0,0.0
27500,0.0,0.0,0.0,0.0
28050,0.0,0.0,0.0,0.0
28600,0.0,0.0,0.0,0.0
29150,0.0,0.0,0.0,0.0
29700,0.0,0.0,0.0,0.0
30250,0.0,0.0,0.0,0.0
30800,0.0,0.0,0.0,0.0
31350,0.0,0.0,0.0,0.0
31900,0.0,0.0,0.0,0.0
32450,0.0,0.0,0.0,0.0
33000,0.0,0.0,0.0,0.0
33550,0.0,0.0,0.0,0.0
34100,0.0,0.0,0.0,0.0
34650,0.0,0.0,0.0,0.0
35200,0.0,0.0,0.0,0.0
35750,0.0,0.0,0.0,0.0
36300,0.0,0.0,0.0,0.0
36850,0.0,0.0,0.0,0.0
37400,0.0,0.0,0.0,0.0
37950,0.0,0.0,0.0,0.0
38500,0.0,0.0,0.0,0.0
39050,0.0,0.0,0.0,0.0
39600,0.0,0.0,0.0,0.0
40150,0.0,0.0,0.0,0.0
40700,0.0,0.0,0.0,0.0
41250,0.0,0.0,0.0,0.0
41800,0.0,0.0,0.0,0.0
42350,0.0,0.0,0.0,0.0
42900,0.0,0.0,0.0,0.0
43450,0.0,0.0,0.0,0.0
44000,0.0,0.0,0.0,0.0
44550,0.0,0.0,0.0,0.0
45100,0.0,0.0,0.0,0.0
45650,0.0,0.0,0.0,0.0
46200,0.0,0.0,0.0,0.0
46750,0.0,0.0,0.0,0.0
47300,0.0,0.0,0.0,0.0
47850,0.0,0.0,0.0,0.0
48400,0.0,0.0,0.0,0.0
48950,0.0,0.0,0.0,0.0
49500,0.0,0.0,0.0,0.0
50050,0.0,0.0,0.0,0.0
50600,0.0,0.0,0.0,0.0
51150,0.0,0.0,0.0,0.0
51700,0.0,0.0,0.0,0.0
52250,0.0,0.0,0.0,0.0
52800,0.0,0.0,0.0,0.0
53350,0.0,0.0,0.0,0.0
53900,0.0,0.0,0.0,0.0
54450,0.0,0.0,0.0,0.0
55000,0.0,0.0,0.0,0.0
