ts,Dtree,nDtree,HK,HDT
403,5.299424615371013e-07,6.910003286019142e-07,2.8154223206178295e-06,5.560294989627102e-06
806,3.352111084215937e-07,4.105005968781683e-07,1.621120393193666e-06,2.0476396496343284e-06
1209,6.476084292928032e-07,9.944468786638927e-07,5.099451872584607e-06,6.818260324681711e-06
1612,6.318467485159234e-07,7.283290055240608e-07,3.63824307356964e-06,3.7304239297504307e-06
2015,4.2949971480352483e-07,5.641468546205264e-07,2.995549277139727e-06,3.2888306170336634e-06
2418,5.618048250687367e-07,5.124303923894087e-07,2.7420840210648204e-06,3.5926845817589777e-06
2821,3.930353704842328e-07,5.572366079918143e-07,2.861369211778887e-06,4.018914043542147e-06
3224,4.808264222639302e-07,5.416571719905612e-07,3.428133596439523e-06,3.3694141859072714e-06
3627,3.5121650305175397e-06,6.566308950930755e-07,2.651858989715124e-06,3.7103147055724864e-06
4030,3.99705666200757e-07,6.033851025136186e-07,2.3953744753069247e-06,3.136859389431627e-06
4433,4.781974693392512e-07,6.982614555249236e-07,3.310277300785504e-06,3.3274587594443475e-06
4836,4.465085861650157e-07,6.266791528205159e-07,2.8955649801719954e-06,3.514029911386119e-06
5239,4.968683844511068e-07,6.934203392034527e-07,2.5972272887177696e-06,4.182602581401817e-06
5642,6.1009372546932e-07,7.208568743810357e-07,3.5397274873680223e-06,4.393090668844318e-06
6045,4.4899976874768627e-07,4.87274309940314e-07,1.944729890291468e-06,2.9782059983279136e-06
6448,4.971336262097929e-07,5.794883288061331e-07,2.371024247629636e-06,2.5718137090319566e-06
6851,5.245338833248291e-07,7.611796832996491e-07,2.986933979572829e-06,3.995897789492864e-06
7254,4.634803698043092e-07,5.214548229649912e-07,2.058103317322751e-06,2.975433663808166e-06
7657,5.446142672618105e-07,7.30640268617676e-07,2.31151923842175e-06,3.1266530085179334e-06
8060,4.6118829628352493e-07,5.499292186146508e-07,2.0410577923517605e-06,3.120389913675829e-06
8463,4.5615966854659564e-07,5.897444141368355e-07,1.926537637502328e-06,2.704998429008294e-06
8866,4.949264568890408e-07,5.183073718224239e-07,1.9262684921858866e-06,2.881675034487851e-06
9269,6.053208457027845e-07,6.239996539289093e-07,2.610215889647297e-06,3.7448362792778866e-06
9672,4.827287643127175e-07,4.3041049508614896e-07,2.0715002251311333e-06,2.4809991661551233e-06
10075,4.5790390905448114e-07,5.499142727162762e-07,2.319686975146775e-06,3.291045517441982e-06
10478,4.4776128554450177e-07,5.013917956988846e-07,2.3217910379812156e-06,3.3759752737655682e-06
10881,4.710204536752203e-07,5.595597367132655e-07,2.631182929612856e-06,3.794590199041161e-06
11284,4.429133840604513e-07,6.942589310081953e-07,3.067773558884255e-06,4.236127104101052e-06
11687,6.079775571630651e-07,6.690265421026645e-07,3.3612113850774737e-06,4.464052465079846e-06
12090,7.011459935942008e-07,9.527212664528431e-07,3.989396479591153e-06,5.520422174593832e-06
12493,6.606907364288401e-07,7.006593980237326e-07,3.6643133458505187e-06,4.611795564017474e-06
12896,7.545731002206121e-07,7.813453488117836e-07,3.7499765813509445e-06,5.689545879224448e-06
13299,6.023033240206155e-07,6.418822868789495e-07,3.0845868420312542e-06,3.245658434885298e-06
13702,6.364883423629416e-07,5.933801271697394e-07,2.8076572736580507e-06,3.5789177923456215e-06
14105,7.917112915694502e-07,7.493675270688241e-07,4.1277201852510395e-06,5.434404464627326e-06
14508,6.448002957391911e-07,7.444650635237262e-07,3.0082082700525863e-06,5.16210843651084e-06
14911,5.677029114838056e-07,5.455458863182342e-07,2.2184787289834353e-06,3.015603531805757e-06
15314,5.123715414919082e-07,6.710922106018042e-07,2.9964520601697837e-06,3.832386479352485e-06
15717,4.7200120279481327e-07,5.707931429847662e-07,2.1449456130797005e-06,2.4822945013961626e-06
16120,5.424237986679107e-07,6.674282836759589e-07,2.5723577267383716e-06,3.961170307553711e-06
16523,6.350890919731845e-07,7.022614027490041e-07,2.384256373226947e-06,3.982119566945375e-06
16926,7.767698419375233e-07,7.05579676834374e-07,3.755512170935267e-06,4.383687540966694e-06
17329,4.889990934679607e-07,6.806574366490946e-07,2.849714465344163e-06,3.903057914918473e-06
17732,6.815150561686021e-07,8.076473215362856e-07,4.220322101394385e-06,4.900969353285541e-06
18135,5.573845930586821e-07,6.092011354398957e-07,2.124961073668108e-06,3.1378404491653564e-06
18538,4.73045736521984e-07,6.238328348766732e-07,2.189230609477792e-06,3.110718877615935e-06
18941,4.753152091433981e-07,7.009726464084757e-07,2.257932136786428e-06,3.8738000332498574e-06
19344,5.414442776569458e-07,5.9864167197654e-07,3.1889696770234432e-06,3.3831595976025957e-06
19747,5.553634164180407e-07,6.789513826101073e-07,2.5929472674723693e-06,4.0695347364061374e-06
20150,5.042654660942402e-07,6.943413888390055e-07,3.000666336430406e-06,3.681511680597421e-06
20553,6.041074733264943e-07,7.299499995104194e-07,2.406647791552788e-06,3.9651166791448e-06
20956,5.32485387933401e-07,9.454377017924328e-07,3.4779478916616314e-06,5.108584176181e-06
21359,5.253426202158608e-07,7.41166630504774e-07,3.318785950536055e-06,4.295340809149647e-06
21762,6.23414189149083e-07,7.048870884236618e-07,2.907440135682748e-06,3.6870518732517454e-06
22165,7.448888888742065e-07,1.587868801840508e-06,3.4334999705688033e-06,5.067264291478444e-06
22568,5.347005326463083e-07,4.824831456720069e-07,1.9273450214949657e-06,3.0117016918056747e-06
22971,4.857825787069551e-07,5.517246362496883e-07,1.9748504634120336e-06,3.3443420833297946e-06
23374,4.88101334813787e-07,7.194069010562734e-07,2.69005713361e-06,4.212564626333979e-06
23777,4.926059934305935e-07,8.263101497010658e-07,2.580057990520082e-06,3.605385048116945e-06
24180,5.305931314884112e-07,7.876534513783665e-07,1.936704518128379e-06,3.4432903301960945e-06
24583,4.356482620148975e-07,5.925416146107351e-07,2.0903596674998844e-06,2.7156548339081418e-06
24986,5.294858270491056e-07,4.281892087467272e-07,1.9171933854605133e-06,2.6221006721838927e-06
25389,4.896256623589621e-07,4.849520453325988e-07,2.140748641169001e-06,3.0039248779554825e-06
25792,5.178391246889609e-07,5.575008167072691e-07,2.1912794875471167e-06,2.6771292325086466e-06
26195,4.911082720055494e-07,6.016081812622002e-07,1.859439491645265e-06,2.927109118633978e-06
26598,4.852599753698856e-07,6.389380182213868e-07,1.985599307521797e-06,3.756996143669863e-06
27001,6.519559326190703e-07,8.119984850047265e-07,3.533054301728303e-06,3.7283861682004376e-06
27404,7.219346151853734e-07,6.42807101039621e-07,2.4211031650868314e-06,3.880629478334907e-06
27807,5.803705863419465e-07,9.847069803838622e-07,3.1492301628565707e-06,5.187796035872413e-06
28210,5.930017917536041e-07,5.413599636400153e-07,2.357446923251562e-06,3.3986231432972634e-06
28613,4.6378920737562336e-07,8.317635181318804e-07,3.179747593017304e-06,4.099561877641402e-06
29016,5.537728823005541e-07,5.244084536185618e-07,2.2487205305899367e-06,2.8114211051580048e-06
29419,5.06559128457609e-07,5.093860425992808e-07,1.5979999203579084e-06,2.7566891933916836e-06
29822,3.4641995585262998e-06,5.140468332350997e-07,1.7294330018432625e-06,2.4999527820248886e-06
30225,4.54086623044523e-07,6.046884353619346e-07,2.084469894833366e-06,2.6235457448327773e-06
30628,7.800982914639987e-07,5.190003454813838e-07,2.3123491053162393e-06,2.9068323803302408e-06
31031,7.127148795927643e-07,4.903342177517977e-07,2.8600591284359284e-06,3.3264292808341106e-06
31434,4.7515436742374737e-07,5.032748848476762e-07,1.5871799197712897e-06,2.416177964471844e-06
31837,4.142077947269571e-07,4.666463265343983e-07,1.7983335776844498e-06,2.337425699529548e-06
32240,5.749985609380956e-07,7.848304333138068e-07,4.11893522094876e-06,3.6078568837959113e-06
32643,7.896673255606065e-07,5.029322874301227e-07,1.9408959030119275e-06,2.7532479580045645e-06
33046,6.477007335393066e-07,7.91786812196209e-07,2.7702454611260828e-06,3.693066015591572e-06
33449,5.717471204646886e-07,6.15607113575819e-07,2.2562936728070308e-06,3.6488095179785816e-06
33852,5.126011439593102e-07,9.864991826206494e-07,3.5275688277170414e-06,5.722931807423454e-06
34255,8.146101028446638e-07,7.706248114676091e-07,3.0256213373083468e-06,4.192216178135485e-06
34658,4.82873172743059e-07,7.624435174718777e-07,1.7551224916842469e-06,3.090690091679864e-06
35061,4.12799174450825e-07,6.723996745574726e-07,2.3786221671312766e-06,3.261998007883664e-06
35464,6.618866612147635e-07,4.230012903125561e-07,1.4723976729904059e-06,2.8169919509029474e-06
35867,9.097486021655895e-07,1.3943322472141328e-06,4.713594914708286e-06,1.1786404866681854e-05
36270,5.743076833837741e-07,9.495583030907807e-07,3.1091983886655895e-06,3.4187714249745574e-06
36673,7.682518919366698e-07,6.470019993998414e-07,2.0314973370736215e-06,2.3693316126390557e-06
37076,3.3879992313003647e-07,7.750003257527404e-07,2.7462451281998005e-06,4.6301570502214195e-06
37479,4.559979036002965e-07,2.011144571072768e-06,8.835769206870197e-06,1.1991268255979024e-05
37882,0.0,4.641689423819277e-07,1.3403946035769833e-06,1.9079967426212458e-06
38285,3.9025228696362483e-07,5.573983564936967e-07,1.666711623889555e-06,2.4834960479699444e-06
38688,4.4820100301473873e-07,5.591969696186965e-07,2.0969953983530654e-06,3.1481899687214957e-06
39091,4.509884468730767e-07,4.219961556842461e-07,1.2559986271976637e-06,1.6914916167720505e-06
39494,4.73997954740411e-07,9.670006474199426e-07,6.8649870897090085e-06,4.587741740862409e-06
39897,7.808546556475144e-07,1.2488311569171581e-06,3.836994106041501e-06,8.753314092290528e-06
40300,4.807504215235019e-07,7.829971433406669e-07,2.399331187636139e-06,3.117654984641355e-06
