ts,Dtree,nDtree,HK,HDT
40003,2.002944710532255e-06,1.7536676139675227e-06,1.80657644389237e-05,1.253330055738414e-05
80006,1.5294259893768135e-06,1.3418863673033308e-06,1.3074007482729074e-05,9.247499359267305e-06
120009,1.140894205448655e-06,1.061742396046671e-06,8.66940093345114e-06,6.8112998250482665e-06
160012,1.046616028775714e-06,9.937927246547518e-07,7.125013241341577e-06,6.433793889774548e-06
200015,1.0123260510228085e-06,9.62803920732719e-07,6.226773467140601e-06,5.616742645914987e-06
240018,1.0292178669221972e-06,9.816415595686868e-07,6.132982284267317e-06,5.66225416101782e-06
280021,1.0009512148366874e-06,9.484654146306033e-07,5.776262154965613e-06,5.435392117135461e-06
320024,9.854828647258647e-07,9.331806655430235e-07,5.557537766982616e-06,5.3138089208963515e-06
360027,1.0020701008333731e-06,9.50748661017552e-07,5.645796527788999e-06,5.411474802858347e-06
400030,1.0096686733166612e-06,9.533767479004894e-07,5.61841296652624e-06,5.405423160481529e-06
440033,1.0027754218932789e-06,9.469684529239536e-07,5.4750037201900564e-06,5.349726714373282e-06
480036,9.830408557350599e-07,9.301287095592273e-07,5.314041317140959e-06,5.253266362262353e-06
520039,9.825616980040847e-07,9.305425478271881e-07,5.322316695262373e-06,5.246330134616383e-06
560042,9.796292746568374e-07,9.259540448171448e-07,5.31907715961244e-06,5.228743637830125e-06
600045,9.802857163630487e-07,9.249493263855862e-07,5.266601598323035e-06,5.1950371738303425e-06
640048,9.776466014526166e-07,9.239323644678401e-07,5.26409760744399e-06,5.175506370529944e-06
680051,9.75871546585082e-07,9.191851626833909e-07,5.244728448723854e-06,5.518094984732827e-06
720054,9.734434176449922e-07,9.175483165088052e-07,5.226089019205709e-06,5.138630924555062e-06
760057,9.742790181089086e-07,9.207378881848029e-07,5.239288629837739e-06,5.148472773076386e-06
800060,9.726230093886396e-07,9.195517030952679e-07,5.230113225411255e-06,5.146990328985714e-06
840063,9.703925823018455e-07,9.162608957681401e-07,5.1643162682080304e-06,5.095753912035636e-06
880066,9.716096485686094e-07,9.169803786484831e-07,5.1648298999080755e-06,5.101430067508394e-06
920069,9.666125371006178e-07,9.100342556622544e-07,5.141495173848537e-06,5.073687250294798e-06
960072,9.761258403998e-07,9.216180035966344e-07,5.198213651153256e-06,5.1293186583547e-06
1000075,9.808705205920197e-07,9.227236989508276e-07,5.206015180580554e-06,5.146756029776532e-06
1040078,9.979126329419346e-07,9.42450749156721e-07,5.283904980157654e-06,5.226608419334386e-06
1080081,9.78634297537648e-07,9.219522313044709e-07,5.1880210290648345e-06,5.133218999417482e-06
1120084,9.872482943677266e-07,9.306509445513036e-07,5.243289133959855e-06,5.169675285059535e-06
1160087,9.796783614309992e-07,9.233493672801089e-07,5.209804402247705e-06,5.505530685352843e-06
1200090,9.77873111259753e-07,9.233349805208677e-07,5.186693006257957e-06,5.108648561751304e-06
1240093,9.79943865871756e-07,9.214633642159857e-07,5.1991083938705264e-06,5.128797986870364e-06
1280096,9.709646408509153e-07,9.150485413973203e-07,5.145388928645521e-06,5.092960181633466e-06
1320099,1.0009652611211398e-06,9.433113114879501e-07,5.301385108720765e-06,5.2468504302511525e-06
1360102,9.957326263907332e-07,9.380240304998392e-07,5.288425196743297e-06,5.2197999040762855e-06
1400105,1.000585449870642e-06,9.457593784979414e-07,5.302632387691154e-06,5.231548499326252e-06
1440108,9.760725122357353e-07,9.190924620359716e-07,5.1817436309773845e-06,5.11289391848337e-06
1480111,9.800594439397906e-07,9.215225791684451e-07,5.187780374313472e-06,5.127456923451735e-06
1520114,9.775839493309801e-07,9.197581145210959e-07,5.180866255266035e-06,5.114178174580936e-06
1560117,9.780515385122222e-07,9.188984542027503e-07,5.194519958635973e-06,5.1326853540153305e-06
1600120,9.776575913506892e-07,9.207557913431781e-07,5.205357571340466e-06,5.12288453144052e-06
1640123,9.7884060808643e-07,9.241027011818994e-07,5.197706223972072e-06,5.13767962170399e-06
1680126,9.804245732539888e-07,9.221936253764494e-07,5.2108087019382155e-06,5.295492675122857e-06
1720129,9.914462810988956e-07,9.333422798753853e-07,5.270368010325531e-06,5.186883057945186e-06
1760132,9.738094420610326e-07,9.1846576134834e-07,5.190305713220605e-06,5.117502774561256e-06
1800135,9.746577069473293e-07,9.185149730914246e-07,5.173394958874522e-06,5.115441566170917e-06
1840138,9.732473832848158e-07,9.210048289948976e-07,5.1773295847395006e-06,5.1201622311870744e-06
1880141,9.844416400990502e-07,9.2843035153499e-07,5.2399329662846835e-06,5.173015107475269e-06
1920144,9.78605370495297e-07,9.234963901602746e-07,5.206597581927231e-06,5.1451403893251784e-06
1960147,9.766312743440555e-07,9.233317821698196e-07,5.19258789827902e-06,5.120643231608623e-06
2000150,9.79956460091793e-07,9.263604881965091e-07,5.209296207111535e-06,5.147415698410903e-06
2040153,9.82898261147912e-07,9.269093315484798e-07,5.218082503136102e-06,5.153077255027704e-06
2080156,9.788257852311672e-07,9.197980487709653e-07,5.184282916175206e-06,5.141418572223422e-06
2120159,9.735548346013607e-07,9.18445956808345e-07,5.171970204071645e-06,5.089056802667814e-06
2160162,9.844251778416227e-07,9.333069021498424e-07,5.231595498407645e-06,5.326129051928318e-06
2200165,9.74394666661935e-07,9.171100455022637e-07,5.17780800068354e-06,5.086172354130597e-06
2240168,9.748486475671044e-07,9.183551232867838e-07,5.181255203312797e-06,5.101769221562007e-06
2280171,9.759145999769004e-07,9.17746476124531e-07,5.188042728589216e-06,5.109664762130644e-06
2320174,9.786070833512409e-07,9.21157364729799e-07,5.195731114149454e-06,5.126443744626513e-06
2360177,9.763104690063924e-07,9.20435225789923e-07,5.188451640475917e-06,5.112590127428128e-06
2400180,9.742269711533712e-07,9.211473878778698e-07,5.198088804567339e-06,5.118891626897812e-06
2440183,9.76346481409378e-07,9.216046689660793e-07,5.183606471628822e-06,5.127337738311395e-06
2480186,9.801486499957507e-07,9.201262224634086e-07,5.20273358073278e-06,5.121362539740745e-06
2520189,9.769457559205732e-07,9.188951767115958e-07,5.192099774047346e-06,5.1092289034680455e-06
2560192,9.835396934489479e-07,9.311606791822488e-07,5.219005244576363e-06,5.1556560971065575e-06
2600195,9.775741825738217e-07,9.207170494289526e-07,5.194644419086368e-06,5.134665535255545e-06
2640198,9.762245933859298e-07,9.180608632646749e-07,5.1823798959987435e-06,5.116172134739611e-06
2680201,9.773460929166922e-07,9.20466974166502e-07,5.187653966788567e-06,5.2741001531613505e-06
2720204,9.763927554962975e-07,9.211085206886502e-07,5.187286321766369e-06,5.106920291808041e-06
2760207,9.748960823209255e-07,9.219930787254176e-07,5.201474673091276e-06,5.1283814149708366e-06
2800210,9.755012029181095e-07,9.228566327808299e-07,5.188548507500674e-06,5.1289932007395295e-06
2840213,9.87416889094729e-07,9.288707823241213e-07,5.2340596875854755e-06,5.170121096608839e-06
2880216,9.746983311281738e-07,9.226724194262504e-07,5.186113650709296e-06,5.097307119970401e-06
2920219,9.802886513376002e-07,9.241935158716555e-07,5.19401243772432e-06,5.132634276037536e-06
2960222,9.739840633523276e-07,9.16506647272731e-07,5.17635421426518e-06,5.098419577385979e-06
3000225,9.767962528523664e-07,9.200913052930409e-07,5.18073272029617e-06,5.121282775315636e-06
3040228,9.739110326464518e-07,9.174626548064394e-07,5.172930012019026e-06,5.099256779053117e-06
3080231,9.785316834621343e-07,9.198669072032081e-07,5.1869565297216295e-06,5.13097340275027e-06
