ts,Dtree,nDtree,HK,HDT,ET,opt
1423733250,0.0,0.0,0.0,0.0,0,0
1424167867,0.0,0.0,0.0,0.0,0,0
1424602484,0.0,0.0,0.0,0.0,0,0
1425037101,3.973030250595193e-05,1.4001429941640589e-05,5.380923192262262e-05,1.1317443551612169e-05,0,0
1425471718,1.7624823351996265e-05,1.4613853017169103e-05,6.084439247281799e-05,1.1720882982925762e-05,0,0
1425906335,0.0,0.0,0.0,0.0,0,0
1426340952,0.0,0.0,0.0,0.0,0,0
1426775569,0.0,0.0,0.0,0.0,0,0
1427210186,1.826540809348178e-05,1.2498437435273039e-05,4.9526252702477324e-05,1.5229923767591241e-05,0,0
1427644803,1.6193262120681808e-05,1.0982840940724575e-05,4.1097655428594776e-05,9.771842939497822e-06,0,0
1428079420,1.5744422347891286e-05,1.04234483810492e-05,4.151079319126533e-05,1.0155949136859966e-05,0,0
1428514037,1.571594754487685e-05,1.0178299540837251e-05,3.7593541690705574e-05,9.308635117266172e-06,0,0
1428948654,1.50694628040365e-05,1.0043724971200409e-05,2.937817657392146e-05,7.555981237853235e-06,0,0
1429383271,2.3441765965851525e-05,1.2138878929922324e-05,5.5312446268746195e-05,1.0514894154326725e-05,0,0
1429817888,1.6357837142712525e-05,1.1772881913015628e-05,4.144258521951693e-05,9.01090872867895e-06,0,0
1430252505,1.7000830734004248e-05,1.2900871436994261e-05,4.541654619951587e-05,8.896911983736777e-06,0,0
1430687122,0.0,0.0,0.0,0.0,0,0
1431121739,1.6357835323741312e-05,1.1615884688578426e-05,4.2273578580614435e-05,8.550914555326182e-06,0,0
1431556356,0.0,0.0,0.0,0.0,0,0
1431990973,0.0,0.0,0.0,0.0,0,0
1432425590,1.6017567374544204e-05,1.093057832204438e-05,3.6845726731726294e-05,1.127377728034988e-05,0,0
1432860207,0.0,0.0,0.0,0.0,0,0
1433294824,1.5959838965240854e-05,1.1533883647287587e-05,4.559454344661678e-05,1.4265858358365718e-05,0,0
1433729441,0.0,0.0,0.0,0.0,0,0
1434164058,1.6364917458226806e-05,1.0305948619541856e-05,4.111479481164238e-05,8.158459557666226e-06,0,0
