ts,Dtree,nDtree,HK,HDT,ET,opt
1423733250,0.0,0,0.0,0.0,0,0
1424167867,0.0,0,0.0,0.0,0,0
1424602484,0.0,0,0.0,0.0,0,0
1425037101,0.0,0,0.0,0.0,0,0
1425471718,0.0,0,0.0,0.0,0,0
1425906335,0.0,0,0.0,0.0,0,0
1426340952,0.0,0,0.0,0.0,0,0
1426775569,0.0,0,0.0,0.0,0,0
1427210186,0.0,0,0.0,0.0,0,0
1427644803,0.0,0,0.0,0.0,0,0
1428079420,0.0,0,0.0,0.0,0,0
1428514037,0.0,0,0.0,0.0,0,0
1428948654,0.0,0,0.0,0.0,0,0
1429383271,0.0,0,0.0,0.0,0,0
1429817888,0.0,0,0.0,0.0,0,0
1430252505,0.0,0,0.0,0.0,0,0
1430687122,0.0,0,0.0,0.0,0,0
1431121739,0.0,0,0.0,0.0,0,0
1431556356,0.0,0,0.0,0.0,0,0
1431990973,0.0,0,0.0,0.0,0,0
1432425590,0.0,0,0.0,0.0,0,0
1432860207,0.0,0,0.0,0.0,0,0
1433294824,0.0,0,0.0,0.0,0,0
1433729441,0.0,0,0.0,0.0,0,0
1434164058,0.0,0,0.0,0.0,0,0
1434598675,0.0,0,0.0,0.0,0,0
1435033292,0.0,0,0.0,0.0,0,0
1435467909,0.0,0,0.0,0.0,0,0
1435902526,0.0,0,0.0,0.0,0,0
1436337143,0.0,0,0.0,0.0,0,0
1436771760,0.0,0,0.0,0.0,0,0
1437206377,0.0,0,0.0,0.0,0,0
1437640994,0.0,0,0.0,0.0,0,0
1438075611,3.998959101390656e-06,0,7.427925383214377e-06,8.620914024548145e-06,0,0
1438510228,0.0,0,0.0,0.0,0,0
1438944845,0.0,0,0.0,0.0,0,0
1439379462,0.0,0,0.0,0.0,0,0
1439814079,0.0,0,0.0,0.0,0,0
1440248696,0.0,0,0.0,0.0,0,0
1440683313,0.0,0,0.0,0.0,0,0
1441117930,0.0,0,0.0,0.0,0,0
1441552547,0.0,0,0.0,0.0,0,0
1441987164,0.0,0,0.0,0.0,0,0
1442421781,0.0,0,0.0,0.0,0,0
1442856398,0.0,0,0.0,0.0,0,0
1443291015,0.0,0,0.0,0.0,0,0
1443725632,0.0,0,0.0,0.0,0,0
1444160249,0.0,0,0.0,0.0,0,0
1444594866,0.0,0,0.0,0.0,0,0
1445029483,0.0,0,0.0,0.0,0,0
1445464100,0.0,0,0.0,0.0,0,0
1445898717,0.0,0,0.0,0.0,0,0
1446333334,0.0,0,0.0,0.0,0,0
1446767951,0.0,0,0.0,0.0,0,0
1447202568,0.0,0,0.0,0.0,0,0
1447637185,0.0,0,0.0,0.0,0,0
1448071802,0.0,0,0.0,0.0,0,0
1448506419,0.0,0,0.0,0.0,0,0
1448941036,0.0,0,0.0,0.0,0,0
1449375653,0.0,0,0.0,0.0,0,0
1449810270,4.8209521929221126e-06,0,4.241957284817916e-06,5.911940204468942e-06,0,0
1450244887,0.0,0,0.0,0.0,0,0
1450679504,0.0,0,0.0,0.0,0,0
1451114121,0.0,0,0.0,0.0,0,0
1451548738,0.0,0,0.0,0.0,0,0
1451983355,0.0,0,0.0,0.0,0,0
1452417972,0.0,0,0.0,0.0,0,0
1452852589,4.9399501992167214e-06,0,3.5449648045867187e-06,1.4280857594994992e-05,0,0
1453287206,0.0,0,0.0,0.0,0,0
1453721823,0.0,0,0.0,0.0,0,0
1454156440,0.0,0,0.0,0.0,0,0
1454591057,0.0,0,0.0,0.0,0,0
1455025674,0.0,0,0.0,0.0,0,0
1455460291,0.0,0,0.0,0.0,0,0
1455894908,0.0,0,0.0,0.0,0,0
1456329525,0.0,0,0.0,0.0,0,0
1456764142,5.381946561894211e-06,0,4.569954174096412e-06,6.10093858947112e-06,0,0
1457198759,0.0,0,0.0,0.0,0,0
1457633376,0.0,0,0.0,0.0,0,0
1458067993,0.0,0,0.0,0.0,0,0
1458502610,0.0,0,0.0,0.0,0,0
1458937227,0.0,0,0.0,0.0,0,0
1459371844,0.0,0,0.0,0.0,0,0
1459806461,0.0,0,0.0,0.0,0,0
1460241078,0.0,0,0.0,0.0,0,0
1460675695,0.0,0,0.0,0.0,0,0
1461110312,0.0,0,0.0,0.0,0,0
1461544929,1.0625628065460883e-06,0,1.510868286473879e-06,1.4395699873631775e-06,0,0
1461979546,8.789746660707188e-07,0,1.3605564929469048e-06,1.2025924008622233e-06,0,0
1462414163,8.214473256512754e-07,0,1.2875613122560056e-06,1.2221731218875357e-06,0,0
1462848780,8.458075534187812e-07,0,1.3737812189509297e-06,1.284382735155948e-06,0,0
1463283397,8.521914498192614e-07,0,1.3435375147920671e-06,1.2888126741452692e-06,0,0
1463718014,8.351920294521881e-07,0,1.3452030671230947e-06,1.3205889851049102e-06,0,0
1464152631,8.656809266961259e-07,0,1.429368899649914e-06,1.3793043277578374e-06,0,0
1464587248,8.853327067044988e-07,0,1.6443728918521686e-06,1.931122570463548e-06,0,0
1465021865,0.0,0,0.0,0.0,0,0
1465456482,0.0,0,0.0,0.0,0,0
1465891099,0.0,0,0.0,0.0,0,0
1466325716,0.0,0,0.0,0.0,0,0
1466760333,0.0,0,0.0,0.0,0,0
