ts,Dtree,nDtree,HK,HDT,ET,opt
1423733250,2.60148744762001e-06,2.8919858788317417e-06,1.573541930485365e-05,1.3632929996833572e-05,0,0
1424167867,2.9299697277039317e-06,3.846962228820282e-06,4.076759228663145e-05,1.586783903918757e-05,0,0
1424602484,0.0,0.0,0.0,0.0,0,0
1425037101,0.0,0.0,0.0,0.0,0,0
1425471718,0.0,0.0,0.0,0.0,0,0
1425906335,3.258483126318941e-06,3.104985744503528e-06,1.5094425195929863e-05,1.1322943238575355e-05,0,0
1426340952,1.7741399451714266e-06,2.001140403500563e-06,1.167784019874218e-05,8.97212980822191e-06,0,0
1426775569,1.8804909467614293e-06,2.3854871739291153e-06,2.039839897280736e-05,1.1845440784782663e-05,0,0
1427210186,1.4023270163462546e-06,1.5706605852769013e-06,7.2406420526321215e-06,7.913973903043587e-06,0,0
1427644803,1.3664969117616153e-06,1.4314965166089109e-06,1.1454721073735043e-05,9.320977259169744e-06,0,0
1428079420,1.5829851644357867e-06,2.4379762127574015e-06,7.60592263031529e-06,7.743922519395212e-06,0,0
1428514037,2.177979743336865e-06,2.957969151598474e-06,2.1705781675706544e-05,1.308986982199644e-05,0,0
1428948654,2.0619803110882614e-06,2.055979525053824e-06,8.465914030503733e-06,8.435917376216402e-06,0,0
1429383271,0.0,0.0,0.0,0.0,0,0
1429817888,1.6029847529318886e-06,3.3649675986361962e-06,1.3134869350855472e-05,1.2233876520536003e-05,0,0
1430252505,0.0,0.0,0.0,0.0,0,0
1430687122,0.0,0.0,0.0,0.0,0,0
1431121739,1.4745971905781383e-06,1.8901961479193355e-06,9.934979382477919e-06,8.859982078041291e-06,0,0
1431556356,0.0,0.0,0.0,0.0,0,0
1431990973,1.792981753130462e-06,3.0419692422533152e-06,2.4971749947058625e-05,1.939280698373501e-05,0,0
1432425590,0.0,0.0,0.0,0.0,0,0
1432860207,2.962985227728901e-06,2.432987116218899e-06,1.0129951360798668e-05,1.1245944892620288e-05,0,0
1433294824,2.447976916491059e-06,3.5869639404285324e-06,1.4291856913925044e-05,1.3659864460534588e-05,0,0
1433729441,1.6599858538597956e-06,2.9469716516396353e-06,1.3346866807885364e-05,1.2087878615028854e-05,0,0
1434164058,1.4932446860259567e-06,2.025495571033543e-06,1.2430719226085033e-05,9.932475402656116e-06,0,0
1434598675,1.6879956638812019e-06,2.0264960127043887e-06,1.5000962562833671e-05,1.1299971391849934e-05,0,0
1435033292,0.0,0.0,0.0,0.0,0,0
1435467909,0.0,0.0,0.0,0.0,0,0
1435902526,1.5884927662852207e-06,2.28448829229164e-06,1.3826432212576999e-05,1.1704440707177791e-05,0,0
1436337143,0.0,0.0,0.0,0.0,0,0
1436771760,0.0,0.0,0.0,0.0,0,0
1437206377,2.0179812163968375e-06,2.999969196925895e-06,2.6388735798519948e-05,1.2920871025490363e-05,0,0
1437640994,2.0046627406221385e-06,2.1689969422408488e-06,1.3891976361887006e-05,1.0240815966886911e-05,0,0
1438075611,0.0,0.0,0.0,0.0,0,0
1438510228,0.0,0.0,0.0,0.0,0,0
1438944845,1.3411644209768753e-06,1.3878311226768093e-06,1.1034815341633508e-05,7.664153255934522e-06,0,0
1439379462,2.1766597357094447e-06,2.4109939024861575e-06,1.3194621995231173e-05,1.1462627895244756e-05,0,0
1439814079,1.67574616511412e-06,2.305745203571719e-06,9.760475832634552e-06,9.098477667334941e-06,0,0
1440248696,1.8029938703793193e-06,1.9026596055592864e-06,1.6769277747953693e-05,1.2076960414686848e-05,0,0
1440683313,2.1539784181703293e-06,2.795975213236871e-06,2.4997750321589163e-05,1.531684537394913e-05,0,0
1441117930,1.8649820906876419e-06,2.1149778563745205e-06,1.2257876026731326e-05,8.820911728480377e-06,0,0
1441552547,1.787981401263633e-06,2.5149750832101967e-06,1.367986404903069e-05,1.3942861820954051e-05,0,0
1441987164,1.3791645621078826e-06,1.5814970858712284e-06,8.298653598003322e-06,8.599319009209707e-06,0,0
1442421781,1.8117967700316226e-06,1.8859964735837775e-06,1.0961578568852757e-05,9.292580912550394e-06,0,0
1442856398,1.4371228415560895e-06,1.4569984591767622e-06,1.4180481921806904e-05,9.498113236888975e-06,0,0
1443291015,1.3423731662045327e-06,1.5581230022981363e-06,1.176348549269155e-05,9.23111366578631e-06,0,0
1443725632,1.6163978423280945e-06,1.8881982431631297e-06,1.4441585627818022e-05,1.0178389501327176e-05,0,0
1444160249,1.609396404910402e-06,1.7191972978663773e-06,1.1446978194570643e-05,9.675180921524e-06,0,0
1444594866,1.6237450260483987e-06,2.0114957540886947e-06,8.955727828545418e-06,9.56172627131942e-06,0,0
1445029483,1.662297447441804e-06,1.7579983860381008e-06,1.1874988507144786e-05,9.186990881786826e-06,0,0
1445464100,1.6802062050511112e-06,1.5178269587025923e-06,1.3510926267020849e-05,9.505307498581897e-06,0,0
1445898717,1.7384978588113307e-06,1.7933721530499325e-06,1.826410234389994e-05,1.2272359647792959e-05,0,0
1446333334,1.5310473292957141e-06,1.54661821764953e-06,1.4428326650750924e-05,1.0981994830204015e-05,0,0
1446767951,1.5939968714190495e-06,1.5713970646732479e-06,1.5015569606851604e-05,1.1869775969977677e-05,0,0
1447202568,1.520832649590384e-06,1.4554989318751016e-06,1.533243627606783e-05,1.0406994259528195e-05,0,0
1447637185,1.6187455461714527e-06,1.780496046021413e-06,1.808595451230466e-05,1.1350221757991676e-05,0,0
1448071802,1.6716656694577727e-06,1.5895322893452522e-06,1.7730321333332255e-05,1.1687859144066028e-05,0,0
1448506419,2.0264895822544564e-06,1.8924898503674015e-06,1.9349904162278912e-05,1.297493478845504e-05,0,0
1448941036,1.838979897185889e-06,2.079977212277932e-06,1.0743891716321107e-05,8.87891144460468e-06,0,0
1449375653,1.4075873141558456e-06,1.5388813570751124e-06,1.3040580416616435e-05,1.0189052878461438e-05,0,0
1449810270,1.566927414611647e-06,1.4333554801389924e-06,1.1667420281248877e-05,9.242993679969377e-06,0,0
1450244887,1.4442833188223984e-06,1.4748545103434047e-06,1.6700262596021912e-05,1.0449413445515755e-05,0,0
1450679504,1.802745868781029e-06,1.629745402342405e-06,1.4066965225556868e-05,9.837725390995142e-06,0,0
1451114121,0.0,0.0,0.0,0.0,0,0
1451548738,1.850491414021113e-06,1.7624900561790553e-06,9.58595255785303e-06,9.51245302052164e-06,0,0
1451983355,1.5853305996500116e-06,1.5551639233295998e-06,6.997821561850627e-06,7.033155675289216e-06,0,0
1452417972,1.8992820796708385e-06,1.931425395501875e-06,1.9004401246274745e-05,1.1152411827935946e-05,0,0
1452852589,1.4249992824532931e-06,1.5224732248464613e-06,1.4188624558225464e-05,1.1127099369152855e-05,0,0
1453287206,1.5459275867310307e-06,1.63428493389588e-06,1.6199059888449023e-05,1.1838848736292126e-05,0,0
1453721823,1.5677969280460232e-06,1.5055967097922092e-06,1.811996276390391e-05,1.3021173586945651e-05,0,0
1454156440,1.6994968539672721e-06,1.6699977456453483e-06,1.5536474040749056e-05,1.1015314291904744e-05,0,0
1454591057,1.5107485667267492e-06,1.4417490507640912e-06,1.6040569458715377e-05,1.2268990083993186e-05,0,0
1455025674,1.4847994925533177e-06,1.4137593263713576e-06,1.56921938273628e-05,1.0544716280842054e-05,0,0
1455460291,2.010488921969467e-06,2.110490092907651e-06,1.6588916697824963e-05,1.0660947183007962e-05,0,0
1455894908,1.4824656743026046e-06,1.5563989343847268e-06,1.7893321592712922e-05,1.2685458115321004e-05,0,0
1456329525,1.4439156169206928e-06,1.3999161189045704e-06,1.7141402890068554e-05,1.1602323595608973e-05,0,0
1456764142,1.4609988245349113e-06,1.447931940966855e-06,1.3997457553846386e-05,1.0915059343318313e-05,0,0
1457198759,1.6376867502824412e-06,1.7980611477303573e-06,1.852505058166769e-05,1.3311116938593925e-05,0,0
1457633376,1.6879909891680647e-06,1.737492719287511e-06,7.585961880734904e-06,8.293457000252574e-06,0,0
1458067993,1.7019942140831553e-06,1.8746599950025403e-06,1.8984270132248167e-05,1.2616624880666496e-05,0,0
1458502610,1.617097970649391e-06,1.5509981446116447e-06,1.2855786612738608e-05,9.312290750156571e-06,0,0
1458937227,1.5729976835515592e-06,1.6301408941751651e-06,1.7058975888900612e-05,1.0842555481218335e-05,0,0
1459371844,1.5667972134692636e-06,1.4841974336516866e-06,1.2129375433888842e-05,1.0224779830852067e-05,0,0
1459806461,1.6054263204557216e-06,1.457712378693148e-06,9.132415807214823e-06,7.684703698265013e-06,0,0
1460241078,1.4718734538041906e-06,1.6208730560620412e-06,1.4552731726214746e-05,1.0124862532843412e-05,0,0
