ts,Dtree,nDtree,HK,HDT
916721318,98,0,608,600
917997376,32,0,102,119
919273434,148,0,993,955
920549492,49,0,248,249
921825550,53,0,294,286
923101608,26,0,137,93
924377666,71,0,322,310
925653724,16,0,56,55
926929782,291,0,1013,1021
928205840,400,0,1511,1439
929481898,562,0,2435,2421
930757956,437,0,1940,2004
932034014,801,0,2611,2735
933310072,845,0,4065,3673
934586130,539,0,2161,2125
935862188,314,0,1344,1303
937138246,490,0,2401,2697
938414304,1219,0,5137,4780
939690362,2016,0,7731,7507
940966420,1538,0,3778,4283
942242478,1771,0,7927,7339
943518536,2238,0,7941,7399
944794594,1766,0,6326,5839
946070652,4622,0,14597,14907
947346710,3218,0,10493,9939
948622768,4313,0,14548,13691
949898826,8027,0,29391,28430
951174884,10432,0,30557,28758
952450942,7669,0,26445,26743
953727000,8741,0,25059,23719
955003058,8107,0,29202,30077
956279116,8667,0,33771,34515
957555174,7464,0,30975,31155
958831232,10882,0,39270,38889
960107290,8169,0,32303,30354
961383348,11147,0,49947,51682
962659406,13734,0,56934,56882
963935464,9311,0,36566,38956
965211522,12806,0,53897,53886
966487580,12558,0,51073,50441
967763638,16640,0,71611,70677
969039696,16030,0,62322,63461
970315754,20354,0,77642,73718
971591812,19705,0,78478,77076
972867870,19472,0,90151,91697
974143928,25848,0,117132,117993
975419986,23475,0,95356,93408
976696044,33868,0,149333,146187
977972102,17517,0,73880,70309
979248160,13923,0,55675,56195
980524218,16757,0,68075,69762
981800276,16849,0,74600,72872
983076334,17501,0,79035,75499
984352392,20332,0,87571,90534
985628450,22284,0,90869,102324
986904508,22022,0,115657,100931
988180566,27422,0,129400,129437
989456624,35567,0,157183,165470
990732682,33083,0,161900,169066
992008740,33302,0,149920,147723
993284798,27858,0,95544,101132
994560856,18014,0,63729,57385
995836914,19852,0,80234,81816
997112972,22188,0,91081,82254
998389030,19397,0,79222,74372
999665088,18575,0,80671,84507
1000941146,27730,0,114591,115267
1002217204,36160,0,157876,149915
1003493262,38972,0,179147,171187
