ts,Dtree,nDtree,HK,HDT
916721318,0.0,0.0,0.0,0.0
917997376,0.0,0.0,0.0,0.0
919273434,1.0289964502785187e-06,0.0,0.0,0.0
920549492,1.0316630798553517e-06,0.0,1.9389814776088253e-06,3.280967507981355e-06
921825550,0.0,0.0,0.0,0.0
923101608,0.0,0.0,0.0,0.0
924377666,1.8569804363179873e-06,0.0,0.0,0.0
925653724,1.1559947277890165e-06,0.0,0.0,4.042960015053293e-06
926929782,0.0,0.0,0.0,0.0
928205840,4.4299961110662774e-07,7.439987741913634e-07,1.4664928474942923e-06,2.733662153190799e-06
929481898,3.9823090386456804e-07,4.969989063204769e-07,1.613140903350956e-06,1.8424967707587356e-06
930757956,3.866240804008053e-07,4.51166601887008e-07,1.4268737113882323e-06,1.4161965132908333e-06
932034014,3.9494710048772394e-07,4.883124024074934e-07,1.6205254140930477e-06,1.6583673625187474e-06
933310072,3.901360911685727e-07,4.800456373084175e-07,1.6817078293504767e-06,1.5257385444992231e-06
934586130,3.855650910547699e-07,4.6884106622154963e-07,1.7231666948279753e-06,1.525169013881159e-06
935862188,3.9783784926462765e-07,4.946202434625276e-07,1.9865477294542788e-06,1.5002898886021703e-06
937138246,4.671872411121263e-07,5.316106760033009e-07,1.7259364439683003e-06,1.6363319451156709e-06
938414304,4.132829289669582e-07,4.6899993982187646e-07,1.5639306091606474e-06,1.4444702419464387e-06
939690362,4.356426094500048e-07,5.773910368240378e-07,1.8211096366277156e-06,1.6680900799224471e-06
940966420,3.4067053960095727e-07,4.1069197266986853e-07,1.4967146660553365e-06,1.2932376764991218e-06
942242478,4.5210415140790936e-07,5.410795002087244e-07,1.839738132131943e-06,1.8690826834403561e-06
943518536,4.176795557475849e-07,4.893563313366016e-07,1.7672207790977015e-06,1.5437423315465646e-06
944794594,4.4717778985367965e-07,5.470766874151734e-07,1.8690849290888858e-06,2.2581608412098617e-06
946070652,4.2620683832681074e-07,4.826719411210397e-07,1.7100805463458993e-06,1.537592212214488e-06
947346710,4.24952286341421e-07,5.030862947065613e-07,2.1286926005959566e-06,1.850914876053938e-06
