ts,Dtree,nDtree,HK,HDT
916721318,0.0,0.0,0.0,0.0
917997376,1.5277107971979376e-05,9.952828101116119e-06,3.199589852180946e-05,1.0853596135741371e-05
919273434,1.6565931746067113e-05,1.0986944707713764e-05,4.213607893274969e-05,2.072998950422311e-05
920549492,1.6176761156274242e-05,1.0249778891215913e-05,3.145967358256989e-05,1.2266917910927528e-05
921825550,1.60449874562379e-05,1.0341068956624327e-05,3.548458823618157e-05,1.4245989010703876e-05
923101608,1.5221879389149621e-05,9.854782398348741e-06,2.8744739406348823e-05,8.471018045743696e-06
924377666,1.5645038397905644e-05,1.014643030979242e-05,3.367837652672611e-05,1.1329734124887336e-05
925653724,1.6238415354886687e-05,1.0267013065471888e-05,3.129263295353933e-05,1.2011777550644894e-05
926929782,2.7775310218751543e-05,1.0891657912373284e-05,3.956271704459488e-05,1.14964906359962e-05
928205840,1.7560411215871062e-05,1.1308170096490628e-05,4.293307083079905e-05,2.8483407800557372e-05
929481898,1.7644615096858958e-05,1.101994360724953e-05,4.382841712392607e-05,2.374744700980596e-05
930757956,1.8349392864159763e-05,1.1105363243357571e-05,5.0849379521015194e-05,3.0109537106867675e-05
932034014,1.8483340057069444e-05,1.0860698652247721e-05,3.941763946063524e-05,2.6671895691162633e-05
933310072,2.2740736237101377e-05,1.1329713698872475e-05,4.644255600442699e-05,3.2502757780112336e-05
934586130,1.7871336724793995e-05,1.0754716270815518e-05,4.118570425802429e-05,2.2892921062516307e-05
935862188,1.708716207451867e-05,1.0800959198409728e-05,3.8542722271954645e-05,2.1036148332767154e-05
937138246,1.7315889913507705e-05,1.056305765211012e-05,3.890569618998706e-05,2.5588087718188615e-05
938414304,1.7681948193773595e-05,1.110115344979486e-05,3.995896363026393e-05,2.2079026779617792e-05
939690362,1.9807620904927525e-05,1.1183946047324289e-05,5.353635293087427e-05,5.758232571730206e-05
940966420,1.963944535012374e-05,1.2117016006346216e-05,5.3099131821129405e-05,3.9383948765215845e-05
942242478,1.75363752537342e-05,1.1386132321404368e-05,4.15822390626156e-05,3.560376618838974e-05
943518536,1.8368401958688483e-05,1.0738620718306645e-05,4.05773100494351e-05,2.6931987284484547e-05
944794594,2.0331245387484315e-05,1.2175293338034253e-05,4.2358955670292776e-05,3.454127694907914e-05
946070652,2.4716565950274704e-05,1.1936296206709633e-05,5.247924798320996e-05,5.068657634987147e-05
947346710,1.9883975955253874e-05,1.1300977933226301e-05,5.2682694533710154e-05,4.745725423894227e-05
948622768,2.654901612126984e-05,1.2344379313305177e-05,6.133369174456911e-05,6.349861690773976e-05
949898826,2.1303917551802267e-05,1.2327783039969043e-05,6.237088792229438e-05,6.13445049253692e-05
951174884,2.3772748010470894e-05,1.183643149476544e-05,5.552731527656231e-05,5.526551803669976e-05
952450942,2.12680125825116e-05,1.185385231971624e-05,5.389976947825578e-05,5.331900889995883e-05
953727000,2.4567182012098844e-05,1.2025148990032765e-05,5.9673841522264344e-05,0.000561908662356981
955003058,2.5038926959841323e-05,1.2200054267943748e-05,5.954960010507074e-05,5.096572372274886e-05
956279116,2.567382963201467e-05,1.1931355530743053e-05,6.622524896294863e-05,4.148862841012986e-05
957555174,1.8355504906567032e-05,1.1819673246364216e-05,5.544060879967459e-05,3.8558606878502536e-05
958831232,1.92267891888935e-05,1.203412398845055e-05,6.430025787375549e-05,4.725899119450534e-05
960107290,2.3485697799208328e-05,1.1876591225968373e-05,6.606646848840673e-05,4.940163002945947e-05
961383348,2.271392685368375e-05,1.2194251137446866e-05,6.237846588149237e-05,6.177393204528533e-05
962659406,2.367808964420139e-05,1.22551164203932e-05,6.509028990176658e-05,5.971452192809475e-05
963935464,2.092802614577473e-05,1.2129880442049293e-05,6.683944053019289e-05,5.426217416270658e-05
965211522,2.289942066922407e-05,1.2128518520162735e-05,7.221189181816947e-05,5.881456707568316e-05
966487580,2.0312962608835254e-05,1.2021339516393922e-05,7.242676652883317e-05,5.543648872250115e-05
967763638,2.042728499366903e-05,1.23096295329245e-05,7.054497673545691e-05,5.381063319178283e-05
969039696,2.1110552129535108e-05,1.2069059883170216e-05,7.587595902466394e-05,6.542882019348856e-05
970315754,2.2025933799772082e-05,1.2187476565704009e-05,7.424295561366499e-05,5.321761612891941e-05
971591812,2.2504845998616783e-05,1.1958622711957626e-05,6.317586883430432e-05,6.31341524014944e-05
972867870,2.0432370372120238e-05,1.1827317425006519e-05,5.9739278830039744e-05,6.237850718089856e-05
974143928,1.9616111286697332e-05,1.1883425469308646e-05,6.312879133402189e-05,5.357350418353949e-05
975419986,1.9841512264303447e-05,1.1708401305346516e-05,6.142185915979824e-05,5.293358881955521e-05
976696044,2.2338768271693207e-05,1.1969172714345113e-05,6.615560396708943e-05,5.938389058936613e-05
977972102,2.0204144708953318e-05,1.1954313260291238e-05,6.718358226083994e-05,5.376237883084439e-05
979248160,2.110756649789514e-05,1.1682022595117581e-05,6.579117625095916e-05,5.328828704454509e-05
980524218,2.151015611093084e-05,1.206651293065424e-05,6.8734871773691e-05,6.499637256340723e-05
