ts,Dtree,nDtree,HK,HDT
916721318,0.0,0.0,0.0,0.0
917997376,1.7308298037164683e-06,1.155998581098354e-06,2.9604955138904773e-06,3.724827524075751e-06
919273434,2.2445985645013198e-06,1.2492130778132348e-06,2.6507836897459587e-06,3.2141405466031728e-06
920549492,1.3733293902634814e-06,1.460992251040952e-06,2.3989885552700277e-06,3.414982735133772e-06
921825550,0.0,0.0,0.0,0.0
923101608,0.0,0.0,0.0,0.0
924377666,1.5659076848485814e-06,1.0916349060481626e-06,1.813634468972613e-06,2.2116337841684057e-06
925653724,0.0,0.0,0.0,0.0
926929782,1.5774281475126007e-06,1.109146131429937e-06,1.9278042956206308e-06,2.2488774974463993e-06
928205840,1.3900919589796255e-06,1.1768049002733353e-06,1.875089594800345e-06,2.205276069577863e-06
929481898,1.1877646673153734e-06,1.053758089426751e-06,1.906599028887381e-06,2.0812955226571383e-06
930757956,1.1102416794465575e-06,1.0677332117978293e-06,2.1061851884183452e-06,2.068131931061297e-06
932034014,1.1607755254022342e-06,1.1421865531491132e-06,2.0978387512771544e-06,2.2148387543691456e-06
933310072,1.2747540570366062e-06,1.2176964719062738e-06,2.088491432516717e-06,2.210902941775675e-06
934586130,1.3101481013769897e-06,1.2138352572910452e-06,2.0684704889528027e-06,2.2687028262763626e-06
935862188,1.1793541435439092e-06,1.1172470726533533e-06,1.7801800133994562e-06,1.94757590561273e-06
937138246,1.1255854198004216e-06,1.0818764655021155e-06,1.7374587992877888e-06,1.901203210741925e-06
938414304,1.3281717300841747e-06,1.1201304300748344e-06,2.00691477147269e-06,2.1739414199356136e-06
939690362,9.634591373262719e-07,1.0058803446999436e-06,1.5674812371338639e-06,1.660102302421566e-06
940966420,1.5640403760827322e-06,1.3829481779487011e-06,2.2257441841727535e-06,2.3198423451635574e-06
942242478,1.338984944501773e-06,1.2056428321275203e-06,2.1600334577685966e-06,2.4391501803789558e-06
943518536,1.424400769206668e-06,1.3227327624867645e-06,2.2457370086278313e-06,2.3609385082509048e-06
944794594,1.3991161507005314e-06,1.2254835056241982e-06,2.0383224990450545e-06,2.0983480352401454e-06
946070652,1.47500236596608e-06,1.3476056719063817e-06,2.3020283778011065e-06,2.475226306337411e-06
947346710,1.208621485461551e-06,1.2177711331390367e-06,1.924693894577325e-06,1.9248425726492355e-06
948622768,1.454375077960344e-06,1.405635726387185e-06,2.399340443767768e-06,2.4730902683960768e-06
949898826,1.3880094561356145e-06,1.4808965534607728e-06,2.43601360962869e-06,2.419285502161093e-06
951174884,1.4743198999691468e-06,1.5749309274522135e-06,2.7505103018913024e-06,2.8270656557372097e-06
952450942,1.476708680971338e-06,1.4563387153862748e-06,2.425433424499693e-06,2.6103870553064677e-06
953727000,1.3659842304637807e-06,1.5475173270005964e-06,2.6091112251516126e-06,2.7152644590888173e-06
955003058,1.3454559860755148e-06,1.4992429317404306e-06,2.3921088832284737e-06,2.77860889913061e-06
956279116,1.3137062766852165e-06,1.4935106917904796e-06,2.534769047974001e-06,2.5435676437070567e-06
957555174,1.178408302849924e-06,1.5946638659235004e-06,2.3146000247152964e-06,2.2736212822986202e-06
958831232,1.195600715728309e-06,1.4427905305199577e-06,2.4969035738817316e-06,2.4194966873725728e-06
960107290,1.2422132576849344e-06,1.4407708869227048e-06,2.3490444455253722e-06,2.3763642409049972e-06
961383348,1.3173657928139447e-06,1.5773910243891847e-06,2.6660735473486918e-06,2.8207558708318422e-06
962659406,1.2674839115520958e-06,1.5027429713884577e-06,2.6871027937975086e-06,2.5421028461006632e-06
963935464,1.2210792387802272e-06,1.6592459365533532e-06,2.4705292578006863e-06,2.4649215357711623e-06
965211522,1.249681352925127e-06,1.6921807505718532e-06,2.627100000836396e-06,2.6547253837726876e-06
966487580,1.2092558373556215e-06,1.5488066771194112e-06,2.6328806106528832e-06,3.051373701071693e-06
967763638,1.2118096130643796e-06,1.5431321979192977e-06,2.728519950329743e-06,2.66613453866901e-06
969039696,1.1983354100409337e-06,1.5132529633953756e-06,2.623527328061902e-06,2.6519202002333385e-06
970315754,1.2041766924857594e-06,1.6104324757958612e-06,2.6037853470052053e-06,2.5642263407331246e-06
971591812,1.210035063107034e-06,1.5877293927796286e-06,2.6425039651375463e-06,2.62492552925277e-06
972867870,1.2069859887095689e-06,1.5407147556845015e-06,2.5903362633668444e-06,2.612698457853962e-06
974143928,1.1012441227236007e-06,1.5815389132736582e-06,2.7377077929735525e-06,2.658834355706597e-06
975419986,1.1253873926385947e-06,1.525628371711545e-06,2.624080596036495e-06,2.948540964986249e-06
976696044,1.1543804922985345e-06,1.560844319364672e-06,2.6376331398754255e-06,2.652903226649764e-06
977972102,1.1448496773022818e-06,1.656681214021983e-06,2.772546757535421e-06,2.8571294195985315e-06
979248160,1.2557552187687064e-06,1.586139996151842e-06,2.6071850139353043e-06,2.6614719502949965e-06
980524218,1.1267743822420996e-06,1.510219361941299e-06,2.4368510660000344e-06,2.4614340405814433e-06
981800276,1.1263268663372559e-06,1.4524817692896746e-06,2.5105238109860934e-06,2.5338178817737567e-06
983076334,1.108718326024765e-06,1.4799907998960893e-06,2.4631006707633455e-06,2.503854165731338e-06
984352392,1.0905194048920143e-06,1.5708335306770624e-06,2.5208212221898194e-06,2.623040551489704e-06
985628450,1.0911800493826033e-06,1.6245260552974333e-06,2.4982782452345973e-06,2.3854529401191435e-06
986904508,1.08778789852293e-06,1.5444972281400958e-06,2.578929130107286e-06,2.6181921291548655e-06
988180566,1.1445502250236375e-06,1.6593827278603338e-06,2.647296961285417e-06,2.6739726787295693e-06
989456624,1.1425211108992125e-06,1.6069219170107038e-06,2.808673356281699e-06,2.686373808336175e-06
990732682,1.1360626813052074e-06,1.6354787102633924e-06,2.7686196312382863e-06,2.778109646752449e-06
992008740,1.1052544893688155e-06,1.689042045965844e-06,2.6657379232743004e-06,2.711313378976437e-06
993284798,1.1885143084787671e-06,1.9148358663390535e-06,2.85535453701744e-06,2.826392623387056e-06
994560856,1.296584018245364e-06,1.7166974229070757e-06,2.6497929248577447e-06,2.662251289171704e-06
995836914,1.2223514709617113e-06,1.565859045443587e-06,2.6371131091342383e-06,2.6409392652495215e-06
997112972,1.2124673247677088e-06,1.7608103118341976e-06,2.76748075109001e-06,2.8091182987464444e-06
998389030,1.2513995053534959e-06,1.7070996824411426e-06,2.8842958546726293e-06,2.8390835069946925e-06
999665088,1.2897628335171332e-06,1.8971445893370065e-06,2.8866278073393424e-06,2.8851021382174893e-06
1000941146,1.2159878861943547e-06,1.672040231091687e-06,2.8507024615170162e-06,2.7873741885262706e-06
1002217204,1.2050787832217877e-06,1.8666336471428301e-06,2.9517459689764002e-06,2.911281881559117e-06
