ts,Dtree,nDtree,HK,HDT
916721318,1.4388068949647988e-06,1.5290112100165056e-06,1.1419976094616633e-05,9.316339644822396e-06
917997376,1.4306981274155743e-06,1.458397852251986e-06,1.4558685136359061e-05,1.0388189528443784e-05
919273434,1.191150737698089e-06,1.184031733448869e-06,1.114292762208978e-05,8.490475578743333e-06
920549492,1.5023967500334109e-06,1.54859680569608e-06,1.5544768227021604e-05,1.0319979361270625e-05
921825550,1.2967772384593483e-06,1.2976664206187917e-06,8.796661822982282e-06,8.112161938790461e-06
923101608,1.393499613425688e-06,1.3606663378336406e-06,9.742578901417655e-06,8.453746319979936e-06
924377666,1.2401068482839719e-06,1.2957140265415418e-06,9.08746265723707e-06,7.729748582838827e-06
925653724,1.5108326949165564e-06,1.5505825824799868e-06,1.3092821976511002e-05,9.737908759125343e-06
926929782,1.4295303109130889e-06,1.4529242905191528e-06,1.3347680724941149e-05,9.746226409272486e-06
928205840,1.4002559954243954e-06,1.5916799784411963e-06,1.5196494662907019e-05,1.2071671075468278e-05
929481898,1.4177609066668183e-06,1.4513109921137123e-06,1.396333795770602e-05,1.0258993881715213e-05
930757956,1.3826544818382501e-06,1.432518284998174e-06,1.3881062389754456e-05,1.0950189852431812e-05
932034014,1.380687880807004e-06,1.3647479899898359e-06,1.1607983572935594e-05,1.032805957380982e-05
933310072,1.4725879589910036e-06,1.6849858551715822e-06,1.2576724822887346e-05,1.1050830631930018e-05
934586130,1.3996930512794917e-06,1.4370641146861043e-06,1.3157271583362856e-05,1.0365737076136401e-05
935862188,1.4645997371338805e-06,1.5386946926127877e-06,1.4773535282967442e-05,1.1148346171970914e-05
937138246,1.4523349313929399e-06,1.5045771763596434e-06,1.548116934847742e-05,1.1816860239819846e-05
938414304,1.33651837020745e-06,1.4051381999939414e-06,1.5715950010392203e-05,1.0725798893490825e-05
939690362,1.5630896217642974e-06,1.6678708792008106e-06,1.518225041874435e-05,1.3079390282298686e-05
940966420,1.7896085433010668e-06,1.898811426269226e-06,1.9675781749925194e-05,1.2913704584103094e-05
942242478,1.3975839720962692e-06,1.5031549669908485e-06,1.0930308126826175e-05,9.430025907854356e-06
943518536,1.6085425066573983e-06,1.7187629571352936e-06,1.257910375300802e-05,1.0157041332137666e-05
944794594,1.5516789828660424e-06,1.5569361428423591e-06,1.4237283597217546e-05,1.0361152069085691e-05
946070652,1.655633255726729e-06,1.7220253012167553e-06,1.4870338217982995e-05,1.2504744581211731e-05
947346710,1.7307272873629293e-06,1.7790617069686686e-06,1.5893869417970348e-05,1.308188664914705e-05
948622768,1.796521122661379e-06,1.8976534703313506e-06,1.82894554066236e-05,1.472226722414526e-05
949898826,1.6209372094661745e-06,1.760431490373786e-06,1.2940445282364656e-05,1.2389920848084374e-05
951174884,1.625301438229824e-06,1.853297024610507e-06,1.4738074981304482e-05,1.2163841113874854e-05
952450942,1.7082852850795013e-06,1.9245932075540923e-06,1.600450856990894e-05,1.2815062555672892e-05
953727000,1.6675428233751214e-06,1.953543668023452e-06,1.8253756511364105e-05,1.2500577798918322e-05
955003058,1.6370387319210886e-06,1.982106592924465e-06,1.4730489076851756e-05,1.2547881964844289e-05
956279116,1.707964587036158e-06,2.1541497074213073e-06,2.0160277353359707e-05,1.4413323425790955e-05
957555174,1.7546076986888875e-06,2.2514115015040196e-06,1.906147702768585e-05,1.360099842105703e-05
958831232,1.6737567303009802e-06,1.926205504823353e-06,1.5686773882050885e-05,1.2244401007368862e-05
