ts,Dtree,nDtree,HK,HDT,ET,opt
1084754037,0.0,0.0,0.0,0.0,0,0
1084922078,0.0,0.0,0.0,0.0,0,0
1085090119,0.0,0.0,0.0,0.0,0,0
1085258160,0.0,0.0,0.0,0.0,0,0
1085426201,0.0,0.0,0.0,0.0,0,0
1085594242,0.0,0.0,0.0,0.0,0,0
1085762283,0.0,0.0,0.0,0.0,0,0
1085930324,5.296665632009869e-07,6.352486287522565e-07,2.271795350924723e-06,1.7437961699685452e-06,0,0
1086098365,4.7675265820650175e-07,4.427196685107744e-07,1.9270699054916837e-06,1.3962541180281688e-06,0,0
1086266406,4.039304872882739e-07,4.408045455639726e-07,1.935573368712171e-06,1.2962227039839847e-06,0,0
1086434447,4.367793839075755e-07,4.790617978957672e-07,2.102950964430692e-06,1.4301175667128632e-06,0,0
1086602488,4.3821763425637894e-07,5.710554823012321e-07,2.2103630472778856e-06,1.5371201330330133e-06,0,0
1086770529,4.267140670073345e-07,5.090000154130863e-07,2.1488721460412482e-06,1.514871115983045e-06,0,0
1086938570,4.493690587665396e-07,5.07731021049143e-07,2.310248247070865e-06,1.5768172226127262e-06,0,0
1087106611,4.745592091657388e-07,5.226112586065822e-07,2.284507118076208e-06,1.5835144264940476e-06,0,0
1087274652,4.4446761332440873e-07,5.23743904981811e-07,2.231894773821976e-06,1.5700097125480046e-06,0,0
1087442693,4.5364804407824084e-07,5.332700497596725e-07,2.240635257850853e-06,1.6215130459459374e-06,0,0
1087610734,4.657739455439161e-07,5.46147009037603e-07,2.27681659875994e-06,1.7026446484381977e-06,0,0
1087778775,4.471990836943467e-07,5.320862639644929e-07,2.2694879600675127e-06,1.6552565210923353e-06,0,0
1087946816,4.867293182162073e-07,5.522303109041567e-07,2.4998024895555852e-06,1.7321615507132288e-06,0,0
1088114857,4.667278302635861e-07,5.503150805409705e-07,2.427389611131907e-06,1.7331301165951706e-06,0,0
1088282898,4.799078953385456e-07,5.501726993511426e-07,2.464979101412486e-06,1.9348917133678785e-06,0,0
1088450939,4.866370673305691e-07,5.488469143863852e-07,2.4432271081149824e-06,1.7745837860397538e-06,0,0
1088618980,5.078757605913605e-07,5.646193441330783e-07,2.3289034288249766e-06,1.8148656217226825e-06,0,0
1088787021,4.7534501540626596e-07,5.891518288925047e-07,2.3163781832700914e-06,1.8599015466987536e-06,0,0
1088955062,5.002676013045134e-07,6.126666337219395e-07,2.254434976898596e-06,1.8744912620689613e-06,0,0
1089123103,4.91424091643569e-07,5.741422321612389e-07,2.363718740912649e-06,2.034529205532443e-06,0,0
1089291144,4.833902823712941e-07,6.100286890916746e-07,2.5151136429494214e-06,2.1272493679736235e-06,0,0
1089459185,5.465718586591033e-07,6.146549991923609e-07,2.388258769039504e-06,1.7795169707574599e-06,0,0
1089627226,4.867659502423033e-07,6.340855966470536e-07,2.337080806425443e-06,1.914864179497092e-06,0,0
1089795267,4.728501016979652e-07,5.684995886237271e-07,2.1911105164789426e-06,1.8428056725936754e-06,0,0
1089963308,4.915191066120711e-07,5.915894921810819e-07,2.3913998508369462e-06,2.1020879501011907e-06,0,0
1090131349,5.413636037713697e-07,5.744818166588293e-07,2.823951120147115e-06,2.4035227559227903e-06,0,0
1090299390,4.925714725019606e-07,5.632138776555337e-07,2.60568604489262e-06,2.0844508711542814e-06,0,0
1090467431,5.259998267233165e-07,5.711532783399674e-07,2.4129075290975027e-06,2.684887501009635e-06,0,0
1090635472,5.225416261431921e-07,6.751992002504438e-07,2.462374327702641e-06,2.1692095886028418e-06,0,0
1090803513,5.339998150210763e-07,5.803998415671385e-07,2.3343672294523927e-06,1.9468106185394663e-06,0,0
1090971554,5.172724744440225e-07,5.688499070597176e-07,2.1996391229445026e-06,2.065817223828221e-06,0,0
1091139595,5.075452450328325e-07,5.776996855312605e-07,2.3103934311911753e-06,2.156732816319221e-06,0,0
1091307636,5.543072106654574e-07,6.502488873679508e-07,2.3905817909262045e-06,2.442220157567074e-06,0,0
1091475677,5.54845351270429e-07,6.508453815638825e-07,2.168108864517503e-06,1.7767114728031714e-06,0,0
1091643718,5.254162345328423e-07,6.133989932647404e-07,3.0993308077994023e-06,2.1254726815679976e-06,0,0
1091811759,4.806793991474156e-07,5.976817782795045e-07,2.6060390281162784e-06,2.053216296531903e-06,0,0
1091979800,5.163566728696255e-07,6.567493516606938e-07,2.5951559859266596e-06,2.134116506414844e-06,0,0
1092147841,5.060189381261659e-07,5.336247825819888e-07,2.0678807115692275e-06,1.869874618944576e-06,0,0
1092315882,5.255236703610348e-07,5.857997733642469e-07,2.37592521701171e-06,1.9029993374559067e-06,0,0
1092483923,4.986284048500941e-07,5.421537808740119e-07,2.2711094273219163e-06,2.0462715301208344e-06,0,0
1092651964,5.409088297233014e-07,6.252498281039806e-07,2.5949984471759725e-06,2.006443231287922e-06,0,0
1092820005,4.802501903731391e-07,5.626154448823666e-07,2.2570324649273247e-06,1.801866534402141e-06,0,0
1092988046,4.775747922512626e-07,5.444252113643755e-07,2.0549722428950493e-06,1.7513994121863973e-06,0,0
1093156087,4.855881375828799e-07,5.572129646796035e-07,2.1400985560255803e-06,2.0529151870474084e-06,0,0
1093324128,5.475695979071264e-07,6.962491953934519e-07,3.1389931766907517e-06,2.2219945933354846e-06,0,0
1093492169,4.96666236910155e-07,6.393074007302991e-07,2.9946967581928154e-06,1.7503293376232568e-06,0,0
1093660210,4.7526242913180887e-07,5.198944699546438e-07,1.9877323299110325e-06,2.1691982298103075e-06,0,0
1093828251,4.851920096880852e-07,5.500430175511438e-07,2.316946106949655e-06,1.909680701367202e-06,0,0
1093996292,4.6595262344136314e-07,5.569995096632852e-07,2.074931228337535e-06,1.814816976372584e-06,0,0
1094164333,5.323180774005878e-07,6.459996027508814e-07,2.682140576036837e-06,2.038248430222979e-06,0,0
1094332374,5.081361125363052e-07,5.898751575304035e-07,2.2234104297103195e-06,1.7875781536948195e-06,0,0
1094500415,5.171762609861014e-07,5.85999657345724e-07,2.2689980057807074e-06,2.085816055131623e-06,0,0
1094668456,5.453335286597113e-07,6.495994880471756e-07,2.4563832288956065e-06,1.941362300509335e-06,0,0
1094836497,5.279544891676035e-07,5.660757832091274e-07,2.2545315739482367e-06,2.256271082101367e-06,0,0
1095004538,5.581655282871235e-07,5.901102275421718e-07,2.728569727687407e-06,2.1855866003010516e-06,0,0
1095172579,4.7136289448811414e-07,5.572213187898248e-07,2.3195520949083305e-06,2.2328288120036307e-06,0,0
1095340620,5.18082311193268e-07,5.631874164287677e-07,2.5877842061041098e-06,2.1452708272754375e-06,0,0
1095508661,4.4375016238652606e-07,5.266897055501037e-07,2.061713573806223e-06,1.8707776295634525e-06,0,0
1095676702,4.992721196227145e-07,5.951245302945034e-07,2.750247234319118e-06,2.563926617983966e-06,0,0
1095844743,5.03785646081025e-07,6.287993685469388e-07,2.7247747858265534e-06,2.551121264119168e-06,0,0
1096012784,5.268330228939483e-07,6.754282592721669e-07,2.1518299551916296e-06,2.2099949457421823e-06,0,0
1096180825,5.229083771702286e-07,6.155996044445391e-07,2.7601072009626567e-06,1.8126234033382972e-06,0,0
1096348866,6.161981627573461e-07,6.696647799974855e-07,2.402989402458891e-06,2.9429928966808113e-06,0,0
1096516907,6.613314109879374e-07,6.014437315930826e-07,2.511797391207039e-06,2.2277478142051635e-06,0,0
1096684948,5.713114727748192e-07,5.831103598750907e-07,2.5840974183255106e-06,2.3479970206738003e-06,0,0
1096852989,4.985986850305819e-07,6.146659997211406e-07,3.84465290686853e-06,2.310992868043801e-06,0,0
1097021030,4.5281781829010516e-07,6.604283743676765e-07,2.2928723853512465e-06,2.4059140398318185e-06,0,0
1097189071,5.508331881117137e-07,5.98799071316042e-07,2.5114144278257865e-06,2.999305253719844e-06,0,0
1097357112,4.937407764933445e-07,6.824544385161306e-07,2.282331699575296e-06,1.9007041374519865e-06,0,0
1097525153,5.264998531435091e-07,6.079997663388463e-07,2.1969150600143213e-06,2.426697876051065e-06,0,0
1097693194,4.641104420570488e-07,5.742722918023964e-07,2.0804271068080752e-06,2.0349316780199287e-06,0,0
1097861235,5.46307301422439e-07,5.711415880577765e-07,2.4592200094240215e-06,2.251247593366195e-06,0,0
1098029276,5.357991639199001e-07,5.638330246848049e-07,2.9933935524768142e-06,2.016664109539552e-06,0,0
1098197317,4.909994916951056e-07,6.192488379581441e-07,2.143744593304047e-06,3.1773237014799483e-06,0,0
1098365358,5.503309842869798e-07,7.119973729477639e-07,2.506990748268804e-06,3.0669826984051767e-06,0,0
