ts,Dtree,nDtree,HK,HDT,ET,opt
1084754037,0.0,0.0,0.0,0.0,0,0
1084922078,0.0,0.0,0.0,0.0,0,0
1085090119,0.0,0.0,0.0,0.0,0,0
1085258160,0.0,0.0,0.0,0.0,0,0
1085426201,0.0,0.0,0.0,0.0,0,0
1085594242,0.0,0.0,0.0,0.0,0,0
1085762283,0.0,0.0,0.0,0.0,0,0
1085930324,3.1256723887712604e-05,1.4779602778203848e-05,0.0001220351262256867,6.56103793767732e-05,0,0
1086098365,3.340886643549376e-05,1.513004187049279e-05,0.00012165184963315754,9.799443943324017e-05,0,0
1086266406,2.871139536273221e-05,1.52696650841917e-05,0.00010163944533204615,9.500220059271424e-05,0,0
1086434447,2.495604567234449e-05,1.603210763381629e-05,0.00010675803954675915,5.899192091738778e-05,0,0
1086602488,2.636072746154969e-05,1.674271038509633e-05,0.00013580908066957123,8.393195029181882e-05,0,0
1086770529,2.393501944154072e-05,1.6427902831324404e-05,9.29036273521988e-05,6.242035744414846e-05,0,0
1086938570,2.5529592233876932e-05,1.6591521106833277e-05,0.00011473882006981675,7.356605114344318e-05,0,0
1087106611,2.344819984162311e-05,1.5859525305458832e-05,8.951148820421461e-05,6.066669441732542e-05,0,0
1087274652,2.3672326639558442e-05,1.5706685039711346e-05,0.00010029519475875296,8.57784834900562e-05,0,0
1087442693,2.591947346543809e-05,1.561787458320115e-05,9.308140457629991e-05,6.63657761176559e-05,0,0
1087610734,2.5296891701495855e-05,1.5926555988040817e-05,0.00010826330656434005,6.0225317759541885e-05,0,0
1087778775,2.834677935257521e-05,1.5856675717816846e-05,0.00010712350434306401,7.98098274854245e-05,0,0
1087946816,2.4780360638149406e-05,1.5490050313219166e-05,8.898114249374573e-05,5.964081298250682e-05,0,0
1088114857,2.770016819237189e-05,1.582286726370016e-05,0.00010377060123566773,6.596390953606471e-05,0,0
1088282898,2.4483626276778544e-05,1.6126221623856773e-05,0.00011503474438125993,6.338522652991534e-05,0,0
1088450939,2.4680265319286114e-05,1.5639092848794934e-05,7.83863404238853e-05,5.8666579417725276e-05,0,0
1088618980,2.443380664415459e-05,1.612852426356426e-05,8.748075906586547e-05,7.016624049485235e-05,0,0
1088787021,2.3168345820492484e-05,1.6567605791961502e-05,8.161813450930263e-05,5.94393787415938e-05,0,0
1088955062,2.157957245064523e-05,1.6172461352638635e-05,0.000105837282925185,6.019893415871098e-05,0,0
1089123103,2.7469667522319772e-05,1.5534497492069734e-05,8.551774104730142e-05,6.15620231825596e-05,0,0
1089291144,2.555937740814604e-05,1.7061619326195652e-05,0.0001139692240699269,6.087890404897907e-05,0,0
1089459185,3.368925381007729e-05,1.573867007124787e-05,8.44060584001079e-05,5.319408618639704e-05,0,0
1089627226,4.138644060046769e-05,1.7125226830075464e-05,8.98182053424286e-05,8.008185107614406e-05,0,0
1089795267,3.011383641360605e-05,1.6435498700735748e-05,8.836207061585993e-05,7.501812202948368e-05,0,0
1089963308,3.149734539257312e-05,1.714511183422476e-05,9.00783056101088e-05,7.785542950502834e-05,0,0
1090131349,3.24816975588948e-05,1.70936631709762e-05,8.758452013674834e-05,5.6764275669173985e-05,0,0
1090299390,2.6678339869436743e-05,1.541375801660783e-05,8.030079146078875e-05,7.526722604613317e-05,0,0
1090467431,2.0859337230637083e-05,1.5965205367089546e-05,6.707953912028448e-05,5.5028880212018455e-05,0,0
1090635472,2.4770416508774778e-05,1.621795178919944e-05,9.09770543489559e-05,6.6008134716792e-05,0,0
1090803513,2.1684132192980837e-05,1.5200118673735586e-05,9.068672705807757e-05,6.984811233677692e-05,0,0
1090971554,2.0862442045228053e-05,1.4380115412861132e-05,7.382175555026216e-05,6.698373157065523e-05,0,0
1091139595,1.965770575555173e-05,1.4746699269496349e-05,7.395498121247137e-05,6.389376674558798e-05,0,0
1091307636,2.715787458362794e-05,1.5816075451506502e-05,8.205670175424957e-05,7.197852756942349e-05,0,0
1091475677,1.9884410251104553e-05,1.4646360363524657e-05,7.278653355307419e-05,6.013273577386201e-05,0,0
1091643718,3.461037253399995e-05,1.481914290596934e-05,6.760396093545409e-05,5.334611485134221e-05,0,0
1091811759,2.4367237122617557e-05,1.4282440103311352e-05,7.308809090299482e-05,6.027615632254086e-05,0,0
1091979800,2.0479061778846888e-05,1.3802159781750503e-05,6.631273351749278e-05,4.3847822951476356e-05,0,0
1092147841,2.0760977477545626e-05,1.4114498095850277e-05,7.863741246586134e-05,5.225112493800928e-05,0,0
1092315882,2.2888560205740068e-05,1.4321157349360808e-05,7.924040962832385e-05,4.906388715877489e-05,0,0
1092483923,1.9077575452043158e-05,1.3701952099608336e-05,6.263712929393659e-05,4.745066469272289e-05,0,0
1092651964,2.2867841244503748e-05,1.3804853063682597e-05,7.148428896802146e-05,5.51579578690517e-05,0,0
1092820005,3.416928454772959e-05,1.5001137054437163e-05,9.191161049391419e-05,4.817596729836184e-05,0,0
1092988046,2.1249823247055567e-05,1.2851729642991415e-05,5.7892004439193364e-05,3.7686436984109364e-05,0,0
1093156087,2.066154791342538e-05,1.4364861819457595e-05,7.721706528786554e-05,4.3869642855957394e-05,0,0
1093324128,2.374029325171666e-05,1.4056725497073108e-05,6.581353374249534e-05,3.723610120983643e-05,0,0
1093492169,1.918437699663992e-05,1.3159245337340618e-05,6.25772708206519e-05,5.027549983723171e-05,0,0
1093660210,2.5060698971560685e-05,1.4115496692665902e-05,7.586688028661738e-05,5.578175945540557e-05,0,0
1093828251,2.3336048783510253e-05,1.4915329815458448e-05,6.608924016399108e-05,4.4294913663458685e-05,0,0
1093996292,4.251228509545411e-05,1.5375097109379926e-05,6.795692358808757e-05,5.085363426302201e-05,0,0
1094164333,2.0368111591678415e-05,1.3962428686464364e-05,7.064755437139313e-05,4.4968388955733975e-05,0,0
1094332374,2.027429211114372e-05,1.4100159500973346e-05,5.888320024219966e-05,3.6185690945197175e-05,0,0
1094500415,2.054299324079695e-05,1.3965682866390039e-05,7.56475884415601e-05,6.626200955405339e-05,0,0
1094668456,1.9161621012922084e-05,1.3084389889798753e-05,5.538040525600501e-05,4.2404247006005435e-05,0,0
1094836497,1.9976623275927007e-05,1.4070447791615612e-05,6.687785077090688e-05,6.50000376322466e-05,0,0
1095004538,2.3930669565494086e-05,1.4587466509807881e-05,5.763777361156253e-05,4.513725251751707e-05,0,0
1095172579,1.8702282086195787e-05,1.2986467931439923e-05,5.255702871965228e-05,4.499282485823943e-05,0,0
1095340620,2.0351736858051784e-05,1.2975479768749773e-05,5.57578009768141e-05,4.4399487903584274e-05,0,0
1095508661,2.039936352513035e-05,1.2785306558627908e-05,6.893605901950675e-05,5.6124113014493576e-05,0,0
1095676702,2.0965803944771164e-05,1.3480473210071015e-05,6.427142084304635e-05,5.557850985388916e-05,0,0
1095844743,1.905772333178468e-05,1.393073894385726e-05,5.494746601606587e-05,5.503379506129204e-05,0,0
1096012784,1.8942994619583816e-05,1.2611172767898764e-05,5.025732886587776e-05,4.939348625139436e-05,0,0
1096180825,1.9908290828699475e-05,1.3090850797872541e-05,5.727038289749216e-05,3.841137469476918e-05,0,0
1096348866,1.8378860535518815e-05,1.3741746014031397e-05,5.640958933051468e-05,5.811817476111615e-05,0,0
1096516907,2.4250798570939522e-05,1.3729274107210032e-05,6.287505708471738e-05,8.206618993065766e-05,0,0
1096684948,1.9767884127989823e-05,1.416287929915721e-05,7.492172998270206e-05,7.350797359878674e-05,0,0
1096852989,1.923454991094145e-05,1.5661732378028216e-05,6.343962450338523e-05,5.101249961000082e-05,0,0
1097021030,2.0888325415312407e-05,1.4201381883526075e-05,6.132394621503046e-05,4.903655759605945e-05,0,0
1097189071,2.2429055632345357e-05,1.4645727839785569e-05,6.711586687839807e-05,5.04618470728339e-05,0,0
1097357112,1.9893381771347697e-05,1.3241171118372243e-05,5.825251768677384e-05,3.8705954580697876e-05,0,0
1097525153,1.763346879043976e-05,1.2544517036588033e-05,5.019048037061265e-05,3.568605820450603e-05,0,0
1097693194,1.865070413360739e-05,1.1991779851566225e-05,5.638812434402196e-05,3.672762050642956e-05,0,0
1097861235,2.13357423169143e-05,1.3681437356327247e-05,5.7144544134902514e-05,4.897071238126632e-05,0,0
1098029276,1.939899604898268e-05,1.2747132199291824e-05,5.5932952080985074e-05,4.3179107098287074e-05,0,0
1098197317,1.9729086552541197e-05,1.2146565546223334e-05,4.486474002464932e-05,3.076797078195813e-05,0,0
1098365358,1.951835513589089e-05,1.268417577342637e-05,5.1367113602720944e-05,3.4092071874934354e-05,0,0
