ts,Dtree,nDtree,HK,HDT,ET,opt
1084754037,1.701176709900985e-06,0,2.2425764193177585e-06,1.991737101820241e-06,0,0
1084922078,1.2057128303929692e-06,0,1.7140058795256916e-06,1.4685361541808348e-06,0,0
1085090119,1.2024491565454716e-06,0,1.6542953158334358e-06,1.3476242655462243e-06,0,0
1085258160,1.1086589398391313e-06,0,1.7560779412420186e-06,1.3960560983519738e-06,0,0
1085426201,1.088620088572975e-06,0,1.8471296231408593e-06,1.4841203838062255e-06,0,0
1085594242,9.866350179581157e-07,0,1.6526508001197039e-06,1.3698583828191455e-06,0,0
1085762283,9.085099863959978e-07,0,1.5087468937772186e-06,1.2946523280118576e-06,0,0
1085930324,9.552658400760582e-07,0,1.686874215729208e-06,1.430533376843955e-06,0,0
1086098365,9.3885216408504e-07,0,1.5843904733361504e-06,1.3745048648400286e-06,0,0
1086266406,9.767484086974731e-07,0,1.6358092563110864e-06,1.4169279881396673e-06,0,0
1086434447,9.775216785102059e-07,0,1.7315719836793295e-06,1.5089025112076706e-06,0,0
1086602488,1.0406419313281696e-06,0,1.8321140465231927e-06,1.5839940302875706e-06,0,0
1086770529,1.0504494225098328e-06,0,1.8315203855536892e-06,1.619570934793796e-06,0,0
1086938570,1.0306715223092858e-06,0,1.7960830764581744e-06,1.5775147895736995e-06,0,0
1087106611,1.1257595167343047e-06,0,1.929632634359546e-06,1.6421704579469947e-06,0,0
1087274652,1.0845078370798245e-06,0,1.9224390234774168e-06,1.6735110400227957e-06,0,0
1087442693,1.1598485774084806e-06,0,2.1096896794592306e-06,1.985694601873158e-06,0,0
1087610734,1.1684506442627151e-06,0,1.9431900995827346e-06,1.7915582486573758e-06,0,0
1087778775,1.2528128266446167e-06,0,2.209993357756928e-06,1.8333616926250778e-06,0,0
1087946816,1.391364786739841e-06,0,2.2806341716921646e-06,2.277942666905512e-06,0,0
1088114857,1.5270649495249897e-06,0,2.4748345701347484e-06,2.289755934717314e-06,0,0
1088282898,1.4371770248453284e-06,0,2.2204041669534936e-06,2.0457045789408813e-06,0,0
1088450939,1.5372987191953194e-06,0,2.5375171581542075e-06,2.303812206335208e-06,0,0
1088618980,1.4562519862215784e-06,0,2.343495791923124e-06,2.0699957631647315e-06,0,0
1088787021,1.5884888350220673e-06,0,2.478158432573073e-06,2.3437445836658536e-06,0,0
1088955062,1.5090665364207473e-06,0,2.2255396403618515e-06,2.374990177684899e-06,0,0
1089123103,1.7265528613119863e-06,0,2.4094109708873843e-06,2.380101552047518e-06,0,0
1089291144,1.8841159340218434e-06,0,2.4751055716325407e-06,2.284794867222048e-06,0,0
1089459185,1.8848074999117038e-06,0,2.6919442916699076e-06,2.6639542962874966e-06,0,0
1089627226,1.986182828616951e-06,0,2.8111404452993916e-06,2.7527202898176406e-06,0,0
1089795267,2.345904793600744e-06,0,2.757079886721986e-06,2.6097180551412357e-06,0,0
1089963308,1.968826366636706e-06,0,2.473675381279394e-06,2.2641457548450617e-06,0,0
1090131349,2.113166282632262e-06,0,2.8356041125694955e-06,2.7576182886381385e-06,0,0
1090299390,2.1574222235626274e-06,0,2.5206212947311538e-06,2.3372024414496717e-06,0,0
1090467431,1.935812967076441e-06,0,2.4692430370892503e-06,2.3096473437593182e-06,0,0
1090635472,2.0011397464007658e-06,0,2.570184254372164e-06,2.441816249476841e-06,0,0
1090803513,1.6048355619409933e-06,0,2.2060711638393775e-06,2.2457398653449406e-06,0,0
1090971554,1.5280685295154637e-06,0,2.2655413014018976e-06,2.0120860763127517e-06,0,0
1091139595,1.5180142890468197e-06,0,2.299289171329534e-06,1.9351415714803634e-06,0,0
1091307636,1.2492363167880226e-06,0,1.911623396910933e-06,1.9010924270291795e-06,0,0
1091475677,1.453198516921548e-06,0,2.1088926120324457e-06,2.0838953739089927e-06,0,0
1091643718,1.4650802459314415e-06,0,2.0492309734251333e-06,1.844239794633293e-06,0,0
1091811759,1.498385124434736e-06,0,2.0842210873148183e-06,1.9172625252354516e-06,0,0
1091979800,1.5074165329802873e-06,0,2.281656334473281e-06,2.192732184695335e-06,0,0
1092147841,1.5064172970028632e-06,0,2.0702017916818246e-06,1.948407813601428e-06,0,0
1092315882,1.4175459360242234e-06,0,1.9053560950532539e-06,1.7878732316863945e-06,0,0
1092483923,1.4670590876060794e-06,0,2.0803604062537352e-06,1.9577090861969907e-06,0,0
1092651964,1.3179284062398245e-06,0,1.9270296011973227e-06,1.860041394258176e-06,0,0
1092820005,1.2839005545461535e-06,0,1.8671102129287872e-06,1.692006634487532e-06,0,0
1092988046,1.3706458284337468e-06,0,1.9547499088980467e-06,1.770070195575161e-06,0,0
1093156087,1.1094105502821512e-06,0,1.7549999477038476e-06,1.6395537314559573e-06,0,0
1093324128,1.2273595766014573e-06,0,1.7992035889392204e-06,1.7206626724733531e-06,0,0
1093492169,1.1650314423144046e-06,0,1.9320562141141024e-06,1.783425710299126e-06,0,0
1093660210,1.1994879737284663e-06,0,1.68413653347175e-06,1.5846618313784098e-06,0,0
1093828251,1.222354120122061e-06,0,1.920581417695553e-06,1.793191699177678e-06,0,0
1093996292,1.1984109816222666e-06,0,1.7113170038867914e-06,1.6098950995398617e-06,0,0
1094164333,1.148459031307461e-06,0,1.8231877851732877e-06,1.8067201745804595e-06,0,0
1094332374,1.260770023175777e-06,0,2.136717605615529e-06,2.0684045018118316e-06,0,0
1094500415,1.4857079058945301e-06,0,2.3327868657890917e-06,1.9310213319879574e-06,0,0
1094668456,1.4412102302282785e-06,0,2.2395586173119947e-06,2.0731842625130896e-06,0,0
1094836497,1.3691961506201731e-06,0,2.3727079093646472e-06,2.0204233927039618e-06,0,0
1095004538,1.589999450448618e-06,0,2.628757794762676e-06,2.387936653586815e-06,0,0
1095172579,1.4268223926434174e-06,0,2.007530951103771e-06,2.088447877013609e-06,0,0
1095340620,1.2462805786223442e-06,0,1.9447688411436093e-06,1.78943076811078e-06,0,0
1095508661,1.2697863717348954e-06,0,1.9516761813211633e-06,1.9456953363952725e-06,0,0
1095676702,1.3268266196726723e-06,0,1.974548758338692e-06,1.863308824261165e-06,0,0
1095844743,1.2130798828552146e-06,0,1.9123942016372866e-06,1.7281787605399546e-06,0,0
1096012784,1.4628831334058888e-06,0,2.394048719491857e-06,2.355796811501723e-06,0,0
1096180825,1.5167496996791226e-06,0,2.5790313688633333e-06,2.2341172851854704e-06,0,0
1096348866,1.5671427173475768e-06,0,2.325492452430585e-06,2.1880131309752712e-06,0,0
1096516907,1.367568323796778e-06,0,2.3324382344686187e-06,2.165906580041957e-06,0,0
1096684948,1.6192589470554323e-06,0,2.741194943476426e-06,2.310468954923249e-06,0,0
1096852989,1.8010991060103107e-06,0,2.8002206621774154e-06,2.5196488557488854e-06,0,0
1097021030,2.269370052225329e-06,0,2.5583963665614627e-06,2.3956263881240306e-06,0,0
1097189071,1.4360584081733421e-06,0,2.53666597070847e-06,2.4421420454632875e-06,0,0
1097357112,1.6493628897339411e-06,0,2.6087071893986953e-06,2.3313901916597132e-06,0,0
1097525153,1.4288392518118156e-06,0,2.336439076701233e-06,2.9352259648413985e-06,0,0
1097693194,1.611262406903326e-06,0,2.430639079642449e-06,2.206777017118606e-06,0,0
1097861235,1.8762496398130162e-06,0,2.621599530195426e-06,2.3372995701890044e-06,0,0
1098029276,2.3699983195126867e-06,0,3.208766689654262e-06,3.0319427556927445e-06,0,0
1098197317,1.9758280820767397e-06,0,2.8369452767223758e-06,2.2631831842390172e-06,0,0
1098365358,1.9972483217636235e-06,0,3.121269788216998e-06,2.9020808059979944e-06,0,0
1098533399,1.2649082064926245e-06,0,2.3208315635040512e-06,1.9273728421821366e-06,0,0
1098701440,1.8211982001697857e-06,0,2.5807245885048003e-06,3.2181788410318605e-06,0,0
