ts,Dtree,nDtree,HK,HDT,ET,opt
1084754037,1.9140442404463895e-06,0,1.9821777238871068e-05,8.56860704025379e-06,0,0
1084922078,1.7632708571946539e-06,0,2.0063953521542805e-05,1.0089212188693043e-05,0,0
1085090119,1.7847141600622516e-06,0,2.2255228337347602e-05,1.1625046776874266e-05,0,0
1085258160,1.8483372818686422e-06,0,2.339490961014972e-05,1.1898936010877776e-05,0,0
1085426201,1.8371633202427498e-06,0,2.3817359332999407e-05,1.4102833796934523e-05,0,0
1085594242,1.8166933405337552e-06,0,2.7400285925547848e-05,1.1906514169448731e-05,0,0
1085762283,1.8767670292370446e-06,0,2.7118389051860017e-05,1.3414787698098553e-05,0,0
1085930324,1.967156830681947e-06,0,2.6538091487035543e-05,1.3173993281625469e-05,0,0
1086098365,1.9436145811712385e-06,0,2.4575952073643306e-05,1.2194072249144754e-05,0,0
1086266406,2.024973716339318e-06,0,2.6204403601195394e-05,1.3297688821516417e-05,0,0
1086434447,1.953598713344338e-06,0,2.4117383923206912e-05,1.2399125120899502e-05,0,0
1086602488,1.9842979947873408e-06,0,2.6321473305173677e-05,1.2869586998694513e-05,0,0
1086770529,2.02911631435468e-06,0,2.670045472476702e-05,1.2828933527056301e-05,0,0
1086938570,2.038581714074478e-06,0,2.6324644868317644e-05,1.3687072055976633e-05,0,0
1087106611,1.9922489454410875e-06,0,2.658254594063103e-05,1.222949240032614e-05,0,0
1087274652,2.0052340140286134e-06,0,2.5069044266645898e-05,1.357046252511103e-05,0,0
1087442693,2.2202651712436076e-06,0,2.9235847283929595e-05,1.3755390728443035e-05,0,0
1087610734,2.124854243575168e-06,0,2.6198391157341047e-05,1.3971980138383223e-05,0,0
1087778775,2.040659808307623e-06,0,2.548824818518293e-05,1.1832959867276062e-05,0,0
1087946816,2.2824419227704474e-06,0,2.6641414688588428e-05,1.3800762367687544e-05,0,0
1088114857,2.12881593336461e-06,0,2.32275242202435e-05,1.2838988189355981e-05,0,0
1088282898,2.0749962740068884e-06,0,2.5652457217233876e-05,1.2911478133415678e-05,0,0
1088450939,2.3449972020174245e-06,0,2.928330104893272e-05,1.556887166250067e-05,0,0
1088618980,2.4009315652000482e-06,0,2.781498170534432e-05,1.3903057281172161e-05,0,0
1088787021,2.350283996510901e-06,0,2.7124980517957555e-05,1.3003990717516638e-05,0,0
1088955062,2.1882287169088867e-06,0,2.509905782572862e-05,1.3267528428163147e-05,0,0
1089123103,2.1756644328299224e-06,0,2.7542858147987222e-05,1.542998277985894e-05,0,0
1089291144,2.274331260306958e-06,0,2.76699768744786e-05,1.3589155104277742e-05,0,0
1089459185,2.40615671990863e-06,0,2.4260092363992646e-05,1.3200466456526288e-05,0,0
1089627226,2.2574523492824175e-06,0,2.408761430523471e-05,1.224989776189264e-05,0,0
1089795267,2.6108169588605943e-06,0,2.636512433840472e-05,1.550331124149911e-05,0,0
1089963308,2.3442193828017185e-06,0,2.6656526229432686e-05,1.3539651680624898e-05,0,0
1090131349,2.466487276563201e-06,0,2.5436873019599902e-05,1.1313944288243415e-05,0,0
1090299390,2.3114981850698225e-06,0,2.4166479934648964e-05,1.25236562705552e-05,0,0
1090467431,2.233653204527445e-06,0,2.218106846775415e-05,1.2036726088276983e-05,0,0
1090635472,2.3054596953445055e-06,0,2.397128925082894e-05,1.3025759176712077e-05,0,0
1090803513,2.282997217910193e-06,0,2.2757846383550803e-05,1.1151111197277234e-05,0,0
1090971554,2.0068562287452685e-06,0,2.4240845547089416e-05,1.1846375411365827e-05,0,0
1091139595,2.1542135045226273e-06,0,2.182906366302719e-05,1.1404745841364709e-05,0,0
1091307636,2.3253873845985615e-06,0,2.652792971691614e-05,1.237321541314071e-05,0,0
1091475677,2.15932573396836e-06,0,2.4457918420115996e-05,1.130962926536424e-05,0,0
1091643718,2.1214538464396842e-06,0,2.5410355732899916e-05,1.256775364450201e-05,0,0
1091811759,2.413282276091814e-06,0,2.7886102853966623e-05,1.2630982138539066e-05,0,0
1091979800,1.9949975551324714e-06,0,2.038168504454305e-05,1.0694127717062432e-05,0,0
1092147841,2.292270503297523e-06,0,2.5916976817149534e-05,1.2840988083705758e-05,0,0
1092315882,1.9267131272736886e-06,0,1.5815988854317213e-05,9.070136279842501e-06,0,0
1092483923,2.181305928408737e-06,0,2.7747748104417404e-05,1.297160531526349e-05,0,0
1092651964,3.3719669998670283e-06,0,3.7599623817881476e-05,1.7058829540642942e-05,0,0
1092820005,2.1244988117505544e-06,0,2.1530043607560456e-05,1.1438771416041982e-05,0,0
1092988046,2.217465263354315e-06,0,2.2887584985458294e-05,1.1633725691707591e-05,0,0
1093156087,2.104597921034032e-06,0,2.0086879807642695e-05,1.1502288592146167e-05,0,0
1093324128,2.080855738362074e-06,0,2.1756412855452313e-05,1.0341492549487607e-05,0,0
1093492169,2.0169993269649313e-06,0,2.1252118225745816e-05,1.0788809031958811e-05,0,0
1093660210,2.2092195962385184e-06,0,2.1463087251692438e-05,1.1085654388195305e-05,0,0
1093828251,2.2575319949691046e-06,0,2.6537248912055325e-05,1.3031658012878619e-05,0,0
1093996292,2.1588221664601275e-06,0,2.3379927741134235e-05,1.1911992743040317e-05,0,0
1094164333,1.959548919991529e-06,0,2.1784239219403242e-05,1.1293744356588267e-05,0,0
1094332374,2.1531317740825387e-06,0,1.9912786717310436e-05,1.2015992123316477e-05,0,0
1094500415,1.9837676090372793e-06,0,2.189521401722483e-05,1.126414520229262e-05,0,0
1094668456,2.1475281213967558e-06,0,2.410751521010576e-05,1.1481110840088005e-05,0,0
1094836497,1.978614066215643e-06,0,2.084744537428826e-05,1.1649914149378485e-05,0,0
1095004538,2.1689986142296236e-06,0,2.189329855358646e-05,1.0550118304321501e-05,0,0
1095172579,2.0251042020076645e-06,0,2.139104147476015e-05,1.049183656222948e-05,0,0
1095340620,2.3292194065169183e-06,0,2.5493638197731717e-05,1.3082207781998807e-05,0,0
1095508661,2.2237632599473716e-06,0,2.238104565216528e-05,1.1890816669357322e-05,0,0
1095676702,2.8951234962608236e-06,0,1.8864863055718906e-05,1.013293135584044e-05,0,0
1095844743,1.990239256595958e-06,0,1.9697072363793232e-05,1.0826515643610096e-05,0,0
1096012784,1.9209157880788077e-06,0,1.830411716219197e-05,1.0123329149974586e-05,0,0
1096180825,2.0088950584254473e-06,0,1.864609083519208e-05,9.934963946739817e-06,0,0
1096348866,2.246248880140243e-06,0,2.1332907804291234e-05,1.0441995686545368e-05,0,0
1096516907,2.131152161503813e-06,0,2.2904289986866344e-05,1.1543452489422468e-05,0,0
1096684948,2.008147321591682e-06,0,1.7567400958674685e-05,1.0381218387963623e-05,0,0
1096852989,2.2039981230579515e-06,0,2.6049561603792212e-05,1.2920322807648547e-05,0,0
1097021030,2.1152706757223035e-06,0,2.179979842025548e-05,1.268144293185373e-05,0,0
1097189071,2.3627948432105695e-06,0,2.7039346004902948e-05,1.4642970745414279e-05,0,0
1097357112,2.228775327477516e-06,0,1.9451645345108736e-05,1.058721031185911e-05,0,0
1097525153,2.022452443675751e-06,0,2.045370895584642e-05,9.494445922962363e-06,0,0
1097693194,2.096634815499321e-06,0,1.701034819558809e-05,9.75608209300373e-06,0,0
1097861235,1.8878435560472521e-06,0,1.5943778716068367e-05,8.917186135512644e-06,0,0
1098029276,2.169349052008098e-06,0,1.6767091649120524e-05,9.685845111698961e-06,0,0
1098197317,2.0877991139243923e-06,0,2.0058239963751442e-05,1.0592394598251746e-05,0,0
1098365358,2.0629892411277133e-06,0,2.0052400723908426e-05,8.638457083707136e-06,0,0
1098533399,2.4053293529389943e-06,0,2.3695460408158636e-05,1.2082813274304362e-05,0,0
1098701440,1.9969958962606897e-06,0,2.1500756992586834e-05,1.249157515370438e-05,0,0
1098869481,2.080108781325996e-06,0,2.060331062887942e-05,1.132820958496959e-05,0,0
1099037522,0.0,0,0.0,0.0,0,0
1099205563,0.0,0,0.0,0.0,0,0
1099373604,0.0,0,0.0,0.0,0,0
1099541645,0.0,0,0.0,0.0,0,0
1099709686,0.0,0,0.0,0.0,0,0
1099877727,0.0,0,0.0,0.0,0,0
1100045768,0.0,0,0.0,0.0,0,0
1100213809,0.0,0,0.0,0.0,0,0
1100381850,0.0,0,0.0,0.0,0,0
1100549891,0.0,0,0.0,0.0,0,0
1100717932,0.0,0,0.0,0.0,0,0
1100885973,0.0,0,0.0,0.0,0,0
1101054014,0.0,0,0.0,0.0,0,0
1101222055,0.0,0,0.0,0.0,0,0
1101390096,0.0,0,0.0,0.0,0,0
