ts,Dtree,nDtree,HK,HDT,ET,opt
1082227042,0.0,0,0.0,0.0,0,0
1082420323,0.0,0,0.0,0.0,0,0
1082613604,0.0,0,0.0,0.0,0,0
1082806885,0.0,0,0.0,0.0,0,0
1083000166,0.0,0,0.0,0.0,0,0
1083193447,0.0,0,0.0,0.0,0,0
1083386728,0.0,0,0.0,0.0,0,0
1083580009,0.0,0,0.0,0.0,0,0
1083773290,2.0943264864511117e-06,0,0.0,0.0,0,0
1083966571,5.665880885994486e-07,0,1.7948208247921144e-06,1.1245550530167421e-06,0,0
1084159852,4.711047658060324e-07,0,1.8072141117294604e-06,9.258701944683367e-07,0,0
1084353133,4.653801676259706e-07,0,1.910905762833697e-06,9.356368261411668e-07,0,0
1084546414,4.682320329950475e-07,0,1.949734077509698e-06,9.392921535820988e-07,0,0
1084739695,4.716776078291342e-07,0,1.9463993225313925e-06,9.4382063966786e-07,0,0
1084932976,4.7151229218872743e-07,0,2.020749906494972e-06,9.593789204773353e-07,0,0
1085126257,4.704154277370331e-07,0,1.9591319608800608e-06,9.359797933724802e-07,0,0
1085319538,4.856709383469564e-07,0,2.0523390927138164e-06,9.931252083726534e-07,0,0
1085512819,4.940084349530813e-07,0,2.0229090209725813e-06,1.0146979085225427e-06,0,0
1085706100,4.942999731753642e-07,0,2.094565989224525e-06,1.022899699381361e-06,0,0
1085899381,5.089964406370553e-07,0,2.2878648059569887e-06,1.0289562775261577e-06,0,0
1086092662,5.0854854675174e-07,0,2.2697879422425343e-06,1.0356142842889067e-06,0,0
1086285943,5.090661165636539e-07,0,2.2280782961791245e-06,1.0273303532658233e-06,0,0
1086479224,5.172870722016984e-07,0,2.1712877963855762e-06,1.0459618368315944e-06,0,0
1086672505,5.124469725738899e-07,0,2.304113676964051e-06,1.0196588592079094e-06,0,0
1086865786,5.013612385243379e-07,0,2.153244102515856e-06,1.024720104572202e-06,0,0
1087059067,5.133154916559683e-07,0,2.221943167257074e-06,1.0915401916138908e-06,0,0
1087252348,5.758486925926638e-07,0,2.466538819703561e-06,1.218641667572915e-06,0,0
1087445629,5.733854812986554e-07,0,2.47744154870828e-06,1.386253210878293e-06,0,0
1087638910,5.484471828137643e-07,0,2.2942430304046827e-06,1.330037432490234e-06,0,0
1087832191,6.530832961702447e-07,0,2.5794994847289856e-06,1.5996346044692923e-06,0,0
