ts,Dtree,nDtree,HK,HDT,ET,opt
1082227042,0.0,0,0.0,0.0,0,0
1082420323,0.0,0,0.0,0.0,0,0
1082613604,0.0,0,0.0,0.0,0,0
1082806885,0.0,0,0.0,0.0,0,0
1083000166,0.0,0,0.0,0.0,0,0
1083193447,0.0,0,0.0,0.0,0,0
1083386728,2.9858700782017876e-05,0,8.97421025685137e-05,2.9356706563337686e-05,0,0
1083580009,2.3013770224606915e-05,0,8.315516852167367e-05,2.078279293598379e-05,0,0
1083773290,2.8725122395497705e-05,0,0.00012140934049379233,0.00011629722577486758,0,0
1083966571,2.168475455932384e-05,0,0.00010897204591524243,6.354199261896549e-05,0,0
1084159852,2.4055042882504513e-05,0,9.787885386826907e-05,4.4080468928160955e-05,0,0
1084353133,2.8175497161111304e-05,0,0.00010162192493722552,5.470792176355837e-05,0,0
1084546414,2.7752501801718723e-05,0,0.000140472964743701,7.369000221277047e-05,0,0
1084739695,2.5123891501841336e-05,0,0.00011338268099643878,5.141148173978725e-05,0,0
1084932976,3.27852635739502e-05,0,0.00010964897561692982,4.481909873621844e-05,0,0
1085126257,2.4029386864962242e-05,0,0.00010151235238109112,5.079798555922819e-05,0,0
1085319538,2.350324920705792e-05,0,9.674004715535274e-05,4.9100655871495834e-05,0,0
1085512819,2.258141778242246e-05,0,0.00012173337793217394,5.185067294643377e-05,0,0
1085706100,2.580929828414667e-05,0,0.00011659909367508754,6.664676426301838e-05,0,0
1085899381,2.3711632712332936e-05,0,0.00010184530424141404,5.577898233870783e-05,0,0
1086092662,2.6318490125910477e-05,0,9.345485659339934e-05,6.437276328459499e-05,0,0
1086285943,2.377964493735728e-05,0,0.00011109980396755346,5.067680340498574e-05,0,0
1086479224,2.6211889182618656e-05,0,0.0001237369431184721,5.732818768469707e-05,0,0
1086672505,2.3058154669875447e-05,0,0.00010781980351936215,6.561926841948387e-05,0,0
1086865786,2.3490848900238946e-05,0,0.00010827457918679778,6.0845232182722644e-05,0,0
1087059067,2.58926189016987e-05,0,8.481366007392208e-05,4.802826872079248e-05,0,0
1087252348,2.188205727867956e-05,0,9.10636103868546e-05,5.426414531270202e-05,0,0
1087445629,2.2264625669751393e-05,0,8.905807769140837e-05,5.098165903002264e-05,0,0
1087638910,2.482778463646176e-05,0,8.510403619858196e-05,5.2985012139776856e-05,0,0
