ts,Dtree,nDtree,HK,HDT,ET,opt
1082227042,0.0,0.0,0.0,0.0,0,0
1082420323,0.0,0.0,0.0,0.0,0,0
1082613604,1.666595287167985e-06,1.0758804380022645e-06,2.0653333474438913e-06,2.0738325300990728e-06,0,0
1082806885,1.1427639026981947e-06,1.0445508315385742e-06,1.798175125557068e-06,1.5901209084370678e-06,0,0
1083000166,9.70097615526619e-07,1.0341084894690417e-06,1.7528715345415478e-06,1.4626238673548086e-06,0,0
1083193447,9.901353331256525e-07,1.1208126774321215e-06,1.7795110401647865e-06,1.438054601442346e-06,0,0
1083386728,9.264594369741666e-07,1.1106520045090388e-06,1.8326062661489896e-06,1.4710824419547354e-06,0,0
1083580009,8.986685476410082e-07,1.0858635648707732e-06,1.8365048753916012e-06,1.4379814227714772e-06,0,0
1083773290,9.201803316130871e-07,1.2151675892569863e-06,1.937674631961081e-06,1.5024246212778305e-06,0,0
1083966571,9.319987939113045e-07,1.3374953533308279e-06,1.9966086465580015e-06,1.5695686633291645e-06,0,0
1084159852,9.689130015329076e-07,1.3358394476793715e-06,2.101074698765537e-06,1.7836438808203496e-06,0,0
1084353133,9.525210890262582e-07,1.3205913774538198e-06,2.0901063517215937e-06,1.8879590842243953e-06,0,0
1084546414,1.0260888867101835e-06,1.4572899916397746e-06,2.210635175492954e-06,1.9949870156611524e-06,0,0
1084739695,1.1094033883461418e-06,1.5686365288226084e-06,2.394451576650035e-06,2.2357657824581923e-06,0,0
1084932976,1.023850121631879e-06,1.4958996404061175e-06,2.245201405202576e-06,1.9816897048481226e-06,0,0
1085126257,1.0829652724692097e-06,1.5762414856611406e-06,2.2653625403185416e-06,2.0949082166035307e-06,0,0
1085319538,1.0856661418530837e-06,1.618930067502647e-06,2.2710020370309163e-06,2.1627204806109892e-06,0,0
1085512819,1.092080721275388e-06,1.5914012044598032e-06,2.4123682591219072e-06,2.2116319058301644e-06,0,0
1085706100,1.0263899647975436e-06,1.8164572332777354e-06,2.248989706877952e-06,1.945215458315515e-06,0,0
1085899381,1.2436977146232816e-06,1.9689194665698e-06,2.8438493482229794e-06,2.771415867608317e-06,0,0
1086092662,1.322311559681143e-06,1.8117328892617172e-06,2.750101572436394e-06,2.89162891490886e-06,0,0
1086285943,1.3258948837028875e-06,1.877019507628703e-06,2.8278517143744144e-06,2.9968187214262294e-06,0,0
1086479224,1.3371296722722446e-06,1.8380075813016328e-06,2.9610360444512204e-06,3.2259806397010636e-06,0,0
1086672505,1.2880236224981512e-06,1.6711222915016032e-06,2.753043974411062e-06,2.872845639735466e-06,0,0
1086865786,1.2446882661146587e-06,1.91037746743047e-06,2.6356155667889296e-06,2.5941712344279826e-06,0,0
1087059067,1.3513756758922142e-06,2.2168763241311237e-06,2.7042582802767493e-06,2.9052856662689154e-06,0,0
1087252348,1.2501576137155783e-06,1.953282480178198e-06,2.471553251795894e-06,2.430482108015281e-06,0,0
1087445629,1.4689681999181951e-06,2.444943484432041e-06,3.2700421024272253e-06,3.5244303799178316e-06,0,0
1087638910,2.648297493729944e-06,2.6913973131535015e-06,4.294595126377974e-06,4.578795201779425e-06,0,0
1087832191,2.5841611791061583e-06,3.288996314053954e-06,4.042136886740591e-06,5.263133338723876e-06,0,0
1088025472,2.571996415167672e-06,2.465331402809631e-06,3.81574569080754e-06,3.955120122667991e-06,0,0
1088218753,2.8539970712261944e-06,2.39466420607555e-06,4.172913131570787e-06,4.315579686416e-06,0,0
1088412034,1.5069822674687318e-06,1.5792673510310299e-06,2.559168031098325e-06,2.2743303064403834e-06,0,0
1088605315,1.420562797244196e-06,1.489500016294446e-06,2.166112880761023e-06,2.1386022896989677e-06,0,0
1088798596,1.390790184522876e-06,1.2926516635485367e-06,2.1667275893912737e-06,1.937325571645026e-06,0,0
1088991877,1.4725876529388382e-06,1.3333940654917325e-06,2.26995026397737e-06,2.0160680730000214e-06,0,0
1089185158,1.227603366079083e-06,1.2511537072416188e-06,2.356117987453028e-06,2.06244308278702e-06,0,0
1089378439,1.1544856676246948e-06,1.363972452462564e-06,2.299026437092132e-06,1.9409529766916433e-06,0,0
1089571720,1.1274127281436036e-06,1.3058165208253788e-06,2.4051549916962197e-06,2.080568353717297e-06,0,0
1089765001,1.374949308165623e-06,1.6227778560341112e-06,2.6657875161401615e-06,2.4038012603170983e-06,0,0
1089958282,1.193333260530876e-06,1.6095353396697123e-06,2.492652053970765e-06,2.1947805842138127e-06,0,0
1090151563,1.219392502617979e-06,1.822998606103221e-06,2.87031989284511e-06,2.516628441682219e-06,0,0
1090344844,1.4752280386346074e-06,1.821299747173242e-06,2.436781790415001e-06,2.5073811137938515e-06,0,0
1090538125,1.266294648775273e-06,1.6428503872565338e-06,2.468761419534253e-06,2.1446356213312353e-06,0,0
1090731406,1.5668941569197371e-06,1.7397599109382704e-06,2.66568975618049e-06,2.4689021510985913e-06,0,0
1090924687,1.3023090077561675e-06,1.6625587338291433e-06,2.3301979532773637e-06,2.0974285186190154e-06,0,0
1091117968,1.3649626188944179e-06,1.56923754574933e-06,2.115318520008002e-06,1.8542700280144481e-06,0,0
1091311249,1.4374606935319558e-06,1.6190403666138016e-06,2.2679157423864296e-06,2.0150000461922004e-06,0,0
1091504530,1.2965092157916576e-06,1.6806288326901807e-06,2.408959264681184e-06,2.0579418330611645e-06,0,0
1091697811,1.5006805051114848e-06,1.5845808610335418e-06,2.1358525009124157e-06,1.9464436706436573e-06,0,0
1091891092,1.4249256332357916e-06,1.7508667459123373e-06,2.10082784095041e-06,2.180765307318664e-06,0,0
1092084373,1.2339811743593445e-06,1.8508597825674299e-06,2.3688326965862837e-06,2.052749805249755e-06,0,0
1092277654,1.2978646924905978e-06,1.7380500695473685e-06,2.2589119812778347e-06,1.9835128229767326e-06,0,0
1092470935,1.545242453725437e-06,1.62186813270028e-06,2.437397308365796e-06,2.3824537092009206e-06,0,0
1092664216,1.5394632405315076e-06,1.5247720684567165e-06,2.1362705053028205e-06,2.2810647295960824e-06,0,0
1092857497,1.3257928355723874e-06,1.4000250564922777e-06,2.2470060794028107e-06,1.983154746577898e-06,0,0
1093050778,1.500276989729065e-06,1.4909434844804707e-06,2.1035529345131777e-06,1.8774686131849551e-06,0,0
1093244059,1.3293875722798514e-06,1.3427918535093574e-06,1.988230176979474e-06,1.6471147779217351e-06,0,0
1093437340,1.46850741965442e-06,1.5350119180873426e-06,2.2331132026372878e-06,1.973081177309157e-06,0,0
1093630621,1.4214190561531515e-06,1.3243291177663554e-06,2.1044118770729396e-06,1.5608373475523578e-06,0,0
1093823902,1.4519999380942534e-06,1.4278782699102815e-06,2.260486759247882e-06,1.9181975225005175e-06,0,0
1094017183,1.3148119951276624e-06,1.4081385830022938e-06,2.0442384260699943e-06,1.7209512240369116e-06,0,0
1094210464,1.6842721126145569e-06,1.6383649798484443e-06,2.231152169496168e-06,2.0807406163873623e-06,0,0
1094403745,1.4831500429475983e-06,1.7239482576766965e-06,2.687178551174987e-06,2.6845110232563e-06,0,0
1094597026,1.3253144908152109e-06,1.480591662950701e-06,2.2982577104781744e-06,2.2947496984908487e-06,0,0
1094790307,1.3138623511895394e-06,1.6122448229749849e-06,2.1998426981485698e-06,2.0135663644487628e-06,0,0
1094983588,1.366628280233873e-06,1.5178529073752272e-06,2.147713436654704e-06,1.8384279502962898e-06,0,0
1095176869,1.3392150296150378e-06,1.3531057835434647e-06,2.0066723916495765e-06,1.8395114088186976e-06,0,0
1095370150,1.1896665141163263e-06,1.618113087606933e-06,2.2898268262794957e-06,2.226980618771898e-06,0,0
1095563431,1.9106325210611796e-06,1.7904280917789645e-06,2.561322670813324e-06,2.3783663262533336e-06,0,0
1095756712,1.959186787332411e-06,1.8013997848083774e-06,1.7193833515240905e-06,2.8757759830573216e-06,0,0
1095949993,2.1232365445708946e-06,1.4948453366602562e-06,2.4854607080904216e-06,2.5337687104784825e-06,0,0
1096143274,1.2842550100544036e-06,1.3148770025345658e-06,2.145101653161733e-06,1.934421486720493e-06,0,0
1096336555,1.397937257636309e-06,1.1995584936105638e-06,1.7646634048132137e-06,1.6043932241219594e-06,0,0
1096529836,1.4924162159752606e-06,1.6044000209584196e-06,2.672450976296843e-06,2.486772705274526e-06,0,0
1096723117,1.8499466721752197e-06,1.4549405023728254e-06,2.2604279663504108e-06,2.3798319577762907e-06,0,0
1096916398,1.8696654096256387e-06,1.5926104368525892e-06,2.5252203378491666e-06,2.886848972537331e-06,0,0
1097109679,1.1845440757845039e-06,1.2110688301049242e-06,1.7719007590798323e-06,1.4797420876730586e-06,0,0
1097302960,1.1741018855160634e-06,1.5446244791900026e-06,2.1280254738368696e-06,1.910738081174727e-06,0,0
1097496241,1.6991993299055921e-06,1.7323829071510421e-06,2.769844114638957e-06,2.6034593229732533e-06,0,0
1097689522,1.9481492281498828e-06,1.513666053674714e-06,2.287943840903594e-06,2.0529719077718646e-06,0,0
1097882803,1.4985494782774476e-06,1.677156747277951e-06,2.4849986200431898e-06,2.3190523040978676e-06,0,0
