ts,Dtree,nDtree,HK,HDT,ET,opt
1082227042,3.816480801719905e-06,0,1.7835410243419806e-05,9.19545386519327e-06,0,0
1082420323,4.1609575871802935e-06,0,3.3676664062261615e-05,1.2869871620082501e-05,0,0
1082613604,1.7171921349271145e-06,0,1.5654792802097205e-05,7.595011766076782e-06,0,0
1082806885,1.6896197159006564e-06,0,1.6560519243624426e-05,9.562875298414952e-06,0,0
1083000166,1.7350579849656232e-06,0,1.9720939554433398e-05,1.0625963908775376e-05,0,0
1083193447,1.8344072068302202e-06,0,2.0853859123146137e-05,1.0485128547423708e-05,0,0
1083386728,1.797296157737069e-06,0,2.1882509439208556e-05,1.2846947166247898e-05,0,0
1083580009,1.847918619400965e-06,0,2.263384831828539e-05,1.2367741616273816e-05,0,0
1083773290,1.8913601854436849e-06,0,2.3488829080270033e-05,1.3246646071764311e-05,0,0
1083966571,1.936632354375675e-06,0,2.5139365327249952e-05,1.2853315130703618e-05,0,0
1084159852,1.8774819340906416e-06,0,2.241014084833146e-05,1.1455525729138267e-05,0,0
1084353133,1.942171602502148e-06,0,2.581307406305554e-05,1.263166982018506e-05,0,0
1084546414,2.0684608678687613e-06,0,2.763258262526741e-05,1.3178022226736647e-05,0,0
1084739695,1.987234958614873e-06,0,2.624105368923047e-05,1.2494173971641935e-05,0,0
1084932976,1.949709819064924e-06,0,2.429193845797103e-05,1.2387679379374247e-05,0,0
1085126257,2.002312413503112e-06,0,2.718760131935636e-05,1.3048050671075521e-05,0,0
1085319538,2.0882736792533657e-06,0,2.593836623872918e-05,1.2757313298966709e-05,0,0
1085512819,2.01266640715943e-06,0,2.615069933534934e-05,1.2980629384189803e-05,0,0
1085706100,2.014865863253716e-06,0,2.6553703037596046e-05,1.3267373789043912e-05,0,0
1085899381,2.11028852688251e-06,0,2.760759387155799e-05,1.4036707977533975e-05,0,0
1086092662,2.1165258737220055e-06,0,2.8175176703626148e-05,1.3755575328005565e-05,0,0
1086285943,2.0708372088723093e-06,0,2.6782071614980034e-05,1.2996448311952686e-05,0,0
1086479224,2.0834279788288796e-06,0,2.7833277687279545e-05,1.3818567330372268e-05,0,0
1086672505,2.207142333910083e-06,0,2.7524398111036182e-05,1.4437020284217683e-05,0,0
1086865786,2.026547733613107e-06,0,2.5173992018814528e-05,1.3627318049218825e-05,0,0
1087059067,2.059332552845334e-06,0,2.5378027774747173e-05,1.3089328573164e-05,0,0
1087252348,2.1623326549329764e-06,0,2.8516507897576145e-05,1.3533735747875746e-05,0,0
1087445629,2.223536883177595e-06,0,2.738682506428799e-05,1.424291198261133e-05,0,0
1087638910,2.2304942548217496e-06,0,2.656368336129451e-05,1.2070719385755365e-05,0,0
1087832191,2.1614963519363115e-06,0,2.1206298217640215e-05,1.1895479808999324e-05,0,0
1088025472,2.48413934794878e-06,0,2.454110786177229e-05,1.3101266884930895e-05,0,0
1088218753,2.158075632605511e-06,0,1.7396909643066157e-05,9.471146618729783e-06,0,0
1088412034,2.0957622984658827e-06,0,2.031270838599438e-05,1.0647777913502001e-05,0,0
