ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,0.0,0.0,0.0,0.0,0,0
1096219061,0.0,0.0,0.0,0.0,0,0
1096336562,0.0,0.0,0.0,0.0,0,0
1096454063,0.0,0.0,0.0,0.0,0,0
1096571564,0.0,0.0,0.0,0.0,0,0
1096689065,0.0,0.0,0.0,0.0,0,0
1096806566,0.0,0.0,0.0,0.0,0,0
1096924067,0.0,0.0,0.0,0.0,0,0
1097041568,0.0,0.0,0.0,0.0,0,0
1097159069,0.0,0.0,0.0,0.0,0,0
1097276570,0.0,0.0,0.0,0.0,0,0
1097394071,7.864961627925541e-07,7.869915379492618e-07,3.551964205817551e-06,3.121968505723329e-06,0,0
1097511572,1.0642473395084277e-06,7.479927951246669e-07,4.0899595027619354e-06,2.607973624459873e-06,0,0
1097629073,3.474993216524472e-07,4.974974808452999e-07,2.1806596800746943e-06,3.0319896610675407e-06,0,0
1097746574,4.839984219813147e-07,5.889947023522478e-07,2.6689737336013935e-06,5.633943195916307e-06,0,0
1097864075,3.5333264578282903e-07,6.355989192372321e-07,2.7127946254964002e-06,4.0033919471607145e-06,0,0
1097981576,4.454984950125995e-07,5.144972160648125e-07,2.3043256877739385e-06,1.4809950141739478e-06,0,0
1098099077,3.4216619161011857e-07,5.681987663753707e-07,2.412995030470313e-06,1.824596609066816e-06,0,0
1098216578,3.653994976757595e-07,5.317990422204629e-07,2.2735950554411827e-06,2.574395274536912e-06,0,0
1098334079,5.936646244021858e-07,5.91664652219561e-07,2.1644897065852976e-06,2.8006571199661606e-06,0,0
1098451580,4.1166571974335115e-07,4.709990710831441e-07,2.0381957419523716e-06,1.5509969574137554e-06,0,0
1098569081,4.133328207531993e-07,5.429985844028638e-07,2.346743985362311e-06,1.8953266773868859e-06,0,0
1098686582,4.193990005040583e-07,5.072489381607155e-07,2.446743814691048e-06,1.6292456362531959e-06,0,0
1098804083,5.739984064395636e-07,0.0,0.0,2.3479771550393367e-06,0,0
1098921584,3.8957071496623426e-07,5.539988539964148e-07,3.0931938435922388e-06,2.5765947921246445e-06,0,0
1099039085,4.86248757997229e-07,6.832486832539146e-07,3.953986538502022e-06,2.5096582873373074e-06,0,0
1099156586,3.8028543696488825e-07,7.332845127233302e-07,2.8753286013894608e-06,2.108595948037395e-06,0,0
1099274087,4.669992664391253e-07,6.591418309860306e-07,3.7424402208201085e-06,2.4039968102187618e-06,0,0
1099391588,5.544986614092391e-07,5.599979712488344e-07,4.578988558361827e-06,4.861488047793872e-06,0,0
1099509089,5.049992577681269e-07,7.989984105587738e-07,4.091992015323192e-06,3.039793878472273e-06,0,0
1099626590,9.69831540804298e-07,1.250246499101733e-06,9.90297510626015e-06,5.006189886691589e-06,0,0
1099744091,4.175705087831247e-07,6.856652454842483e-07,2.9739855111454274e-06,3.286483599700057e-06,0,0
1099861592,4.5999906770654024e-07,6.224991247335828e-07,3.1396614272212803e-06,2.6328534725988417e-06,0,0
1099979093,3.914997052961045e-07,5.776919105658195e-07,2.8034981353170496e-06,2.6269143985678616e-06,0,0
1100096594,4.447994896852734e-07,6.401243083199458e-07,3.3903706619731053e-06,2.823994986988017e-06,0,0
1100214095,4.5099917788496264e-07,6.755548355710472e-07,2.320872054240442e-06,2.8248714375206503e-06,0,0
1100331596,4.37665856196724e-07,7.063322654774023e-07,2.9001945426032358e-06,2.6373289380992696e-06,0,0
1100449097,5.748743978062011e-07,6.858562507699355e-07,4.183095825862892e-06,4.73561862364961e-06,0,0
1100566598,5.045706987515193e-07,7.788740317880018e-07,4.0119898330215804e-06,3.7549906922869737e-06,0,0
1100684099,4.853631471116851e-07,6.481812366946488e-07,3.957995748476289e-06,4.066328709919517e-06,0,0
1100801600,5.095548554876095e-07,8.157130691402609e-07,3.4821377622120586e-06,3.1409954920867076e-06,0,0
1100919101,4.0689970101907184e-07,6.01999129073857e-07,3.4564965967927498e-06,2.3149978457389066e-06,0,0
1101036602,4.944989911851037e-07,6.569965881890852e-07,3.1969918492684154e-06,3.042989962817812e-06,0,0
1101154103,5.378322819026415e-07,6.435707842247724e-07,2.8967943125116478e-06,2.865742883574006e-06,0,0
1101271604,4.399993780963406e-07,6.391985101687271e-07,2.789194392332017e-06,2.373994197491301e-06,0,0
1101389105,4.1024906960587417e-07,5.957989649907362e-07,2.912394298234366e-06,2.373993742745087e-06,0,0
1101506606,5.109993528553329e-07,5.953986062237333e-07,3.1405935203673042e-06,2.573794645437119e-06,0,0
1101624107,5.099993349433928e-07,6.671418648820199e-07,3.488178716747363e-06,2.7027247583420677e-06,0,0
1101741608,4.6283297942087715e-07,6.794991831000035e-07,3.0268710951532232e-06,2.4280974960480034e-06,0,0
1101859109,4.962488546166562e-07,6.727989971289926e-07,4.331191190076287e-06,2.0584895385892044e-06,0,0
1101976610,4.856649138848903e-07,5.886648455275689e-07,2.8897427971382817e-06,2.651394760979439e-06,0,0
1102094111,4.3299919327610443e-07,6.869991519084171e-07,3.582495493224711e-06,2.7954963869879263e-06,0,0
1102211612,5.444990195360258e-07,5.844965805372944e-07,4.0409899085821236e-06,3.44919282283151e-06,0,0
1102329113,4.5945406437064513e-07,7.063631308198259e-07,3.7534511259820837e-06,2.8621971550646297e-06,0,0
1102446614,4.6912451147380213e-07,6.311241873750276e-07,3.470327229077247e-06,2.458594820830343e-06,0,0
1102564115,4.971419566399267e-07,5.59599147371465e-07,2.952994060521985e-06,1.9679951860016663e-06,0,0
1102681616,5.08998346846054e-07,6.275984741445066e-07,3.4499912696776014e-06,2.9626566857421037e-06,0,0
1102799117,4.989987049728408e-07,6.957984350474909e-07,3.267393562896878e-06,2.1369945678762275e-06,0,0
1102916618,5.733988828819946e-07,7.364964868136164e-07,3.4002413517443906e-06,2.4713250324244983e-06,0,0
1103034119,4.714988371723531e-07,6.546648370458551e-07,4.0564793373678215e-06,2.5479871440370864e-06,0,0
1103151620,4.645552297977733e-07,6.784988939255478e-07,3.0827425473233324e-06,2.3916627019981047e-06,0,0
1103269121,5.133328092060877e-07,6.574968077739624e-07,3.535981760009869e-06,2.805985399329193e-06,0,0
1103386622,4.033327915914709e-07,5.961103595328882e-07,3.1827245373918506e-06,2.410997557563088e-06,0,0
1103504123,4.419995480206552e-07,5.82713462400628e-07,3.380852289298278e-06,3.3404238783533845e-06,0,0
1103621624,5.577996368563738e-07,6.435450503264079e-07,2.8139209924268184e-06,3.330731207717271e-06,0,0
1103739125,4.3599730186495854e-07,5.575988087250629e-07,3.686592838763876e-06,3.3552417127628427e-06,0,0
1103856626,5.69427842632215e-07,6.06249311001458e-07,2.705162123133642e-06,2.916424680418527e-06,0,0
1103974127,5.64331699057023e-07,7.049967500637456e-07,3.1979687609797294e-06,0.0,0,0
1104091628,5.254985858486964e-07,6.486649204979809e-07,3.7407922481278114e-06,4.496791108478444e-06,0,0
1104209129,4.0199865300203077e-07,6.223308923531402e-07,3.074242203717746e-06,2.7995942615481117e-06,0,0
1104326630,4.348564703186048e-07,5.318176964880785e-07,2.724580936267542e-06,2.577441557426369e-06,0,0
1104444131,5.714989911669878e-07,6.281420082171906e-07,3.6736601953451386e-06,2.8998283772504097e-06,0,0
1104561632,5.73832295935545e-07,5.463316462495105e-07,2.344325434590323e-06,2.522991738385362e-06,0,0
1104679133,4.4724881319036607e-07,6.499989200504012e-07,3.028194024346629e-06,3.357491342283604e-06,0,0
1104796634,7.689919083027703e-07,8.369973017632046e-07,4.023979616193274e-06,3.781981111696003e-06,0,0
1104914135,0.0,5.689942043705391e-07,3.196741966223811e-06,5.621314871250238e-06,0,0
1105031636,6.114966147486563e-07,0.0,2.848971849037523e-06,0.0,0,0
1105149137,2.7999882212515926e-07,6.239986621635928e-07,3.0179848258312244e-06,2.7696573995535323e-06,0,0
1105266638,0.0,0.0,0.0,0.0,0,0
1105384139,5.399943463083882e-07,7.399929597262262e-07,4.875951516029196e-06,0.0,0,0
1105501640,4.909981730385563e-07,7.129978137849113e-07,3.837987545582007e-06,2.5774869119376027e-06,0,0
1105619141,0.0,0.0,0.0,0.0,0,0
1105736642,0.0,0.0,0.0,0.0,0,0
1105854143,4.6166494452950354e-07,9.169906821451369e-07,4.584477480028469e-06,4.453477246670369e-06,0,0
1105971644,6.579928279209954e-07,0.0,0.0,0.0,0,0
1106089145,6.614967454726712e-07,6.979929143988057e-07,2.2039773894105836e-06,5.234474177244814e-06,0,0
1106206646,4.3799553549266245e-07,0.0,0.0,0.0,0,0
1106324147,0.0,0.0,0.0,0.0,0,0
1106441648,0.0,5.799973327438628e-07,2.2629888545336183e-06,3.48798296237044e-06,0,0
1106559149,0.0,0.0,0.0,0.0,0,0
1106676650,0.0,0.0,0.0,0.0,0,0
1106794151,0.0,0.0,0.0,0.0,0,0
1106911652,0.0,0.0,0.0,0.0,0,0
1107029153,0.0,0.0,0.0,0.0,0,0
1107146654,0.0,0.0,0.0,0.0,0,0
1107264155,0.0,0.0,0.0,0.0,0,0
1107381656,0.0,0.0,0.0,0.0,0,0
1107499157,0.0,0.0,0.0,0.0,0,0
1107616658,0.0,0.0,0.0,0.0,0,0
1107734159,0.0,0.0,0.0,0.0,0,0
