ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,0.0,0.0,0.0,0.0,0,0
1096219061,0.0,0.0,0.0,0.0,0,0
1096336562,0.0,0.0,0.0,0.0,0,0
1096454063,0.0,0.0,0.0,0.0,0,0
1096571564,0.0,0.0,0.0,0.0,0,0
1096689065,0.0,0.0,0.0,0.0,0,0
1096806566,0.0,0.0,0.0,0.0,0,0
1096924067,0.0,0.0,0.0,0.0,0,0
1097041568,0.0,0.0,0.0,0.0,0,0
1097159069,0.0,0.0,0.0,0.0,0,0
1097276570,0.0,0.0,0.0,0.0,0,0
1097394071,1.5299956769611794e-05,9.146524822622652e-06,4.464744896690771e-05,2.172203899617254e-05,0,0
1097511572,1.4366709560978517e-05,9.362644417417458e-06,4.3463577105468116e-05,3.035403789449464e-05,0,0
1097629073,1.6529153715226143e-05,9.036892560348302e-06,4.1486947490615814e-05,2.828265723360549e-05,0,0
1097746574,1.2628916076462371e-05,8.913309248679555e-06,4.0480075798338586e-05,2.054934247022875e-05,0,0
1097864075,2.1336776406712644e-05,9.793447394397531e-06,4.450554567479522e-05,2.3324650877031853e-05,0,0
1097981576,1.6316319860559186e-05,8.864493410357848e-06,4.181038160998626e-05,2.019291815172558e-05,0,0
1098099077,1.3799741833307634e-05,8.886631761055175e-06,4.244672882345784e-05,2.6469553527588274e-05,0,0
1098216578,2.0936016836458813e-05,8.913951969160628e-06,4.2424297903122485e-05,2.2926818567603027e-05,0,0
1098334079,1.4467705490682921e-05,9.43926015279762e-06,4.8220750280454995e-05,3.145359520573267e-05,0,0
1098451580,1.758534096288992e-05,9.075890120663336e-06,4.8875968032616735e-05,2.3303383184399447e-05,0,0
1098569081,1.7064127026014732e-05,9.62023207767301e-06,4.5341549006501066e-05,2.4683295775820598e-05,0,0
1098686582,1.844219600595343e-05,8.954566056171192e-06,4.266171723813497e-05,2.4410100585509592e-05,0,0
1098804083,1.7312664939060257e-05,9.195225551708662e-06,4.760555210877683e-05,2.4990121469755247e-05,0,0
1098921584,1.8776311753249492e-05,9.235283088452604e-06,4.6959085607748106e-05,2.3499190553672752e-05,0,0
1099039085,1.6754192097143025e-05,9.425776452726645e-06,5.1162554589207866e-05,2.7308681210939372e-05,0,0
1099156586,1.3985881037771544e-05,9.260352068202125e-06,4.9286082588982455e-05,4.128202486456247e-05,0,0
1099274087,2.0245356569469826e-05,9.525895348435207e-06,4.9418129821734966e-05,2.995413997832438e-05,0,0
1099391588,1.7928349693355028e-05,9.833998960996347e-06,5.448648856629608e-05,3.0346447235490823e-05,0,0
1099509089,1.4818977348052477e-05,9.7372336789962e-06,5.442299440757675e-05,2.6159742209052124e-05,0,0
1099626590,1.8691850656891357e-05,1.1685720465787795e-05,6.887829192504788e-05,3.485377762310939e-05,0,0
1099744091,1.5160569774375164e-05,9.335314133445096e-06,5.3532911118731075e-05,2.7573299271242684e-05,0,0
1099861592,1.4657866534300117e-05,9.631371044986792e-06,4.893516121222605e-05,3.292553894107088e-05,0,0
1099979093,1.8676414684654683e-05,9.581040259676794e-06,4.932841152204881e-05,2.8729782757392614e-05,0,0
1100096594,1.8103048892883905e-05,9.442999231374635e-06,4.9230706685033145e-05,4.073202110745197e-05,0,0
1100214095,1.737394977302652e-05,9.8969790104235e-06,5.071308406327977e-05,4.556857957022179e-05,0,0
1100331596,1.5282331930502748e-05,9.54405462617724e-06,5.544903158399201e-05,2.6294442005072435e-05,0,0
1100449097,1.6226274786450074e-05,1.0385386498492288e-05,5.310927577975999e-05,3.5255062973789486e-05,0,0
1100566598,1.6874596531467548e-05,1.1494563717771092e-05,5.279709864879278e-05,2.8394902503191425e-05,0,0
1100684099,1.5233035908285165e-05,1.059711035435032e-05,4.807757000235628e-05,3.262506334587666e-05,0,0
1100801600,1.4930604417420103e-05,9.28219046371133e-06,4.106471938717461e-05,2.8581037828800588e-05,0,0
1100919101,2.0557619815668608e-05,9.952775936784286e-06,5.0613752231189886e-05,3.125238803457713e-05,0,0
1101036602,1.45382280185679e-05,9.809485574572894e-06,5.279308693375426e-05,3.1336997078771286e-05,0,0
1101154103,1.5711924001486702e-05,9.652604074144703e-06,4.954455463597749e-05,3.84832949040392e-05,0,0
1101271604,1.5324144146549878e-05,9.920037917378259e-06,5.073590770507768e-05,4.51258898853211e-05,0,0
1101389105,1.7954541968629407e-05,1.1648155737708839e-05,5.846091583189471e-05,4.101004458303411e-05,0,0
1101506606,1.4087768159511149e-05,9.696854224222421e-06,4.913569859548782e-05,2.948144047834625e-05,0,0
1101624107,1.9452873503051604e-05,1.0362116384977507e-05,5.172189103846283e-05,3.4264077900509525e-05,0,0
1101741608,1.537916003279558e-05,1.0345856359920244e-05,5.2138441267372395e-05,3.4188195702079215e-05,0,0
1101859109,1.5128700482835095e-05,9.834487053786675e-06,5.7425369283848204e-05,3.687099702541283e-05,0,0
1101976610,1.5696600442767623e-05,9.751170982240927e-06,4.798612523450148e-05,2.9277667127220926e-05,0,0
1102094111,2.2284293275897384e-05,9.640301693029234e-06,5.08555083311293e-05,3.6081055825488535e-05,0,0
1102211612,1.4289502890353136e-05,1.0320597628936254e-05,5.324517975214299e-05,3.1323408749721256e-05,0,0
1102329113,1.5137449247327123e-05,9.901548849125437e-06,4.9100034450558204e-05,3.058355825687489e-05,0,0
1102446614,1.567092849127873e-05,9.783178883182575e-06,5.066723100056015e-05,3.577343797294169e-05,0,0
1102564115,1.5167201860346796e-05,9.869969670362046e-06,4.9861292580918785e-05,3.417173278540534e-05,0,0
1102681616,1.46517875114574e-05,9.503973562416775e-06,4.7555548212709265e-05,3.1723163560942664e-05,0,0
1102799117,1.52311668374304e-05,9.46868779388508e-06,4.659946728553891e-05,2.7403492811397493e-05,0,0
1102916618,1.4907042377325591e-05,9.986190455866958e-06,4.5826853743841307e-05,3.384698559255136e-05,0,0
1103034119,1.3139989008886322e-05,8.971028026722354e-06,4.4821881447449945e-05,2.6657102274250937e-05,0,0
1103151620,1.3126174282247579e-05,9.104708623529085e-06,4.571027344637619e-05,2.6195570412490048e-05,0,0
1103269121,1.4458470898006862e-05,9.42765820273336e-06,4.823322110228695e-05,2.8180649009966562e-05,0,0
1103386622,1.5036347673228164e-05,9.438340574097078e-06,4.690169781989087e-05,2.7283797826468583e-05,0,0
1103504123,1.7270648804094162e-05,9.352353963806429e-06,4.6118847782582534e-05,2.6074395233874645e-05,0,0
1103621624,1.6182659824339442e-05,9.615524112603712e-06,4.55038944497619e-05,2.9227290627632264e-05,0,0
1103739125,1.4391343568428119e-05,9.639565484019941e-06,4.785003116361158e-05,2.8577813256366554e-05,0,0
1103856626,2.3585224567276384e-05,9.491286207422987e-06,4.9923275246510286e-05,3.699542762072612e-05,0,0
1103974127,1.4329564335105622e-05,9.753014872725445e-06,4.4097412171871505e-05,2.77560432827718e-05,0,0
1104091628,1.4026706223571157e-05,9.266195427623514e-06,4.5495167084398486e-05,2.700177831651765e-05,0,0
1104209129,1.457705453793679e-05,9.618066360910275e-06,4.4978415432122224e-05,2.3388445580839583e-05,0,0
1104326630,3.8516562365214124e-05,1.0570969942051778e-05,4.862365960562676e-05,4.1433188704171e-05,0,0
1104444131,2.0498407259663082e-05,9.991457807706837e-06,4.820187750750311e-05,4.1561414425379516e-05,0,0
1104561632,1.6091040048395595e-05,9.354999087143785e-06,4.913990416496946e-05,3.730324872387577e-05,0,0
1104679133,1.33187306758941e-05,9.047938539761799e-06,4.33821051661893e-05,2.8523266571579817e-05,0,0
1104796634,1.9904871135357925e-05,8.942067397094528e-06,4.302554444159486e-05,2.1988775515335828e-05,0,0
1104914135,2.0299944068241456e-05,9.962053220890108e-06,4.363951192183084e-05,3.885576233871259e-05,0,0
1105031636,1.6065946063426187e-05,1.0940877302556409e-05,4.4968166892068464e-05,2.7811079802028763e-05,0,0
1105149137,1.9794669527202235e-05,9.46914759152606e-06,4.4867454527271414e-05,3.6584519232690935e-05,0,0
1105266638,1.815267324020866e-05,1.2101011928845012e-05,4.4398426471089614e-05,5.375057375015013e-05,0,0
1105384139,1.3299141597983888e-05,9.250894326130958e-06,4.2648510264887854e-05,3.042022352573925e-05,0,0
1105501640,1.60895833829423e-05,1.0342598492595723e-05,4.1611536919407404e-05,3.81939665043639e-05,0,0
1105619141,1.3507355544756994e-05,9.589141736864496e-06,3.978617383518637e-05,3.068692486472057e-05,0,0
1105736642,1.2186127330422856e-05,8.681393681942559e-06,3.890218906474093e-05,2.8791740490759987e-05,0,0
1105854143,1.3011250960596649e-05,9.71774319734165e-06,3.9138109709798514e-05,2.9693175017876133e-05,0,0
1105971644,1.2656332216658385e-05,8.978077520228146e-06,3.454530132979368e-05,2.6894232504751106e-05,0,0
1106089145,1.4581663455187236e-05,1.0709199288316137e-05,3.5213524290297486e-05,2.7381058584899865e-05,0,0
1106206646,1.3934999059087335e-05,9.914597941138465e-06,3.2637827743945577e-05,2.2835222968164274e-05,0,0
1106324147,1.4490545078118936e-05,9.336885840193288e-06,2.9944976572012642e-05,2.559418969612072e-05,0,0
1106441648,1.256522448650284e-05,8.369957906063051e-06,2.373144516802063e-05,1.8271480204134847e-05,0,0
1106559149,0.0,0.0,0.0,0.0,0,0
1106676650,0.0,0.0,0.0,0.0,0,0
1106794151,0.0,0.0,0.0,0.0,0,0
1106911652,0.0,0.0,0.0,0.0,0,0
1107029153,0.0,0.0,0.0,0.0,0,0
1107146654,0.0,0.0,0.0,0.0,0,0
1107264155,0.0,0.0,0.0,0.0,0,0
1107381656,0.0,0.0,0.0,0.0,0,0
1107499157,0.0,0.0,0.0,0.0,0,0
1107616658,0.0,0.0,0.0,0.0,0,0
1107734159,0.0,0.0,0.0,0.0,0,0
