ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,1.996122597620335e-06,1.2086232699228517e-06,2.4838720593763685e-06,3.2969962545783817e-06,0,0
1096219061,2.022374062776295e-06,1.1495373838025094e-06,2.4355365769498936e-06,2.971536023157212e-06,0,0
1096336562,1.1750300329866082e-06,9.888062521619637e-07,2.027999374704481e-06,1.9754509881775416e-06,0,0
1096454063,1.1548567350789564e-06,9.690737575753854e-07,2.133740105828428e-06,2.015850974657417e-06,0,0
1096571564,9.229533800887992e-07,9.421460859899665e-07,1.9620727388402192e-06,1.9096336163197705e-06,0,0
1096689065,1.1743499291671008e-06,1.0077581062866287e-06,2.173309568683575e-06,2.0750682115683183e-06,0,0
1096806566,8.691457977613566e-07,8.879623719252602e-07,2.052187226535839e-06,1.882712255102886e-06,0,0
1096924067,1.1993402487998557e-06,9.55818135822292e-07,2.086981493587383e-06,2.069708720613429e-06,0,0
1097041568,9.979510701183542e-07,1.0036057399382059e-06,2.166120661093303e-06,2.0061509542546246e-06,0,0
1097159069,1.213785527663774e-06,1.0180414886257542e-06,2.2965619781991414e-06,2.3006038097073845e-06,0,0
1097276570,1.1238785004359173e-06,1.0489089860811663e-06,2.2551815114807064e-06,2.4879268683592817e-06,0,0
1097394071,1.1614164772802038e-06,1.0661404030210845e-06,2.2689996520183084e-06,2.185812163684504e-06,0,0
1097511572,1.218326223414444e-06,1.2419639117999648e-06,2.9497923156446034e-06,3.439929849439172e-06,0,0
1097629073,1.0469685987638188e-06,1.0899997396953767e-06,2.585249491348826e-06,2.388826343166829e-06,0,0
1097746574,1.2560635442383903e-06,1.285264391469637e-06,3.646332412552084e-06,3.8024711605579046e-06,0,0
1097864075,1.1860192542122833e-06,1.1316565367277294e-06,2.494980580469844e-06,2.3415822623032136e-06,0,0
1097981576,1.0367998068775337e-06,1.0922278400952578e-06,2.1396663609317388e-06,2.143420658665724e-06,0,0
1098099077,1.1237054858937278e-06,1.122047347745368e-06,2.2573903945006196e-06,2.128562081739636e-06,0,0
1098216578,1.0877550144239265e-06,1.2114527031223683e-06,2.3703391621214746e-06,2.484018496513217e-06,0,0
1098334079,1.1365950903317886e-06,1.1111324964315048e-06,2.1526913337370143e-06,2.091195664003314e-06,0,0
1098451580,1.0566666876422354e-06,1.142533080651688e-06,2.3858542138566338e-06,2.550308602523734e-06,0,0
1098569081,1.1544786261511544e-06,1.1601712327551129e-06,2.3773329443211476e-06,2.468087812291361e-06,0,0
1098686582,1.2139778831401751e-06,1.2882090447186081e-06,2.571825279209068e-06,2.6418273346468635e-06,0,0
1098804083,1.2031850909608222e-06,1.2919461505579825e-06,2.7558102154077433e-06,2.9718208040607515e-06,0,0
1098921584,1.1092211130196022e-06,1.2222985689761818e-06,2.4004018502924276e-06,2.360095453836039e-06,0,0
1099039085,9.523687899946189e-07,1.148318539461449e-06,2.3594038992946168e-06,2.358241813892806e-06,0,0
1099156586,1.0317158742683328e-06,1.2223499846498557e-06,2.7156477455074292e-06,2.7416964157720843e-06,0,0
1099274087,1.1288181142919875e-06,1.122272639007981e-06,2.48616558316441e-06,3.1785959957672504e-06,0,0
1099391588,1.3521885278196642e-06,1.3950629101324881e-06,3.4859486719957965e-06,4.030646168873352e-06,0,0
1099509089,1.1737094210246267e-06,1.3806015563908054e-06,3.4383443241166805e-06,3.5662923591892127e-06,0,0
1099626590,1.2649138389941742e-06,1.5781390387880084e-06,4.587442583935251e-06,5.175974692183741e-06,0,0
1099744091,1.1445597970478889e-06,1.3094819711193957e-06,2.8471556944281256e-06,3.11335431475215e-06,0,0
1099861592,1.1716214617190145e-06,1.249661112111114e-06,3.021321479509255e-06,3.2257011654802687e-06,0,0
1099979093,1.0775536814809195e-06,1.3003396944007155e-06,2.776856629144267e-06,3.5172444721486182e-06,0,0
1100096594,1.1234382383303546e-06,1.2534556098338541e-06,2.608448853802215e-06,3.069450226397157e-06,0,0
1100214095,1.0223614922326084e-06,1.1717236106463666e-06,2.4737953779542936e-06,2.702865181178079e-06,0,0
1100331596,1.1232092436688126e-06,1.2155220210357588e-06,2.7578311047918486e-06,3.0303827701088194e-06,0,0
1100449097,1.4577573723642945e-06,1.4591246889033637e-06,3.8342197211193575e-06,3.954790433828956e-06,0,0
1100566598,1.1942725705511605e-06,1.4990831083409362e-06,3.3400719700201295e-06,3.7344020881381707e-06,0,0
1100684099,1.182433601537847e-06,1.3947498308260175e-06,3.308876691167889e-06,3.152938609308381e-06,0,0
1100801600,1.2041647124166364e-06,1.3960153161555306e-06,3.323340700184607e-06,3.208332732720139e-06,0,0
1100919101,1.0228626256544643e-06,1.2175958215825986e-06,3.0347756355598794e-06,2.8717800579686446e-06,0,0
1101036602,1.1274339565588475e-06,1.5863148261713126e-06,3.4140799949542014e-06,3.2793763284364253e-06,0,0
1101154103,1.309337090657954e-06,1.3894509800729228e-06,3.4761741095607213e-06,3.356627718246062e-06,0,0
1101271604,1.0648587411587906e-06,1.2113588229972018e-06,2.868392413634798e-06,2.5524740841022468e-06,0,0
1101389105,1.669552211346598e-06,1.4910440991782354e-06,3.3262919432236518e-06,3.9445706520843985e-06,0,0
1101506606,1.1322654749876824e-06,1.344624597907027e-06,3.0226478457964573e-06,3.4140247259086314e-06,0,0
1101624107,1.0696597244344401e-06,1.3402969317846446e-06,3.3549464759211377e-06,3.569120980015076e-06,0,0
1101741608,1.281253551313087e-06,1.405775214845563e-06,3.2308882623680475e-06,3.923799399025928e-06,0,0
1101859109,1.4394931613133584e-06,1.4324996762056157e-06,3.209952775850354e-06,3.920037542664079e-06,0,0
1101976610,1.121016742792602e-06,1.2947116261182743e-06,2.9338504228549403e-06,3.111292633030294e-06,0,0
1102094111,1.244926192462756e-06,1.2611263255247138e-06,3.1598467590548133e-06,3.1062329359237756e-06,0,0
1102211612,1.3672814247168111e-06,1.389380275881929e-06,3.5349875079783266e-06,4.236988392765851e-06,0,0
1102329113,1.2483732313314389e-06,1.3527014923693027e-06,3.4957218173194145e-06,3.7296812009657667e-06,0,0
1102446614,1.120962012874587e-06,1.298609315191433e-06,3.3615936430108353e-06,3.4877264718249348e-06,0,0
1102564115,1.3506108517584167e-06,1.3568202513106736e-06,3.4784676118375764e-06,4.388410422264184e-06,0,0
1102681616,1.2231624940898707e-06,1.284030812539979e-06,3.6696505227537196e-06,3.7389244961488997e-06,0,0
1102799117,1.2200805058319455e-06,1.2850751870820992e-06,3.69460342383653e-06,3.436895235816209e-06,0,0
1102916618,1.2469316700150246e-06,1.2689282649215865e-06,3.418756558124328e-06,3.2729990622626755e-06,0,0
1103034119,1.1399639636881873e-06,1.1487645388329252e-06,3.08570768599803e-06,3.021790988575062e-06,0,0
1103151620,1.108494116354108e-06,1.2417120098142548e-06,2.9785513083171314e-06,3.0810762854303057e-06,0,0
1103269121,1.0989372458007154e-06,1.2660597181734588e-06,3.2752971857593325e-06,3.661281835731415e-06,0,0
1103386622,1.0843178576371899e-06,1.1804319940625834e-06,2.911811747716548e-06,2.9027932611196764e-06,0,0
