ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,1.6026418826120736e-06,1.5139257675524107e-06,9.749522247860523e-06,8.833202935707802e-06,0,0
1096219061,1.3671206471883831e-06,1.4331738214993857e-06,1.4538583855672292e-05,1.1669511467733605e-05,0,0
1096336562,1.561945468559236e-06,1.5569128988037376e-06,1.676140034114382e-05,1.4356574422414297e-05,0,0
1096454063,1.5413453271051028e-06,1.6232816642665333e-06,2.0566916297819954e-05,1.4650725857407332e-05,0,0
1096571564,1.5433683348346491e-06,1.5318244546746618e-06,2.080829631036915e-05,1.5227989874614368e-05,0,0
1096689065,1.762752113827242e-06,1.6201282967754988e-06,2.0245438533543616e-05,1.622847553849315e-05,0,0
1096806566,1.5518773796849942e-06,1.608918162356157e-06,2.1412099841408518e-05,1.6764120793229607e-05,0,0
1096924067,1.6392291689902366e-06,1.6447796477661767e-06,2.4129915163845942e-05,1.7021356283813218e-05,0,0
1097041568,1.656126492053076e-06,1.7224927081974127e-06,2.3648348859811046e-05,1.8772715669242556e-05,0,0
1097159069,1.5972099263651586e-06,1.5958148762520592e-06,2.2960460301171653e-05,1.677349440730989e-05,0,0
1097276570,1.6211942910018097e-06,1.6249906646966968e-06,2.323813665341517e-05,1.720530386209554e-05,0,0
1097394071,1.681873518058399e-06,1.787315679472984e-06,2.3762281764385116e-05,1.710611396415073e-05,0,0
1097511572,1.7271130897137854e-06,1.7188677659678694e-06,2.2213243189078296e-05,1.707502668049834e-05,0,0
1097629073,1.601252627961914e-06,1.7112744797840426e-06,2.0019283539759667e-05,1.552391048912745e-05,0,0
1097746574,1.7244413231566291e-06,1.7751297123228519e-06,2.324920481515524e-05,1.6967660124554417e-05,0,0
1097864075,1.6455650787249208e-06,1.8118693734859379e-06,2.329478054629425e-05,1.689147675101989e-05,0,0
1097981576,1.5764720574436138e-06,1.7578239283644902e-06,2.1598303575519658e-05,1.544845236874464e-05,0,0
1098099077,1.6013807062837748e-06,1.965892659349326e-06,2.2854759227219246e-05,1.6882188299712484e-05,0,0
1098216578,1.6404432550320846e-06,1.7940847382171212e-06,2.114552634306713e-05,1.6306206007797856e-05,0,0
1098334079,1.6351387719544507e-06,1.8531201343777448e-06,2.1849886932394675e-05,1.6605526234177586e-05,0,0
1098451580,1.6937668297459447e-06,1.8051938978572277e-06,2.378570646200274e-05,1.723291093778756e-05,0,0
1098569081,1.608316072556174e-06,1.7344705151846123e-06,2.129979994771062e-05,1.7066101679950804e-05,0,0
1098686582,1.639446557342943e-06,1.8110635934594765e-06,2.266211467386589e-05,1.6472881269428544e-05,0,0
