ts,Dtree,nDtree,HK,HDT,ET,opt
1081710722,0.0,0.0,0.0,0.0,0,0
1082927524,6.963310757658153e-07,0.0,2.8649706103487976e-06,2.4079759205276418e-06,0,0
1084144326,4.2699835153301793e-07,1.1839942916799785e-06,0.0,0.0,0,0
1085361128,6.371987172180548e-07,5.384982064922971e-07,1.3473962435858322e-06,2.7394959456498837e-06,0,0
1086577930,5.029964718190103e-07,0.0,0.0,0.0,0,0
1087794732,0.0,0.0,0.0,0.0,0,0
1089011534,0.0,0.0,0.0,0.0,0,0
1090228336,4.4149909918656567e-07,5.174980788289985e-07,1.9769779672945977e-06,2.6699898453902244e-06,0,0
1091445138,4.0118138622049464e-07,4.7787429431498e-07,1.3707763606114213e-06,1.7819980265272184e-06,0,0
1092661940,4.00249427732661e-07,5.592478034953666e-07,1.4549950726359362e-06,1.4409976131107557e-06,0,0
1093878742,0.0,0.0,0.0,0.0,0,0
1095095544,0.0,0.0,0.0,0.0,0,0
1096312346,3.2028534655607424e-07,4.1469970168041617e-07,1.610817405595436e-06,1.0403171043432466e-06,0,0
1097529148,3.490468774213499e-07,4.389856464208071e-07,1.49006367929074e-06,1.0920420221357257e-06,0,0
1098745950,3.6137928361056667e-07,4.3068284923817995e-07,1.459190487995502e-06,1.0919617211259928e-06,0,0
1099962752,3.8056704730352315e-07,5.186145578380211e-07,1.512062449962852e-06,1.175453235650851e-06,0,0
1101179554,3.60060767232094e-07,4.518214011257568e-07,1.5587983685724058e-06,1.184606185592769e-06,0,0
1102396356,3.70450878909224e-07,4.525624178769457e-07,1.5559447558536367e-06,1.1984905507527805e-06,0,0
1103613158,3.606886289363277e-07,4.546295544888157e-07,1.4605432334623934e-06,1.1947943368664694e-06,0,0
1104829960,3.7439030909830274e-07,4.890161961367228e-07,1.402966284243766e-06,1.262721303650151e-06,0,0
1106046762,3.6401958127690043e-07,4.556427320194932e-07,1.3405217620396632e-06,1.1891230024811308e-06,0,0
1107263564,3.7256351255155554e-07,4.654324742034941e-07,1.5156161996261021e-06,1.261777594996182e-06,0,0
1108480366,4.02270091337728e-07,7.333331721115109e-07,1.442441157988519e-06,1.3414352298030584e-06,0,0
1109697168,3.8182172096896366e-07,4.3305156236858483e-07,1.2754766287307036e-06,1.2081320849046016e-06,0,0
1110913970,3.624995425411858e-07,4.909997518801007e-07,1.5632373631118764e-06,1.2916309538428838e-06,0,0
1112130772,3.762793363442777e-07,5.436380890528935e-07,1.5183329983649924e-06,1.180847278827698e-06,0,0
1113347574,3.8532156501491686e-07,4.6367482129002857e-07,1.6095983522938666e-06,1.272496342503278e-06,0,0
1114564376,3.6496972873280546e-07,5.669998725088485e-07,1.513686281070581e-06,1.2081147289846097e-06,0,0
1115781178,3.577767661966052e-07,4.559460697547928e-07,1.4896494436880002e-06,1.1569490331474765e-06,0,0
1116997980,3.843537863893622e-07,4.7570827372517005e-07,1.6114138350800785e-06,1.4218195948607123e-06,0,0
1118214782,3.987677958122559e-07,4.5640178379525646e-07,1.733390326856265e-06,1.2448559450616023e-06,0,0
1119431584,3.683234484064604e-07,4.5583714176790254e-07,1.5743398626765427e-06,1.1770457323652326e-06,0,0
1120648386,4.045249839697384e-07,4.707389789211574e-07,1.767685750241091e-06,1.3261786184350345e-06,0,0
1121865188,3.8369896404225797e-07,4.787562200993558e-07,1.6547390192159123e-06,1.3913649141413113e-06,0,0
1123081990,3.7751758396295833e-07,4.72255212985805e-07,1.623828497922732e-06,1.2834490188228065e-06,0,0
1124298792,3.9377193368035797e-07,4.766908015177721e-07,1.7487835334591386e-06,1.2843726724307886e-06,0,0
1125515594,3.843742150374394e-07,4.5585978690675234e-07,1.7418953412156808e-06,1.2896925149937355e-06,0,0
1126732396,3.7105170061481373e-07,4.7174138564535806e-07,1.6826999839234453e-06,1.2646746034979093e-06,0,0
1127949198,3.851394725094609e-07,4.5541115311504214e-07,1.6647438782382734e-06,1.2180484265208242e-06,0,0
1129166000,4.023348350632142e-07,4.7397069059217335e-07,1.7847161387314226e-06,1.252609408736338e-06,0,0
1130382802,3.9798261582453134e-07,4.683234973931762e-07,1.8150959867009715e-06,1.2679698118081987e-06,0,0
1131599604,3.932942770489635e-07,4.825972011562211e-07,1.794926673618037e-06,1.263754841294799e-06,0,0
1132816406,4.0979338096149124e-07,4.978245120355076e-07,1.8767306583838368e-06,1.3626644923181545e-06,0,0
1134033208,4.0431429109657854e-07,4.857742211099635e-07,1.8783210224948264e-06,1.3929836708184838e-06,0,0
1135250010,4.232840588080987e-07,4.876777017341623e-07,1.8644465728919514e-06,1.3243756405890065e-06,0,0
