ts,Dtree,nDtree,HK,HDT,ET,opt
1081710722,0.0,0.0,0.0,0.0,0,0
1082927524,1.705637154644462e-05,1.108782135955304e-05,3.683687207693416e-05,1.8792716680252757e-05,0,0
1084144326,1.7784766544522005e-05,1.0587825911394584e-05,3.6494233838745615e-05,1.9060291930339014e-05,0,0
1085361128,1.752840072191975e-05,1.1456517714291395e-05,4.4304650278780606e-05,2.6787668096966635e-05,0,0
1086577930,1.682273033892841e-05,1.1091111031729517e-05,3.801684605216404e-05,1.8332823425705872e-05,0,0
1087794732,2.056170645263787e-05,1.1262753351117726e-05,3.552212570321186e-05,1.6731907413703537e-05,0,0
1089011534,1.766885107336254e-05,1.082424585372526e-05,3.7528736206279245e-05,2.106631396254113e-05,0,0
1090228336,1.9666828033651222e-05,1.2397544536282334e-05,5.614477808324719e-05,3.8242453972593835e-05,0,0
1091445138,1.772604553392135e-05,1.1582567719321785e-05,4.523675901590102e-05,2.3536119725613764e-05,0,0
1092661940,1.7220454603722387e-05,1.0891335678108924e-05,4.6372586596971405e-05,2.309078873127007e-05,0,0
1093878742,1.7300083056964013e-05,1.0627441525425569e-05,4.044320837786629e-05,1.6773583301626022e-05,0,0
1095095544,1.5140329134190138e-05,9.7739693080477e-06,3.1649824955580655e-05,9.127164443820766e-06,0,0
1096312346,2.5815614863708992e-05,1.2366213649574347e-05,5.2558857477943434e-05,2.6346095725387508e-05,0,0
1097529148,2.2172891586048226e-05,1.4166833362856988e-05,6.044591439869043e-05,3.236781054645966e-05,0,0
1098745950,2.4821152926641648e-05,1.2428951253505176e-05,6.14229965711285e-05,3.940071291569028e-05,0,0
1099962752,2.0061307521368515e-05,1.241896152831306e-05,6.281516021421218e-05,3.6791258450387835e-05,0,0
1101179554,2.223577005261358e-05,1.2616590250425265e-05,6.155682935980942e-05,4.06692600233559e-05,0,0
1102396356,2.208274139206934e-05,1.2360712792429471e-05,5.833733040488795e-05,3.739354246349794e-05,0,0
1103613158,1.9842232476638133e-05,1.1967807204965456e-05,5.5394541612515e-05,3.997948913478696e-05,0,0
1104829960,2.0232222112015763e-05,1.1622843171663247e-05,5.1325221102543616e-05,3.317771471920827e-05,0,0
1106046762,2.223832190226778e-05,1.2163672224637144e-05,5.219551051533597e-05,3.6666566838188486e-05,0,0
1107263564,1.957791742082899e-05,1.1627723219877905e-05,5.320588724024325e-05,3.106271644555306e-05,0,0
1108480366,2.1108218237057303e-05,1.2216804609715609e-05,5.129116310147737e-05,3.419235187955309e-05,0,0
1109697168,1.960453015333936e-05,1.1467332662720293e-05,4.9089996158685255e-05,3.0170127406778366e-05,0,0
1110913970,2.236251013769346e-05,1.169877358928061e-05,5.4326536385595514e-05,3.5929598109770025e-05,0,0
1112130772,2.0763363455628113e-05,1.209919580951977e-05,5.910175780234337e-05,3.962543027348971e-05,0,0
1113347574,2.0598488946603307e-05,1.206687594226473e-05,6.079736169895455e-05,3.999919366598579e-05,0,0
1114564376,2.2574045702004726e-05,1.2049365161757128e-05,5.898561818465849e-05,3.89727073127557e-05,0,0
1115781178,2.0634641264667902e-05,1.2354258642043879e-05,6.460313408596903e-05,3.97351965771706e-05,0,0
1116997980,2.0019829487874186e-05,1.3511835771057311e-05,5.374460955648534e-05,3.2219553088635984e-05,0,0
1118214782,2.154820107103018e-05,1.2625482212052083e-05,6.620828308253705e-05,4.439224912112461e-05,0,0
1119431584,2.1697197930212868e-05,1.2052548463714606e-05,5.9239006098078144e-05,3.9994009962583015e-05,0,0
1120648386,2.655165113753352e-05,1.308365071367107e-05,6.807283460309756e-05,4.1882165882138656e-05,0,0
1121865188,2.3858462512980393e-05,1.2472164477473743e-05,6.153188032112207e-05,4.540933228300101e-05,0,0
1123081990,2.1912484084636505e-05,1.2242518589424483e-05,6.315179881963719e-05,3.7445028303500444e-05,0,0
1124298792,2.291721548863454e-05,1.2868403911859362e-05,6.748999133100289e-05,4.469555091842071e-05,0,0
1125515594,2.290122619496529e-05,1.2796301260135854e-05,6.681880018393106e-05,3.967175366486094e-05,0,0
1126732396,2.426392905637319e-05,1.2503890982048317e-05,6.662474116909862e-05,4.255162328641931e-05,0,0
1127949198,2.103462977200548e-05,1.2907325268177335e-05,6.629609083186327e-05,4.141807993996579e-05,0,0
1129166000,2.1282821832666804e-05,1.3077057896332062e-05,7.246082417126613e-05,5.440929954318035e-05,0,0
1130382802,2.204841115897257e-05,1.3182940297061942e-05,7.481758139078846e-05,5.221353267874173e-05,0,0
1131599604,2.3125110130965057e-05,1.4033027730664615e-05,8.390917890297567e-05,5.996253593073048e-05,0,0
1132816406,2.1331863477492703e-05,1.3235178096297825e-05,7.438570060560604e-05,4.968050265633879e-05,0,0
1134033208,2.2564677075423962e-05,1.309217450638631e-05,7.38351488567402e-05,4.994447463451711e-05,0,0
1135250010,2.4942447064373412e-05,1.3431808975708481e-05,7.333698726705187e-05,5.26271359430609e-05,0,0
1136466812,2.130268325142593e-05,1.3399587231212138e-05,7.726664165394405e-05,4.6409546733506215e-05,0,0
1137683614,2.40731716623256e-05,1.369439623374517e-05,7.838185211460767e-05,5.7515079349118836e-05,0,0
1138900416,2.2125362985710634e-05,1.3431799013050204e-05,7.620673915046622e-05,5.038075582673784e-05,0,0
1140117218,2.191166998712888e-05,1.361270802825343e-05,8.681503110435187e-05,5.418931128982004e-05,0,0
1141334020,2.2743642722313483e-05,1.3256686868022029e-05,7.227567281932938e-05,4.930296688188877e-05,0,0
1142550822,2.4726393319959745e-05,1.3431100457434957e-05,8.046186070782996e-05,5.609311114070713e-05,0,0
1143767624,2.5324147545144668e-05,1.3893575265911974e-05,8.161609596782315e-05,5.6084308460971284e-05,0,0
1144984426,2.9768351975357545e-05,1.3862638644727958e-05,8.475702160650824e-05,5.213754306532972e-05,0,0
1146201228,2.4192249427076413e-05,1.3526166049997778e-05,8.275732157105564e-05,5.0829243614313175e-05,0,0
1147418030,2.459720090996014e-05,1.3519826436123556e-05,7.666092553039712e-05,4.41516743957279e-05,0,0
1148634832,3.25588155387762e-05,1.346141370993374e-05,8.349095545734892e-05,5.375635278403925e-05,0,0
1149851634,2.190863516847572e-05,1.3718941206397874e-05,8.128873141907046e-05,5.120116766214546e-05,0,0
1151068436,2.5755276343759938e-05,1.344049155048632e-05,8.048697574106674e-05,5.093268081263561e-05,0,0
1152285238,3.153763287171086e-05,1.3705891125598707e-05,7.667171214929175e-05,5.7063933448038855e-05,0,0
1153502040,2.1305460114579294e-05,1.3973597440296247e-05,8.673384264625102e-05,5.6217724531058685e-05,0,0
