ts,Dtree,nDtree,HK,HDT,ET,opt
1081710722,3.115121188429875e-06,0,2.560775085534682e-06,3.1015523541677517e-06,0,0
1082927524,1.4433732223942103e-06,0,2.1354971431674813e-06,2.482371849741056e-06,0,0
1084144326,1.5783743055177403e-06,0,2.0272075179877e-06,2.270540791381942e-06,0,0
1085361128,1.4196143562265685e-06,0,2.3161521266003864e-06,2.183383142748598e-06,0,0
1086577930,1.327247083910148e-06,0,1.9927447486997556e-06,2.208494542479845e-06,0,0
1087794732,1.4332713148686986e-06,0,2.3949069697680563e-06,2.5263613284355363e-06,0,0
1089011534,1.6819985422551864e-06,0,2.009089167489698e-06,2.35808867335939e-06,0,0
1090228336,1.6998941911847085e-06,0,2.0997625265376847e-06,2.0547361363179205e-06,0,0
1091445138,1.4479113943880253e-06,0,1.9748816983002328e-06,2.048646404891089e-06,0,0
1092661940,1.4210746343251037e-06,0,2.0374743962232083e-06,2.315374343702157e-06,0,0
1093878742,1.6394956159172276e-06,0,2.7607428922490017e-06,2.9107427499286614e-06,0,0
1095095544,1.2264355207428974e-06,0,1.7998712934479985e-06,2.2315634259636526e-06,0,0
1096312346,1.2825499909085067e-06,0,1.9700571372433088e-06,1.7133677997056042e-06,0,0
1097529148,1.354488084518871e-06,0,2.221779748474669e-06,1.7313061332138694e-06,0,0
1098745950,1.53524898195224e-06,0,2.2031173480657064e-06,1.7730248408450182e-06,0,0
1099962752,1.4190119675041296e-06,0,2.3117579478658325e-06,1.8874676479720302e-06,0,0
1101179554,1.4700368447134295e-06,0,2.2980984811541028e-06,1.8216452736183756e-06,0,0
1102396356,1.508617741681856e-06,0,2.1537249602596784e-06,1.8143744869441384e-06,0,0
1103613158,1.6068570258735676e-06,0,2.308458120157078e-06,1.932303460795358e-06,0,0
1104829960,1.6736362346696646e-06,0,2.290971830468135e-06,1.885153720170035e-06,0,0
1106046762,1.6085081817892258e-06,0,2.1755412951428404e-06,1.921193206757899e-06,0,0
1107263564,1.4552464662799743e-06,0,2.36622589313419e-06,1.849287529288535e-06,0,0
1108480366,1.5621363697883536e-06,0,2.1156297509954524e-06,1.8295907920150464e-06,0,0
1109697168,1.755777495536715e-06,0,2.265452443321387e-06,2.142961719998066e-06,0,0
1110913970,1.4032115025880975e-06,0,2.2014037785088717e-06,1.914749864345414e-06,0,0
1112130772,1.5095015735431442e-06,0,2.27029824730874e-06,1.8797719308558601e-06,0,0
1113347574,1.490053543901908e-06,0,2.333984087702751e-06,1.9345522970730703e-06,0,0
1114564376,1.4535069258893668e-06,0,2.3395514626658983e-06,1.837309136939987e-06,0,0
1115781178,1.4768237921132317e-06,0,2.3127199996851714e-06,1.8862825464549215e-06,0,0
1116997980,1.62695997318728e-06,0,2.2387278855055284e-06,1.9051639466943047e-06,0,0
1118214782,1.3499677447447566e-06,0,2.587972857921181e-06,1.742617561966128e-06,0,0
1119431584,1.5181127328860692e-06,0,2.312148486291941e-06,1.8646678782416454e-06,0,0
1120648386,1.4684089583738328e-06,0,2.4492558058811757e-06,1.9019567770414758e-06,0,0
1121865188,1.596984025625416e-06,0,2.375584015185222e-06,1.9193272462556662e-06,0,0
1123081990,1.4982327898323492e-06,0,2.379939243956091e-06,1.907403582578301e-06,0,0
1124298792,1.3861066074989751e-06,0,2.32469172460817e-06,1.8309930388380926e-06,0,0
1125515594,1.6849392254599502e-06,0,2.4246099756741107e-06,1.8963738109259671e-06,0,0
1126732396,1.513811603342044e-06,0,2.346684474925768e-06,1.792790423687253e-06,0,0
1127949198,1.4800316075143864e-06,0,2.3860196438781503e-06,1.876064941903013e-06,0,0
