ts,Dtree,nDtree,HK,HDT,ET,opt
1081710722,1.574254842525247e-06,1.5912322704198053e-06,1.4287113580913088e-05,9.343974731160485e-06,0,0
1082927524,1.4573104565898316e-06,1.5725512987615797e-06,1.4755167277966522e-05,9.397720584838348e-06,0,0
1084144326,1.5892758342559697e-06,1.5433107405636686e-06,1.7444614817841963e-05,9.942514873850302e-06,0,0
1085361128,1.5834756028155565e-06,1.7879992092163382e-06,1.890503873372017e-05,1.209456548335749e-05,0,0
1086577930,1.4317802476112129e-06,1.4366577999587814e-06,1.5948923150633793e-05,9.913851410913326e-06,0,0
1087794732,1.4609993711993427e-06,1.4896488037783542e-06,1.214199339744349e-05,9.061094914259585e-06,0,0
1089011534,1.5832899962492742e-06,1.5937738263103463e-06,1.3753705030186003e-05,9.929029435688697e-06,0,0
1090228336,1.584542732748388e-06,1.5617140064873743e-06,1.532288140159802e-05,1.0214282927668045e-05,0,0
1091445138,1.3575154455992857e-06,1.585016002867585e-06,1.4862465136729476e-05,1.175715998081319e-05,0,0
1092661940,1.4679999526689042e-06,1.5452651869171393e-06,1.5985425738338345e-05,1.0718038281472213e-05,0,0
1093878742,1.501460421091912e-06,1.5922296015735454e-06,1.1007223081154757e-05,1.0550607559626775e-05,0,0
1095095544,1.3836833744057902e-06,1.4722404248292029e-06,1.3785213271988832e-05,1.004773285594533e-05,0,0
1096312346,1.5107919741330584e-06,1.6617526254237743e-06,2.0304581956021236e-05,1.210082949874962e-05,0,0
1097529148,1.4522943224550657e-06,1.6431527689623207e-06,1.9744115267350792e-05,1.1732704628845603e-05,0,0
1098745950,1.5914381461717215e-06,1.7636713020895644e-06,2.0643380395218307e-05,1.2574861149191429e-05,0,0
1099962752,1.559374855497619e-06,1.7282871453662876e-06,2.0862322874294637e-05,1.3043423457316321e-05,0,0
1101179554,1.5736759004543886e-06,1.768972286012892e-06,2.0474164750240137e-05,1.2957387749035484e-05,0,0
1102396356,1.5582946268762104e-06,1.8005787052820324e-06,2.1499734771005177e-05,1.361778810018736e-05,0,0
1103613158,1.537483438599502e-06,1.7943162109574984e-06,2.01446130708615e-05,1.2922464246548816e-05,0,0
1104829960,1.60801658834866e-06,1.7774313988746251e-06,2.0054289232838463e-05,1.1671636013065441e-05,0,0
1106046762,1.463707621505558e-06,1.732483059744495e-06,1.862441368484117e-05,1.1207695533098042e-05,0,0
1107263564,1.5439482018502576e-06,1.699973796922244e-06,2.141648209575646e-05,1.2901996742142718e-05,0,0
1108480366,1.5692109889839486e-06,1.7039435151281782e-06,1.975194097411502e-05,1.2080702056386172e-05,0,0
1109697168,1.6817664651408196e-06,1.6568662062298064e-06,1.9600626682975128e-05,1.2845296283087426e-05,0,0
1110913970,1.491471743801192e-06,1.6384399640458437e-06,1.973447802459937e-05,1.2571023091587553e-05,0,0
1112130772,1.5163762463353611e-06,1.7258255142286183e-06,2.327954824250451e-05,1.2679090518733385e-05,0,0
1113347574,1.6955258362797134e-06,1.8221156907310193e-06,2.2297460723279518e-05,1.4311051225265267e-05,0,0
